model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM2SI1 1.00 1 23228 4577609096.99 10.69 3.46 -39.25 37.94 11.61 40.82 13632.96 413662589.93 0.0749064837 70.21 68729285824089816039424.00
GM2SI1 1.00 2 166 33244162.46 -31.47 10.07 -39.14 6.89 2.60 51.22 10887.84 43828567.49 0.0104515595 25.63 152102224730426993278976.00
GM2SI1 1.00 3 22 4262159.14 -33.74 12.92 -36.13 2.14 0.96 51.10 10512.00 29055069.48 0.0031521849 15.70 164828167454465833566208.00
GM2SI1 1.00 4 140 28192382.73 -32.87 17.84 -33.70 5.26 2.64 50.34 9748.64 41118248.55 0.0098406875 21.22 112929867855024403513344.00
GM2SI1 1.00 5 3 468837.15 -28.55 8.78 -39.83 0.22 0.15 49.78 11286.21 23397107.87 0.0011500251 9.74 218005573321766039715840.00
GM2SI1 1.00 6 4 873291.08 -33.07 18.38 -37.23 0.90 0.52 53.08 13301.49 16955698.19 0.0002344773 19.01 377386815909483377590272.00
GM2SI1 1.00 7 2 370666.71 -27.10 11.72 -37.01 0.28 0.25 47.34 13319.10 16747125.15 0.0002199308 14.58 381817709445778816106496.00
GM2SI1 1.00 8 6 1319337.87 -45.06 11.70 -35.36 0.90 0.51 58.46 12698.49 17426464.43 0.0003036723 14.71 342632995014426457276416.00
GM2SI1 1.00 9 85 16838407.49 -38.98 11.42 -37.09 4.52 1.88 55.01 10584.38 34443552.51 0.0062305551 22.78 166071990294901176664064.00
GM2SI1 1.00 10 3 578548.50 -38.97 20.88 -37.93 0.64 0.45 58.25 44250.49 18376666.31 0.0000030111 20.85 2741766333882771026477056.00
GM2SI1 1.00 11 4 733618.37 -44.35 18.28 -37.27 0.82 0.51 60.74 14662.37 11378926.04 0.0000451500 4.87 588290754278821904515072.00
GM2SI1 1.00 12 6 1090007.11 -43.14 19.06 -37.20 0.73 0.58 60.07 14385.81 12316709.54 0.0000619996 17.78 540761519935102423924736.00
GM2SI1 1.00 13 2 378667.33 -27.91 16.32 -37.90 0.30 0.27 49.82 18213.19 10610200.62 0.0000171588 8.23 889074178489559724064768.00
GM2SI1 1.00 14 2 365077.73 -33.56 11.77 -38.81 0.09 0.08 52.65 14044.91 17846730.48 0.0002000739 4.41 398729306461736469004288.00
GM2SI1 1.00 15 17 3436921.68 -40.15 14.87 -37.47 1.56 0.91 56.90 11390.11 23670285.43 0.0012714990 23.37 225450521697496676171776.00
GM2SI1 1.00 16 11 2037210.79 -22.13 17.37 -36.94 0.89 0.60 46.43 13151.96 17579189.38 0.0002687568 19.15 357602894272598361767936.00
GM2SI1 1.00 17 2 416590.16 -23.60 25.67 -35.84 0.46 0.42 50.01 21449.64 8636777.99 0.0000062776 14.77 1348473137271638553788416.00
GM2SI1 1.00 18 37 7057297.79 -25.58 13.77 -35.39 2.30 1.10 45.79 9936.97 41832669.84 0.0095665641 19.35 111484047869605452972032.00
GM2SI1 1.00 19 7 1321519.08 -6.76 28.34 -38.32 1.29 0.77 48.14 20660.24 18402152.63 0.0000834230 26.08 771047166813838321385472.00
GM2SI1 1.00 20 2 340594.53 -6.70 28.49 -37.03 0.59 0.47 47.20 15903.10 13718613.14 0.0000579229 14.48 590472986625769996288000.00
GM2SI1 1.00 21 39 7445834.63 -20.18 11.25 -38.62 2.80 1.60 45.00 10909.80 28562715.83 0.0027946960 26.05 181836658163002667696128.00
GM2SI1 1.00 22 3 528769.92 -11.68 18.93 -36.08 0.51 0.37 42.39 22818.80 10576473.64 0.0000074268 16.26 1297672241126278246170624.00
GM2SI1 1.00 23 63 12500493.63 -17.08 9.85 -37.45 4.42 2.40 42.32 10730.34 29286059.32 0.0030988064 23.79 170967682634788787716096.00
GM2SI1 1.00 24 47 9235523.88 -13.40 7.88 -35.08 3.91 1.44 38.37 10308.03 37302307.24 0.0073665785 20.22 139480151471214058012672.00
GM2SI1 1.00 25 5 1028878.91 -26.22 9.25 -39.30 1.06 0.68 48.15 12742.15 19193797.46 0.0004624345 26.33 321291084043458921365504.00
GM2SI1 1.00 26 15 3227598.02 -25.68 9.04 -36.68 1.02 0.68 45.68 10008.78 31515402.60 0.0041985145 15.04 135358883955870441406464.00
GM2SI1 1.00 27 19 3606023.50 -4.38 18.92 -48.22 1.40 0.99 51.98 11106.14 22083826.06 0.0011469393 14.12 225377598509623696949248.00
GM2SI1 1.00 28 2 397315.11 -6.01 19.77 -49.92 0.58 0.49 54.03 14937.29 13129423.09 0.0000646161 16.38 549787716755666600198144.00
GM2SI1 1.00 29 2 375586.16 -14.72 18.92 -38.44 0.35 0.30 45.30 21453.10 11185067.15 0.0000110324 7.16 1132850927388190950031360.00
GM2SI1 1.00 30 2 436343.65 -15.69 16.61 -39.65 0.20 0.19 45.76 40213.72 28957499.04 0.0000110457 18.41 1716145642602624412811264.00
GM2SI1 1.00 31 2 390670.29 -6.39 15.45 -38.48 0.37 0.34 41.96 43037.85 18415589.16 0.0000046585 25.97 2601312128610881574535168.00
GM2SI1 1.00 32 2 453195.01 -12.85 11.18 -36.42 0.17 0.16 40.21 16119.65 12611159.09 0.0000427738 21.24 643187367503712246300672.00
GM2SI1 1.00 33 4 811938.76 -6.79 25.27 -38.26 0.72 0.53 46.35 16328.85 12564039.65 0.0000406526 13.78 657735014123059342737408.00
GM2SI1 1.00 34 23 4635506.28 -18.11 17.14 -40.90 3.15 1.67 47.90 13057.41 17445504.62 0.0003194130 20.00 365993609478434304557056.00
GM2SI1 1.00 35 7 1381090.43 -8.31 5.59 -39.64 0.85 0.53 40.89 11917.81 22933994.88 0.0009440469 23.13 246936674923072056197120.00
GM2SI1 1.00 36 2 336279.38 -6.46 6.29 -42.35 0.52 0.41 43.30 16544.33 15630065.13 0.0000800882 12.77 585061230681680016048128.00
GM2SI1 1.00 37 2 369824.81 -6.84 5.47 -50.17 0.54 0.47 50.92 18124.89 11339186.06 0.0000342408 25.88 883329193641850599112704.00
GM2SI1 1.00 38 11 2304827.14 -6.83 9.41 -45.99 1.34 0.91 47.44 12886.91 18611986.08 0.0003924222 26.54 335604287589693475782656.00
GM2SI1 1.00 39 2 429396.81 -6.90 8.81 -47.32 0.29 0.29 48.62 13979.20 16492471.79 0.0001696221 18.04 420243153064450999713792.00
GM2SI1 1.00 40 15 2987939.79 -15.78 8.89 -43.14 1.19 0.64 46.79 10599.12 26273132.56 0.0021155127 14.34 181333656569295820292096.00
GM2SI1 1.00 41 4 684793.25 -14.15 10.81 -42.91 0.61 0.43 46.46 14750.50 14834219.56 0.0000944322 7.21 494454738374120636940288.00
GM2SI1 1.00 42 2 383789.61 -13.43 9.90 -44.26 0.55 0.50 47.30 17093.00 10970702.80 0.0000280593 16.29 796333961900993344962560.00
GM2SI1 1.00 43 4 763901.10 -6.09 9.26 -41.61 0.53 0.46 43.06 16477.82 13995381.24 0.0000545966 16.20 621406123169855922241536.00
GM2SI1 1.00 44 6003 1138472317.90 9.15 8.74 4.03 21.74 10.03 13.28 19721.08 681214868.24 0.1198777819 104.40 77084870227783464255488.00
GM2SI1 1.00 45 6 968143.93 21.53 3.29 0.07 0.72 0.44 21.78 11023.67 40750038.62 0.0069491880 19.93 123787429766672282550272.00
GM2SI1 1.00 46 7 1401833.65 18.17 1.72 7.89 0.64 0.45 19.89 10991.68 46086004.18 0.0094534098 22.61 109381643616448342392832.00
GM2SI1 1.00 47 15 2842148.39 21.01 -1.86 4.23 1.15 0.43 21.51 24418.70 220009913.70 0.0188180698 20.98 176699102348270691680256.00
GM2SI1 1.00 48 3 652937.78 49.38 2.72 20.90 0.57 0.41 53.69 16650.41 9383708.51 0.0000175970 7.94 829008571320655446802432.00
GM2SI1 1.00 49 4 623494.98 24.11 0.93 8.15 0.56 0.34 25.47 35589.84 111616177.84 0.0025336505 13.79 552684571902509750157312.00
GM2SI1 1.00 50 3 645089.19 14.25 -3.61 -34.87 0.33 0.23 37.84 12282.62 37472835.78 0.0032544017 20.48 170665515040200854601728.00
GM2SI1 1.00 51 2 314974.39 14.11 -0.44 12.33 0.12 0.12 18.74 12723.59 30211165.55 0.0016044703 28.01 218142784001635549970432.00
GM2SI1 1.00 52 3 559035.74 14.24 -1.72 10.43 0.32 0.28 17.73 11775.18 35173603.65 0.0032836833 22.65 165207802066875612921856.00
GM2SI1 1.00 53 2 506603.76 14.72 -10.74 6.09 0.18 0.13 19.21 43476.35 145885309.19 0.0014040415 10.26 651151486109611630526464.00
GM2SI1 1.00 54 3 644596.31 22.85 -0.11 20.59 0.22 0.14 30.76 11647.53 21308262.06 0.0008258806 2.55 247211943014434160508928.00
GM2SI1 1.00 55 3 558971.53 21.97 -0.17 9.12 0.55 0.43 23.79 10804.71 33088034.83 0.0035542594 11.35 148365890987967968706560.00
GM2SI1 1.00 56 3 621838.21 16.52 -0.88 16.99 0.31 0.22 23.71 13060.64 25562130.56 0.0009479792 16.50 261511843596278406578176.00
GM2SI1 1.00 57 2 274630.12 24.10 -2.01 3.07 0.18 0.15 24.38 11902.22 24986480.91 0.0011993564 11.57 225218012412217823068160.00
GM2SI1 1.00 58 4 658608.91 22.25 0.50 3.16 0.59 0.33 22.48 11693.05 37195552.13 0.0038819849 26.70 155063980633515119083520.00
GM2SI1 1.00 59 15 3097179.38 15.65 -9.24 4.07 0.93 0.35 18.62 9775.73 87366437.11 0.0314731515 18.62 54967387306164872019968.00
GM2SI1 1.00 60 5 1627973.75 16.07 -8.70 7.79 0.88 0.59 19.87 10925.67 45594442.08 0.0095963086 17.45 107707967812427443077120.00
GM2SI1 1.00 61 3 459825.23 16.55 -9.89 8.67 0.52 0.33 21.14 11606.55 34888325.47 0.0033174944 10.63 163323822201996834766848.00
GM2SI1 1.00 62 3 530142.78 17.09 2.65 -2.35 0.38 0.31 17.45 10821.92 39612249.91 0.0062734451 11.12 124244156367930273038336.00
GM2SI1 1.00 63 2 427349.15 16.51 1.77 -0.28 0.17 0.17 16.61 97305.49 679057793.89 0.0053743361 21.68 913244408189171829571584.00
GM2SI1 1.00 64 11 2028848.62 19.96 1.60 1.20 1.23 0.44 20.06 10614.74 58917914.12 0.0156259757 21.96 90415989766968529911808.00
GM2SI1 1.00 65 3 587328.31 20.03 -5.07 6.29 0.29 0.20 21.60 11233.63 32420707.00 0.0029623718 10.38 162432728485488834379776.00
GM2SI1 1.00 66 6 1051554.63 19.64 -11.06 7.26 0.68 0.45 23.68 11020.11 31749812.16 0.0029957353 20.95 159660183413904973496320.00
GM2SI1 1.00 67 2 344486.67 18.75 -6.44 4.20 0.14 0.11 20.26 11749.52 34792170.83 0.0030847477 27.45 166943659840699950432256.00
GM2SI1 1.00 68 2 425468.87 31.90 -14.68 14.34 0.14 0.14 37.93 13278.79 15405218.44 0.0001571894 2.61 401626916639661870809088.00
GM2SI1 1.00 69 2 375138.51 32.12 -43.51 18.48 0.26 0.22 57.15 21094.42 7035559.42 0.0000042776 9.82 1501718578563590125518848.00
GM2SI1 1.00 70 2 451166.92 48.03 -36.24 19.09 0.15 0.15 63.12 21899.06 6016968.11 0.0000026759 2.00 1777669422747009633222656.00
GM2SI1 1.00 71 2 432485.55 43.82 -28.03 12.68 0.16 0.16 53.55 16778.93 8908801.28 0.0000152547 0.50 870473183717655255711744.00
GM2SI1 1.00 72 6 1193982.02 27.03 -14.79 8.68 0.92 0.57 32.01 12192.60 24559596.20 0.0010590788 9.64 243141529687531886477312.00
GM2SI1 1.00 73 3 439576.76 23.70 -3.09 8.52 0.72 0.52 25.38 24424.49 65033291.30 0.0009832274 13.12 418480733792308100595712.00
GM2SI1 1.00 74 2 426638.06 46.50 -3.28 24.44 0.11 0.11 52.63 16562.92 9015324.10 0.0000163547 1.08 844519715407666859737088.00
GM2SI1 1.00 75 6 1156459.29 23.18 -4.58 4.57 1.08 0.70 24.07 11141.39 32142867.14 0.0030576057 22.40 161893597815019178819584.00
GM2SI1 1.00 76 3 640586.18 15.08 -11.68 1.60 0.18 0.17 19.14 10854.44 38973384.97 0.0059259142 24.48 127232445660872589705216.00
