model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM2noBHs 1.00 0 2 273948.98 184.01 -80.10 102.54 0.52 0.38 225.37 18628.11 2438105.07 0.0000010486 2.45 2466950266157129690775552.00
GM2noBHs 1.00 1 2 286738.99 186.28 -89.10 100.67 0.56 0.46 229.72 15381.63 4808518.26 0.0000079525 4.40 1129146615076527466872832.00
GM2noBHs 1.00 2 2 280997.67 185.42 -90.01 106.95 0.51 0.41 232.20 14781.83 3959122.27 0.0000058922 1.83 1204638135837012346798080.00
GM2noBHs 1.00 3 2 170255.24 179.72 -91.31 103.06 0.53 0.37 226.41 13974.44 5759333.73 0.0000159359 4.82 849707545743904099794944.00
GM2noBHs 1.00 4 2 130039.75 175.52 -88.98 110.96 0.36 0.36 225.91 15743.06 4103528.87 0.0000052568 1.13 1306676681039559796981760.00
GM2noBHs 1.00 5 3 449532.02 171.62 -92.84 101.07 0.73 0.55 219.74 14244.56 6679476.48 0.0000214429 4.00 794674733526269223239680.00
GM2noBHs 1.00 6 2 279352.03 172.06 -93.47 105.34 0.21 0.15 222.34 13377.57 7851373.90 0.0000363190 3.40 639832377006670106066944.00
GM2noBHs 1.00 7 2 135389.83 172.42 -94.63 103.07 0.44 0.42 222.05 14568.81 5639102.42 0.0000133492 1.69 924937100283908007657472.00
GM2noBHs 1.00 8 3 279976.93 173.05 -93.42 107.43 0.80 0.62 224.09 14061.62 6110433.01 0.0000177444 4.51 825950674842606928658432.00
GM2noBHs 1.00 9 2 166698.37 167.12 -93.82 101.00 0.47 0.35 216.64 14755.77 5274004.13 0.0000110960 3.75 989494552309167598600192.00
GM2noBHs 1.00 10 2 316481.41 174.99 -94.34 105.74 0.50 0.38 225.17 13297.51 7903675.29 0.0000378133 2.42 630205271066980971970560.00
GM2noBHs 1.00 11 2 298320.50 171.97 -76.72 107.69 0.52 0.36 216.93 17226.02 2340722.30 0.0000012144 4.89 2218248642526007984652288.00
GM2noBHs 1.00 12 2 144475.79 169.08 -87.25 108.93 0.12 0.09 219.24 14798.54 4297827.03 0.0000069464 1.21 1142624695133084789506048.00
GM2noBHs 1.00 13 2 267754.11 168.21 -94.65 107.30 0.38 0.32 220.83 14343.69 5412866.22 0.0000127997 1.05 928117974612096191561728.00
GM2noBHs 1.00 14 2 302922.53 182.77 -92.45 104.81 0.49 0.45 230.08 14365.51 5064505.12 0.0000110350 1.56 971136322114135674322944.00
GM2noBHs 1.00 15 2 264071.96 178.21 -92.28 112.20 0.56 0.45 229.92 15123.22 3618432.88 0.0000045385 0.96 1331924587424320589922304.00
GM2noBHs 1.00 16 2 265512.94 170.23 -101.28 107.05 0.62 0.39 225.16 25666.50 2431908.54 0.0000003636 7.96 4254932266420490098180096.00
GM2noBHs 1.00 17 2 373466.18 183.92 -83.41 96.50 0.44 0.37 223.82 17215.25 3263574.27 0.0000024299 2.90 1769945339137867466670080.00
GM2noBHs 1.00 18 2 325197.92 175.03 -74.04 75.89 0.26 0.26 204.63 21890.12 1757760.25 0.0000003226 4.06 4053332663522501312118784.00
GM2noBHs 1.00 19 2 367019.97 182.64 -79.54 85.77 0.44 0.38 216.89 20164.16 2240716.58 0.0000006895 2.01 2992074680879957191688192.00
GM2noBHs 1.00 20 2 425241.35 187.46 -34.48 40.52 0.40 0.40 194.87 18467.17 2363654.85 0.0000009959 6.18 2511862752263358583406592.00
GM2noBHs 1.00 21 2 424783.72 187.12 -33.95 37.64 0.36 0.36 193.87 17453.97 2872172.89 0.0000017510 4.98 1998223637596824783552512.00
GM2noBHs 1.00 22 2 264460.01 183.30 -45.76 56.93 0.35 0.29 197.31 20880.39 2162356.90 0.0000005709 5.32 3257665271171305802039296.00
GM2noBHs 1.00 23 2 282628.76 171.75 -52.30 56.96 0.62 0.49 188.35 18389.62 2552533.45 0.0000011745 8.00 2354347825710530876669952.00
GM2noBHs 1.00 24 2 429746.55 171.46 -51.79 63.55 0.21 0.20 190.05 17283.35 2882120.33 0.0000017997 2.30 1955455962178560236453888.00
GM2noBHs 1.00 25 2 442523.41 168.37 -69.07 78.67 0.51 0.49 198.26 18383.95 2828214.45 0.0000014699 1.71 2186917969667258354499584.00
GM2noBHs 1.00 26 2 369767.71 173.87 -82.36 87.90 0.58 0.49 211.52 19834.80 2236175.25 0.0000007207 2.67 2913372001841903302606848.00
GM2noBHs 1.00 27 2 233704.58 103.89 -87.38 70.31 0.15 0.13 152.88 40839.30 9306487.39 0.0000003320 10.36 3676672403545603444834304.00
GM2noBHs 1.00 28 2 218695.55 162.91 -96.77 103.44 0.49 0.33 215.88 16469.12 4197126.77 0.0000048207 7.20 1387418025946071949115392.00
GM2noBHs 1.00 29 6 1187184.66 46.53 11.81 42.92 1.34 0.84 64.39 12700.25 13451764.64 0.0001897808 16.50 405421236223208954265600.00
GM2noBHs 1.00 30 6 1112562.58 45.62 9.53 43.57 1.34 0.79 63.80 12313.25 14359297.24 0.0003267104 18.36 380205185572912196747264.00
GM2noBHs 1.00 31 2 364896.37 45.84 10.21 42.56 0.22 0.19 63.38 11642.11 14080351.76 0.0003039390 4.23 335632843015052251365376.00
GM2noBHs 1.00 32 72 14422830.43 41.64 13.15 40.40 3.02 1.54 59.49 9737.35 36618437.67 0.0095127630 12.64 127367534192118521135104.00
GM2noBHs 1.00 33 2 360655.77 90.58 1.90 49.95 0.32 0.27 103.46 16252.39 6152594.81 0.0000114228 2.45 1056616547121634266316800.00
GM2noBHs 1.00 34 2 272997.22 90.78 0.53 49.73 0.27 0.17 103.51 16490.31 5220250.34 0.0000075653 2.69 1208990435901961033220096.00
GM2noBHs 1.00 35 3 650502.29 89.66 2.66 49.93 0.36 0.29 102.66 16988.21 5734444.09 0.0000084882 3.29 1192457928996197228347392.00
GM2noBHs 1.00 36 18 3425634.33 58.16 8.80 42.54 2.10 1.09 72.59 12697.01 12823218.31 0.0002055226 11.59 434156696734566849708032.00
GM2noBHs 1.00 37 2 436074.08 45.18 12.05 42.53 0.38 0.37 63.21 12316.71 14160395.52 0.0002575778 9.31 370540325386243419406336.00
GM2noBHs 1.00 38 2 365421.92 53.80 7.33 43.67 0.34 0.29 69.68 19647.22 5650935.66 0.0000051258 5.00 1543290483238735888515072.00
GM2noBHs 1.00 39 19 3531104.56 44.38 8.33 42.57 2.88 1.43 62.05 12014.50 15300242.18 0.0005351392 16.86 358283155072073452224512.00
GM2noBHs 1.00 40 12 2461642.40 81.54 6.12 48.10 1.69 1.09 94.86 13663.11 8160441.13 0.0000407071 6.69 661124398697524227997696.00
GM2noBHs 1.00 41 2 425344.74 79.89 3.17 46.37 0.45 0.45 92.42 14522.87 8358955.85 0.0000325990 6.06 712311004790566667943936.00
GM2noBHs 1.00 42 2 424241.23 80.86 1.47 47.23 0.26 0.26 93.65 17350.80 5998506.74 0.0000087292 4.85 1202431247142761892151296.00
GM2noBHs 1.00 43 5 1061397.88 77.85 2.72 45.92 0.79 0.47 90.42 13966.84 8644156.82 0.0000411144 4.43 653283354002005814149120.00
GM2noBHs 1.00 44 3 577607.17 90.02 -2.14 47.55 0.66 0.38 101.83 17187.09 5802127.72 0.0000083206 3.09 1210896709556805868453888.00
GM2noBHs 1.00 45 2 424216.21 92.06 -0.13 48.77 0.47 0.47 104.18 18035.43 4637760.21 0.0000044722 4.05 1528831121928264932655104.00
GM2noBHs 1.00 46 2 324095.71 87.53 -0.08 46.52 0.46 0.44 99.12 21363.80 4684253.48 0.0000028455 4.77 2039926020844012485738496.00
GM2noBHs 1.00 47 2 111873.20 87.66 -33.74 43.98 0.12 0.11 103.72 32921.44 2821698.75 0.0000001786 1.84 5793038607656628321779712.00
GM2noBHs 1.00 48 2 424321.09 88.73 -1.83 46.85 0.16 0.16 100.36 16063.75 5964852.05 0.0000108720 2.39 1060245010468026059849728.00
GM2noBHs 1.00 49 2 254574.05 83.54 -2.52 46.83 0.42 0.35 95.80 40417.67 6408497.29 0.0000006178 5.21 4763748585836774307135488.00
GM2noBHs 1.00 50 4 593398.16 76.55 8.33 49.28 0.57 0.50 91.42 17584.22 5019807.69 0.0000058031 5.94 1387450437850303909855232.00
GM2noBHs 1.00 51 3 636370.75 76.62 8.55 47.73 0.37 0.30 90.67 16508.34 5475400.45 0.0000083557 3.97 1173444365176728046272512.00
GM2noBHs 1.00 52 12 2437203.41 70.15 7.95 47.04 1.32 0.80 84.84 14062.96 7840483.05 0.0000302373 7.95 703372074716420944953344.00
GM2noBHs 1.00 53 12 2276768.20 59.88 6.76 46.51 0.85 0.51 76.12 12270.96 12281260.02 0.0001711336 7.14 410518060368147230228480.00
GM2noBHs 1.00 54 10 2037142.22 67.22 13.78 45.51 1.20 0.61 82.34 13308.43 9949577.12 0.0000701950 7.13 546817817837256212217856.00
GM2noBHs 1.00 55 3 635282.27 63.59 -17.36 48.48 0.92 0.59 81.83 16103.62 5900808.68 0.0000117220 7.37 1090671864406142135304192.00
GM2noBHs 1.00 56 3 405978.58 71.86 -17.67 49.93 0.72 0.40 89.27 20673.63 3322001.27 0.0000014233 5.20 2397545555986638169964544.00
GM2noBHs 1.00 57 13 2354942.36 62.81 -16.25 47.65 1.75 0.80 80.50 15294.99 6918316.52 0.0000188715 7.99 885755510023787701600256.00
GM2noBHs 1.00 58 2 277199.61 167.65 -72.92 75.36 0.73 0.47 197.74 18986.46 2104291.12 0.0000007296 7.80 2809761961839002818445312.00
GM2noBHs 1.00 59 2 270455.15 160.19 -78.34 78.83 0.70 0.45 194.97 17572.46 2985902.92 0.0000019283 3.13 1956383741703331233398784.00
GM2noBHs 1.00 60 2 486514.45 161.17 -80.46 88.37 0.52 0.48 200.64 20137.36 2765724.13 0.0000010887 4.32 2582325427399974285475840.00
GM2noBHs 1.00 61 2 427969.68 180.17 -87.75 79.58 0.26 0.26 215.63 33263.52 2935535.69 0.0000002386 6.67 5766362550685532654927872.00
GM2noBHs 1.00 62 2 429371.61 156.88 -80.10 82.62 0.40 0.40 194.56 15816.96 3583819.78 0.0000038940 1.64 1455933203531853178339328.00
GM2noBHs 1.00 63 2 215348.53 174.49 -86.42 89.65 0.36 0.32 214.36 18102.46 3065774.75 0.0000018335 5.45 2010598295792672846118912.00
GM2noBHs 1.00 64 2 368644.34 174.19 -89.69 85.97 0.26 0.23 213.96 18138.86 2248273.61 0.0000009508 0.79 2495159750527158681862144.00
GM2noBHs 1.00 65 3 467746.54 177.92 -91.15 87.48 0.88 0.52 218.22 18693.92 1783650.45 0.0000005541 7.19 3088632336861747382059008.00
GM2noBHs 1.00 66 2 383088.22 179.14 -86.48 72.83 0.48 0.43 211.83 20071.62 1615741.56 0.0000003572 4.30 3693077774899097928466432.00
