model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM1noBHs 1.00 0 15 2734967.29 -3.49 -7.24 15.38 0.47 0.30 17.36 11597.69 60976837.62 0.0132008163 20.17 97166058109447755005952.00
GM1noBHs 1.00 1 130 24186441.24 21.23 -11.19 38.75 8.52 3.97 45.58 11629.04 33726752.71 0.0048284994 29.93 191806106593226076979200.00
GM1noBHs 1.00 2 64 11951995.09 12.44 -8.45 33.01 4.91 2.08 36.28 10971.02 49314090.76 0.0120011561 31.50 138766329091921115348992.00
GM1noBHs 1.00 3 101 18852531.95 5.38 -5.28 27.37 6.09 3.14 28.39 11570.02 43750068.21 0.0076518799 37.33 146722673968513529413632.00
GM1noBHs 1.00 4 4 814212.21 9.34 -5.95 33.01 0.67 0.43 34.82 16603.85 18384302.59 0.0001206526 15.17 520733975865375003246592.00
GM1noBHs 1.00 5 4 789165.66 16.81 -17.71 24.27 0.53 0.37 34.43 32626.31 23548583.47 0.0000146254 7.25 1386861577977598494900224.00
GM1noBHs 1.00 6 16 2991001.64 10.21 -15.89 24.21 1.24 0.67 30.71 12597.83 31635225.05 0.0019399176 23.66 212475030922192287170560.00
GM1noBHs 1.00 7 6 1087839.84 10.57 -12.31 20.97 0.65 0.33 26.51 13974.70 24177705.01 0.0006140998 10.21 314724400345705252651008.00
GM1noBHs 1.00 8 4 780389.90 -16.95 -4.84 9.23 0.59 0.34 19.90 12518.33 34683302.84 0.0024001117 20.68 191953186744761139068928.00
GM1noBHs 1.00 9 7 1484669.88 8.76 32.28 8.46 1.05 0.67 34.50 13624.57 19744094.91 0.0003703065 16.89 357200526314995802177536.00
GM1noBHs 1.00 10 21 4464486.45 -1.66 18.87 9.89 1.12 0.70 21.37 11409.36 58938217.99 0.0125444387 25.86 102024244101095136165888.00
GM1noBHs 1.00 11 16 3393975.27 -5.87 23.03 5.18 1.28 0.54 24.32 11522.63 43758971.77 0.0074577883 20.49 136754970709076507361280.00
GM1noBHs 1.00 12 13 2122338.33 -14.35 2.86 4.77 1.42 0.71 15.39 39828.73 847065560.82 0.0354956551 24.33 171617466013420762431488.00
GM1noBHs 1.00 13 20 4243981.62 12.04 31.36 3.47 1.44 0.85 33.77 12211.80 34907502.70 0.0029615593 23.23 188171800280046571094016.00
GM1noBHs 1.00 14 36 5912659.22 -13.37 5.18 5.31 3.63 1.79 15.29 54622.26 1030885260.36 0.0279907303 37.93 296019538775445866545152.00
GM1noBHs 1.00 15 3 636436.44 -3.78 25.48 4.97 0.58 0.46 26.24 18621.06 19480625.58 0.0000753042 13.55 612444101362828598837248.00
