model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM3noBHs 1.00 0 3 587130.33 -65.01 -38.28 -229.51 0.55 0.43 241.59 29838.87 11815402.25 0.0000107451 9.17 1858968448833529088835584.00
GM3noBHs 1.00 1 2 367362.57 -60.42 -42.46 -230.63 0.44 0.42 242.16 15845.63 4134196.23 0.0000055127 17.60 1311490069745245205037056.00
GM3noBHs 1.00 2 3276 479747220.13 10.83 -10.53 0.45 9.58 3.43 15.12 67495.27 11449619926.53 0.8409415900 133.70 116261024607354058964992.00
GM3noBHs 1.00 3 2 377103.48 -51.44 -44.81 -232.57 0.57 0.41 242.37 23833.88 6686420.77 0.0000030299 18.06 1882003858881971069386752.00
GM3noBHs 1.00 4 2 270209.63 -66.39 -33.42 -222.38 0.46 0.36 234.47 20748.87 1317878.31 0.0000002185 4.96 4438829135980977555767296.00
GM3noBHs 1.00 5 2 283557.88 -67.96 -34.11 -227.21 0.43 0.36 239.60 25092.21 2992399.68 0.0000006346 11.15 3506873959002588206596096.00
GM3noBHs 1.00 6 2 324211.03 -60.27 -28.44 -230.52 0.48 0.46 239.96 23838.57 3673214.40 0.0000011440 22.60 2804292846093521192484864.00
GM3noBHs 1.00 7 2 319751.90 -59.26 -19.89 -232.31 0.60 0.50 240.57 27719.98 2313110.41 0.0000002613 6.31 4928298740016856938053632.00
GM3noBHs 1.00 8 2 349468.32 -67.32 -37.42 -228.04 0.52 0.50 240.69 16130.69 4813339.97 0.0000075779 4.72 1223426979816680818999296.00
GM3noBHs 1.00 9 3 525041.21 -64.62 -36.03 -228.07 0.76 0.52 239.77 17088.18 4794987.80 0.0000062651 19.16 1344702727457943171629056.00
GM3noBHs 1.00 10 6 1007055.85 -61.13 91.17 2.84 0.96 0.75 109.81 14649.61 8832981.81 0.0000358202 10.59 692619885522619111309312.00
GM3noBHs 1.00 11 7 1504424.25 -67.22 96.71 3.43 1.17 0.86 117.83 12465.65 13532201.90 0.0002446323 11.87 390263534717284745478144.00
GM3noBHs 1.00 12 2 426010.64 -64.72 92.00 3.32 0.41 0.40 112.53 14095.74 8792268.25 0.0000398453 14.94 651657327590502939230208.00
GM3noBHs 1.00 13 14586 2486157372.71 -71.92 112.27 5.70 18.93 6.26 133.45 14714.85 1723662668.82 0.2531876587 54.54 75338100729806866874368.00
GM3noBHs 1.00 14 2 378931.43 -67.40 94.78 1.12 0.37 0.32 116.31 15769.42 8779862.86 0.0000288267 7.46 783180469192339149029376.00
GM3noBHs 1.00 15 3 365852.75 -69.39 89.47 2.01 0.92 0.51 113.24 15441.61 8365490.91 0.0000269169 16.87 785544828024347512799232.00
GM3noBHs 1.00 16 3 432923.35 -59.43 91.74 1.12 0.58 0.44 109.31 16802.29 5889555.50 0.0000093281 14.02 1148478642283206586400768.00
GM3noBHs 1.00 17 4 801736.71 -66.69 98.50 1.49 0.63 0.46 118.96 11219.87 17755935.34 0.0008515385 7.45 259808696653805369950208.00
GM3noBHs 1.00 18 2 319816.84 -63.84 98.55 2.11 0.45 0.45 117.44 14963.38 7393714.59 0.0000226995 13.15 802785875448413152083968.00
GM3noBHs 1.00 19 2 440935.77 -68.19 90.32 2.49 0.49 0.49 113.20 14853.97 7080371.86 0.0000207545 5.52 821051013828772221681664.00
