model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
P0 1.00 0 8 1478017.57 7.66 -10.35 20.32 0.67 0.40 24.06 12306.43 34359899.72 0.0025151609 12.45 186766195535974661881856.00
P0 1.00 1 3 636961.25 -19.18 -16.93 9.36 0.08 0.06 27.24 13137.77 21326467.45 0.0005085108 4.94 309193814091429977260032.00
P0 1.00 2 3 688132.36 4.57 -29.62 14.08 0.07 0.05 33.11 14419.04 15774770.15 0.0001299379 2.03 449170999905247746326528.00
P0 1.00 3 8 1485010.06 6.74 -7.23 21.03 1.11 0.56 23.24 14351.99 32119745.26 0.0013711030 25.27 269328451477028999266304.00
P0 1.00 4 159 29418413.21 4.38 -6.08 17.36 5.04 2.41 18.91 11572.84 114458742.74 0.0364652265 47.78 77508781956037588549632.00
P0 1.00 5 5 853565.62 18.28 -6.37 20.11 0.85 0.46 27.91 34422.58 52971401.16 0.0002867341 6.35 880972772270331477884928.00
P0 1.00 6 51 10076591.11 -2.31 -6.80 22.58 3.48 1.87 23.70 11735.62 50544977.95 0.0092329599 29.58 126076498310144444071936.00
P0 1.00 7 160 30466831.31 2.35 -12.77 25.29 5.17 2.26 28.43 10898.04 108175672.10 0.0392047783 35.21 96561367803646082809856.00
P0 1.00 8 23 4474279.50 4.52 -8.60 23.74 1.76 0.86 25.65 11605.47 42725912.06 0.0073907409 46.02 146463841225186423603200.00
P0 1.00 9 22 3700949.31 1.81 -7.73 21.37 1.25 0.54 22.80 12789.94 69414600.87 0.0160282318 28.79 119963883106203078754304.00
P0 1.00 10 5 847660.66 12.60 -12.82 20.39 0.79 0.45 27.18 15864.01 23570929.64 0.0003318385 15.41 401972539383797702983680.00
P0 1.00 11 13 2301081.61 17.01 -12.59 22.30 1.61 0.82 30.74 13417.84 21396706.24 0.0005892530 18.88 327153754206961760468992.00
P0 1.00 12 2 385270.50 20.30 -12.91 20.85 0.50 0.44 31.84 41940.99 27164564.46 0.0000057594 12.19 1914419394637108831322112.00
P0 1.00 13 3 596451.80 8.51 -13.69 23.61 0.54 0.49 28.59 18728.21 18495541.65 0.0000677353 25.41 636284420395040252100608.00
P0 1.00 14 19 3276336.68 14.00 -6.21 26.65 2.23 0.99 30.74 12263.06 28909705.60 0.0019443390 21.53 225921438897695560302592.00
P0 1.00 15 3 533305.65 8.19 -5.54 21.68 0.51 0.33 23.83 24352.85 30301345.32 0.0000620231 20.78 710342049007762325635072.00
P0 1.00 16 3 664194.61 7.11 -1.20 32.98 0.48 0.36 33.76 32589.77 28006428.01 0.0000367280 13.32 1226684219155567217737728.00
P0 1.00 17 2 417462.91 10.31 -0.05 22.22 0.20 0.18 24.50 15301.36 22294533.14 0.0003353638 29.91 383121317472942447132672.00
P0 1.00 18 10 2120862.29 27.67 -28.50 67.58 0.08 0.04 78.39 20975.32 9664181.96 0.0000083403 1.03 1207955434033150185963520.00
P0 1.00 19 3 502866.80 28.62 -23.93 40.59 0.62 0.56 55.13 17837.12 13254841.32 0.0000338530 8.56 735582089773494690643968.00
P0 1.00 20 148 28392819.94 14.48 4.40 4.70 5.45 2.39 15.85 64953.36 1233630306.73 0.0503858739 41.10 322834920628491718230016.00
P0 1.00 21 4 804296.81 1.75 14.57 8.12 0.16 0.09 16.77 11226.53 57604905.83 0.0128546098 7.77 95133626749494329606144.00
P0 1.00 22 3 670237.07 7.59 16.52 -20.14 0.14 0.09 27.13 13354.84 19628871.25 0.0003530047 5.91 337833863903696583131136.00
P0 1.00 23 2 384427.61 12.70 10.36 10.36 0.41 0.32 19.39 91817.83 523095272.89 0.0048135121 13.83 980123854589113556533248.00
P0 1.00 24 6 1014094.90 13.08 9.04 7.94 0.79 0.57 17.77 77537.32 750852071.25 0.0114546823 23.67 577471588539405554417664.00
P0 1.00 25 11 2268507.09 10.13 9.47 8.01 1.25 0.58 16.02 52350.24 739402055.52 0.0314092774 23.97 308307017200649554100224.00
P0 1.00 26 2 425887.31 13.24 -7.10 -3.25 0.43 0.42 15.37 118212.11 1268295544.27 0.0094423408 23.29 831755348908095083380736.00
P0 1.00 27 7 1159376.88 13.25 3.52 6.48 0.87 0.64 15.16 50307.43 541613487.06 0.0260382750 22.73 339544625729295127412736.00
P0 1.00 28 2 426159.12 15.46 -4.13 -1.49 0.17 0.17 16.07 10977.07 86480220.79 0.0255921068 16.53 65123020273099233820672.00
P0 1.00 29 4 599338.94 11.86 0.63 9.27 0.31 0.18 15.07 11051.99 62929758.47 0.0169702410 14.68 81414690867149914767360.00
P0 1.00 30 8 1652334.43 -8.15 8.69 9.73 0.40 0.22 15.38 10936.03 97033468.59 0.0303006637 16.04 59447704418907565588480.00
P0 1.00 31 2 453305.81 -8.98 9.38 10.56 0.19 0.19 16.73 12329.25 47649907.91 0.0071428717 8.43 134887422964933249204224.00
P0 1.00 32 2 372669.97 8.36 8.98 9.88 0.19 0.17 15.75 11214.85 62841938.05 0.0152706353 9.04 87444069882542877048832.00
P0 1.00 33 10 1889648.11 -9.99 7.06 9.51 0.81 0.48 15.49 11589.59 81594605.98 0.0215041973 15.90 79150351845321871458304.00
P0 1.00 34 4 749861.14 9.15 8.71 8.45 0.57 0.27 15.20 11167.68 213653997.46 0.0818738575 19.10 37255341111116677775360.00
P0 1.00 35 2 428087.41 5.44 12.02 8.88 0.25 0.25 15.90 112404.80 1023903348.53 0.0075881752 14.57 874752816618376292990976.00
P0 1.00 36 4 777610.57 14.57 9.05 8.65 0.42 0.18 19.21 62137.42 505553754.35 0.0132356246 11.09 510913656392400576184320.00
P0 1.00 37 9 1828576.73 15.22 6.95 7.27 0.85 0.43 18.24 38136.82 469061509.52 0.0225251765 24.56 240913855565072898719744.00
