model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM2 1.0 0 18940 3725058320.21 -19.87 21.59 -29.97 27.55 10.8 41.94 12982.86 404158994.03 0.0834212178680938 70.61 0.0
GM2 1.0 1 2 428411.3 -99.64 -61.06 32.64 0.41 0.41 121.34 23458.25 3938040.62 8.682589968777901e-07 3.18 0.0
GM2 1.0 2 4 876854.46 -65.07 -40.27 30.28 0.78 0.4 82.3 32432.28 7179550.51 1.2378565081348775e-06 5.79 0.0
GM2 1.0 3 3 525964.11 -32.73 10.4 25.38 0.61 0.41 42.7 18145.11 7821254.44 8.842154416906963e-06 8.36 0.0
GM2 1.0 4 3 653724.36 -59.47 -46.4 49.9 0.46 0.36 90.44 27201.93 4163245.39 5.773497419470503e-07 3.81 0.0
GM2 1.0 5 14 2951941.87 -63.4 -35.34 23.29 1.29 0.78 76.23 16349.89 9891659.55 2.188283097249597e-05 6.54 0.0
GM2 1.0 6 2 425787.53 -70.92 -40.09 47.12 0.39 0.39 94.11 27943.24 4152885.15 5.063357962902112e-07 12.89 0.0
GM2 1.0 7 3 655037.84 -71.17 -38.2 47.7 0.5 0.33 93.81 24552.58 3551371.76 6.049483558749163e-07 2.95 0.0
GM2 1.0 8 6 1264778.28 -79.98 -45.82 24.05 1.51 0.88 95.26 20721.3 4918335.93 2.119117723937886e-06 9.61 0.0
GM2 1.0 9 18 3719978.86 -74.58 -47.38 10.9 1.68 0.86 89.03 15093.56 9877767.74 2.8994844276399813e-05 10.86 0.0
GM2 1.0 10 2 341465.77 -78.57 -46.05 23.4 0.48 0.46 94.03 22950.47 4774352.43 1.410871980733219e-06 4.98 0.0
GM2 1.0 11 3 648863.69 -59.89 -19.33 6.37 0.58 0.52 63.26 20025.67 5696016.1 3.324130059027541e-06 8.01 0.0
GM2 1.0 12 15 3232265.94 -69.06 -53.63 1.44 2.11 1.09 87.45 14994.3 10440637.51 3.4963616654213976e-05 10.24 0.0
GM2 1.0 13 3 612918.74 -63.89 -58.25 4.28 1.01 0.63 86.57 41460.0 5434163.17 1.3142685217045717e-07 3.96 0.0
GM2 1.0 14 2 429721.52 -62.72 -63.21 11.55 0.14 0.13 89.79 18116.94 6867700.67 6.733380791205508e-06 2.89 0.0
GM2 1.0 15 2 475549.03 -63.73 -67.67 12.59 0.34 0.31 93.8 20592.06 5278663.01 2.5519327777474785e-06 1.41 0.0
GM2 1.0 16 2 434062.43 -71.91 -64.62 25.78 0.49 0.49 100.06 35392.73 7073710.8 5.564242858523577e-07 5.14 0.0
GM2 1.0 17 2 453998.83 -60.09 -66.12 9.2 0.48 0.47 89.82 20943.48 5389495.01 2.6232358286676967e-06 9.89 0.0
GM2 1.0 18 2 444058.59 -63.7 -64.33 9.3 0.49 0.49 91.01 18354.71 7034736.42 6.913263999883843e-06 3.0 0.0
GM2 1.0 19 2 425597.9 -62.29 -64.42 9.11 0.32 0.29 90.07 16920.15 7347582.06 9.69960542862357e-06 12.64 0.0
GM2 1.0 20 2 378914.88 -69.56 -57.31 2.72 0.2 0.17 90.17 25325.17 7002610.02 2.0821884879892057e-06 7.3 0.0
GM2 1.0 21 2 466634.39 -67.62 -55.73 2.97 0.46 0.46 87.67 20425.21 6575225.98 4.530431244047124e-06 7.81 0.0
GM2 1.0 22 2 434034.81 -70.72 -55.88 2.04 0.37 0.37 90.16 19833.9 7502339.12 6.740390968438285e-06 8.03 0.0
GM2 1.0 23 5 1001885.43 -87.64 -45.84 27.9 1.3 0.9 102.76 17476.06 6140855.77 6.669871223453587e-06 9.44 0.0
GM2 1.0 24 6 1227245.92 -91.42 -45.28 27.5 1.57 0.83 105.66 13342.01 10981300.64 7.097451072045389e-05 9.84 0.0
GM2 1.0 25 2 430487.54 -92.64 -50.42 27.98 0.32 0.32 109.11 37304.37 7214729.51 4.20256724056253e-07 7.32 0.0
GM2 1.0 26 2 397848.37 -92.34 -47.24 24.91 0.48 0.4 106.67 13086.51 11979901.19 9.377196267357204e-05 3.06 0.0
GM2 1.0 27 2 311461.82 -89.47 -50.44 23.12 0.33 0.32 105.28 21609.53 4683090.28 1.649339725617274e-06 11.59 0.0
GM2 1.0 28 2 425977.31 -91.15 -42.69 42.07 0.34 0.34 109.09 32315.98 6841895.34 8.53118304646207e-07 9.6 0.0
GM2 1.0 29 2 374891.4 -97.94 -43.57 36.64 0.54 0.48 113.28 17682.22 8223726.64 1.1176403345807887e-05 5.18 0.0
GM2 1.0 30 2 441739.36 -104.22 -42.68 48.95 0.24 0.24 122.8 44238.76 6303115.78 1.3702027312799205e-07 2.67 0.0
GM2 1.0 31 17 3605433.75 -99.99 2.24 7.91 0.3 0.05 100.33 22845.89 11176537.99 7.997751831152505e-06 1.26 0.0
GM2 1.0 32 2 424191.0 -89.14 -46.22 26.66 0.24 0.24 103.89 14987.06 7891012.11 1.644482651528002e-05 7.21 0.0
GM2 1.0 33 3 618947.18 -81.64 -46.69 21.97 0.45 0.4 96.58 26894.45 4960733.44 8.517593302877937e-07 11.98 0.0
GM2 1.0 34 2 398377.59 -113.76 -42.38 21.78 0.33 0.28 123.33 19372.01 4126609.7 1.8054181916499268e-06 14.16 0.0
GM2 1.0 35 65 13311923.46 -17.21 25.97 -11.6 2.78 1.16 33.24 9771.06 77167466.83 0.026916347555739583 27.42 0.0
GM2 1.0 36 81 16131556.53 -20.61 27.43 -9.8 4.85 2.56 35.68 10895.13 38615068.89 0.00665104542682762 30.34 0.0
GM2 1.0 37 13 2737780.79 -29.04 15.58 -7.91 1.61 0.95 33.89 14680.88 18086717.62 0.00020566944047513479 22.71 0.0
GM2 1.0 38 35 6470012.77 -23.62 11.65 -50.3 3.27 1.49 56.78 11752.27 27493687.79 0.002338159913007602 32.2 0.0
GM2 1.0 39 141 27820446.89 -22.76 9.11 -38.28 6.33 2.46 45.46 11273.28 79373263.8 0.026369928323705133 32.55 0.0
GM2 1.0 40 21 4290578.73 -22.03 1.05 -38.45 2.76 1.46 44.33 12331.14 22374369.14 0.0010293994060797652 24.96 0.0
GM2 1.0 41 14 2583544.65 -25.04 10.03 -48.63 1.43 0.93 55.61 16001.27 35911420.5 0.0009929230773949125 32.0 0.0
GM2 1.0 42 11 2185005.88 -26.15 7.82 -45.4 1.47 0.92 52.97 15514.32 19982274.49 0.0002197437113281329 36.53 0.0
GM2 1.0 43 3 478961.96 -26.24 10.83 -50.4 0.63 0.45 57.85 14281.85 19397204.44 0.00025327788667253275 31.01 0.0
GM2 1.0 44 7 1360841.06 -24.85 4.41 -45.24 0.8 0.49 51.81 16169.91 15014579.4 6.91833631250956e-05 18.37 0.0
