model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
P0noBHs 1.00 0 40 8488748.80 -14.19 -4.45 -5.40 3.89 1.90 15.82 12116.25 45513549.17 0.0017223197 27.40 177398231605023030116352.00
P0noBHs 1.00 1 3 636602.80 -13.82 -3.12 -8.20 0.56 0.45 16.36 19331.50 24981626.03 0.0000186858 14.43 564346006818339944398848.00
P0noBHs 1.00 2 11 2231426.30 -11.23 -9.01 -6.73 1.80 1.09 15.89 14359.31 28504113.74 0.0001457274 22.36 325746084590634647158784.00
P0noBHs 1.00 3 2 424168.26 9.33 3.26 -11.75 0.32 0.32 15.35 22239.26 17723957.49 0.0000033531 4.02 885105201075293612146688.00
P0noBHs 1.00 4 4 848336.51 9.43 1.44 -13.53 1.23 0.82 16.55 16421.60 21332219.19 0.0000223773 16.01 478929986416841186082816.00
P0noBHs 1.00 5 2 424168.26 3.61 2.92 -15.75 0.47 0.47 16.42 17287.95 20827570.95 0.0000152551 8.04 525340297616084449624064.00
P0noBHs 1.00 6 3 636252.38 3.48 1.31 -14.83 0.56 0.38 15.29 15513.58 21685380.25 0.0000256841 10.06 423974324699794858049536.00
P0noBHs 1.00 7 2 424168.26 -1.13 0.97 -16.39 0.27 0.27 16.46 16595.62 18652501.89 0.0000119504 5.26 525543693125800052129792.00
P0noBHs 1.00 8 6 1272619.14 2.50 0.70 -16.26 1.73 1.00 16.46 16545.81 22033478.71 0.0000254979 21.80 473199687624542048485376.00
P0noBHs 1.00 9 2 424168.26 1.07 -0.52 -15.19 0.49 0.49 15.24 15754.80 17033707.79 0.0000110231 13.94 511858847216134778781696.00
P0noBHs 1.00 10 2 432925.12 -1.98 11.15 -10.33 0.42 0.42 15.33 20353.37 7467658.69 0.0000005762 6.53 1356586973717863369539584.00
P0noBHs 1.00 11 3 458076.09 -9.95 7.81 -8.43 0.50 0.34 15.20 22955.26 11821348.27 0.0000011441 13.21 1224729296679662765735936.00
P0noBHs 1.00 12 3 640148.35 -11.00 10.28 -4.31 0.82 0.57 15.66 20797.79 6671580.45 0.0000004416 11.79 1552065356498479030992896.00
P0noBHs 1.00 13 2 424168.26 -0.26 1.70 -15.43 0.47 0.47 15.53 14960.61 26477979.29 0.0000644558 15.44 349389504569453710409728.00
