model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM3SI1 1.00 0 2 424168.26 -6.07 -9.76 -12.06 0.47 0.47 16.66 21112.51 21365608.61 0.0000070698 8.16 716425595858812166733824.00
GM3SI1 1.00 1 4 851513.56 -4.49 -11.47 -10.23 0.94 0.73 16.01 18093.64 19509248.45 0.0000106171 15.83 592896238402046242324480.00
GM3SI1 1.00 2 3 636262.29 -5.02 -9.86 -11.90 0.69 0.51 16.25 21377.16 24551330.36 0.0000105717 16.10 667488592691023923118080.00
GM3SI1 1.00 3 2 432545.01 -0.28 -10.40 -13.16 0.41 0.40 16.78 46115.35 22241506.46 0.0000003181 10.15 2565054493120182941122560.00
GM3SI1 1.00 4 2 430143.03 0.31 14.90 -6.23 0.41 0.41 16.15 25170.32 14243937.37 0.0000012650 15.07 1270710430959105615069184.00
GM3SI1 1.00 5 2 426997.30 2.18 11.29 -10.72 0.35 0.35 15.72 17301.27 15252655.72 0.0000063823 7.54 653791369096780809502720.00
GM3SI1 1.00 6 3 636390.50 -9.28 6.85 -11.16 0.79 0.58 16.05 27212.46 17947254.56 0.0000017494 20.42 1232795202893312761528320.00
GM3SI1 1.00 7 2 427685.28 10.74 1.89 -10.61 0.23 0.23 15.21 22228.01 10052452.18 0.0000008405 4.16 1288811764477643863359488.00
GM3SI1 1.00 8 64 13524221.00 -1.81 2.73 -15.45 3.60 1.34 15.79 10398.29 96191906.98 0.0252082717 26.65 102452858814987113594880.00
GM3SI1 1.00 9 3 644554.42 -3.48 -12.71 -8.94 0.72 0.52 15.92 18607.13 15945517.12 0.0000049832 12.36 706387942751601629855744.00
GM3SI1 1.00 10 2 428070.80 -6.28 -11.97 -9.29 0.37 0.37 16.40 17277.30 15845952.92 0.0000063824 13.83 626435231176441664110592.00
GM3SI1 1.00 11 2 424168.26 -5.31 -14.34 -6.59 0.25 0.25 16.65 22065.74 16543988.36 0.0000028621 3.53 914528457975937703608320.00
GM3SI1 1.00 12 2 364433.73 -13.96 -1.32 -8.31 0.18 0.16 16.30 23477.61 14287428.05 0.0000015539 2.28 1118231136732841622110208.00
GM3SI1 1.00 13 2 424168.26 -13.69 -3.79 -8.72 0.24 0.24 16.67 21454.80 15226802.80 0.0000025459 1.67 922600242848150239313920.00
GM3SI1 1.00 14 2 425164.34 -11.55 4.66 -10.14 0.38 0.38 16.06 16719.64 15523709.10 0.0000067510 9.87 601843168280573600858112.00
GM3SI1 1.00 15 2 425332.90 -12.33 3.05 -8.31 0.32 0.32 15.18 16196.12 18288089.64 0.0000127346 10.04 511590357443303260028928.00
GM3SI1 1.00 16 2 424168.26 2.47 -1.48 -15.66 0.42 0.42 15.92 18943.55 24894011.97 0.0000194280 6.84 543206726279162895532032.00
GM3SI1 1.00 17 20 4259990.66 8.85 -2.70 -12.87 2.28 1.34 15.85 13394.34 32297295.77 0.0002750592 17.67 265414738255850101538816.00
GM3SI1 1.00 18 2 424781.87 9.26 -6.21 -11.46 0.44 0.44 15.99 25252.92 14758590.64 0.0000013151 15.45 1237973156339967680577536.00
GM3SI1 1.00 19 2 424168.26 12.49 -2.75 -9.16 0.19 0.19 15.73 26639.66 24585008.21 0.0000038021 6.15 963382386449298837471232.00
GM3SI1 1.00 20 2 425870.33 11.40 -9.72 -5.98 0.44 0.44 16.13 34834.64 16299360.75 0.0000004420 18.58 1984685129602993701781504.00
GM3SI1 1.00 21 3 579741.50 1.52 -12.84 -9.10 0.68 0.60 15.81 21813.07 13454035.12 0.0000018544 12.64 1032003876341033650356224.00
GM3SI1 1.00 22 5 1061778.25 5.63 -1.52 -14.66 0.96 0.77 15.78 13887.96 30756232.71 0.0001326383 12.49 277715821227866234814464.00
GM3SI1 1.00 23 2 424168.26 3.89 -1.77 -14.74 0.21 0.21 15.34 14321.31 32258691.92 0.0001360339 3.82 282812682778963685146624.00
GM3SI1 1.00 24 2 424629.63 2.73 -8.97 -12.60 0.38 0.38 15.71 21208.90 12211153.01 0.0000015019 11.72 1047351934343417285312512.00
GM3SI1 1.00 25 6 1287282.28 -1.32 -6.60 14.19 0.91 0.75 15.70 16272.92 22512963.12 0.0000342873 15.11 457604556153354312482816.00
GM3SI1 1.00 26 2 425932.07 -3.46 -5.57 14.72 0.40 0.40 16.12 19199.57 13845946.40 0.0000029756 10.73 816487264961119830147072.00
GM3SI1 1.00 27 2 303074.44 -8.06 -4.95 13.27 0.65 0.45 16.29 16604.16 12381186.29 0.0000045265 6.21 710687363195133340155904.00
GM3SI1 1.00 28 2 424173.82 -0.71 -4.14 -15.44 0.30 0.30 16.01 32743.73 13877460.87 0.0000004449 9.51 1986137653683897438830592.00
GM3SI1 1.00 29 2 427579.97 -1.54 -6.25 -14.99 0.38 0.38 16.31 19209.23 9836958.45 0.0000012583 4.69 1025676666220848978329600.00
GM3SI1 1.00 30 6 1279793.85 -2.57 -10.05 12.13 1.03 0.74 15.96 19556.18 24703974.99 0.0000180315 10.34 573982243896842822615040.00
GM3SI1 1.00 31 5 1079795.74 -1.97 -13.90 7.33 1.06 0.68 15.84 17067.28 16743342.15 0.0000082395 21.96 592118469392853784068096.00
GM3SI1 1.00 32 3 636255.02 0.73 -5.54 14.27 0.62 0.43 15.32 14102.00 23468263.49 0.0000547537 16.56 342921280393346432368640.00
GM3SI1 1.00 33 2 426135.93 1.53 -4.38 15.85 0.41 0.40 16.52 18204.23 16489411.42 0.0000065097 15.89 674371882642412434096128.00
GM3SI1 1.00 34 3 637221.11 -4.49 -3.80 15.43 0.81 0.56 16.51 16619.96 22849796.77 0.0000277375 20.69 463459893588477626810368.00
GM3SI1 1.00 35 5 1008825.81 -9.45 -8.18 10.00 0.61 0.42 16.01 15897.47 17534611.11 0.0000123007 8.69 510588786883373540835328.00
