model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM1 1.00 0 48 10182214.24 -14.26 -4.43 -4.91 3.07 1.61 15.71 11073.63 57635531.99 0.0044103893 32.65 125989652733717047672832.00
GM1 1.00 1 3 636252.38 -10.03 1.46 -11.71 0.74 0.62 15.49 15432.53 24129955.07 0.0000401731 6.74 391680396673767775928320.00
GM1 1.00 2 28 5943383.75 -15.21 0.89 -3.33 2.72 1.59 15.60 12365.51 42354891.51 0.0009262411 22.56 189369589496631162568704.00
GM1 1.00 3 2 427293.88 -5.63 0.25 -14.41 0.49 0.48 15.47 37542.10 28377309.96 0.0000035810 25.11 1573789561840157421731840.00
GM1 1.00 4 2 425316.55 -8.52 0.64 -13.08 0.47 0.47 15.62 16745.58 22664605.78 0.0000213462 15.56 467183397223833458966528.00
GM1 1.00 5 2 424168.26 -3.08 0.89 -15.75 0.48 0.48 16.08 18058.81 19185010.63 0.0000096019 5.64 593996726316743291568128.00
GM1 1.00 6 2 424168.26 0.32 -2.53 -15.30 0.46 0.46 15.51 21727.77 16169319.78 0.0000028559 10.13 907689546809239410835456.00
GM1 1.00 7 6 1273398.97 -15.50 -2.36 -1.77 1.29 0.86 15.78 14204.26 33069411.62 0.0001782516 18.28 279987486927973859196928.00
GM1 1.00 8 5 1060426.68 -15.40 -0.39 -2.14 1.18 0.78 15.56 12997.41 37488161.91 0.0003236420 15.06 217610041209384123498496.00
GM1 1.00 9 8 1699905.20 -14.11 -0.44 -7.46 1.21 0.78 15.97 13346.37 37402561.02 0.0004403624 18.53 240634636811464867840000.00
GM1 1.00 10 10 2120841.28 -14.29 -2.37 -6.39 1.19 0.84 15.83 11755.94 43988911.74 0.0008257198 15.79 162738077360005983502336.00
GM1 1.00 11 3 636252.74 -12.93 0.33 -9.23 0.83 0.63 15.89 15764.03 21366768.84 0.0000241871 7.84 441875616834928722837504.00
GM1 1.00 12 11 2333201.60 -12.61 -3.47 -9.35 1.64 1.03 16.07 14561.36 29524115.01 0.0001125351 24.51 314482150083217560961024.00
GM1 1.00 13 2 367076.35 1.90 -10.90 -10.49 0.23 0.20 15.25 25830.84 11901618.52 0.0000007600 4.30 1481306601717665561051136.00
GM1 1.00 14 8 1701258.77 -6.34 -10.86 -9.55 1.45 0.86 15.79 18686.14 26348239.12 0.0000246636 22.05 509939142026779825274880.00
GM1 1.00 15 4 863657.95 -7.55 -12.25 -7.23 0.80 0.65 16.10 17626.17 18932298.66 0.0000105227 20.85 576503769091944013103104.00
GM1 1.00 16 2 428787.65 1.78 -15.74 -2.43 0.41 0.41 16.02 17015.67 4344896.75 0.0000002937 10.21 1447979188473461901099008.00
GM1 1.00 17 2 364306.40 -6.72 -13.51 -5.60 0.57 0.48 16.10 29816.30 15418803.86 0.0000011174 15.53 1613041263361892919803904.00
GM1 1.00 18 2 425653.25 -8.30 -5.11 -12.20 0.22 0.22 15.61 33894.85 27171909.53 0.0000017694 18.68 1344817550972225698398208.00
GM1 1.00 19 3 636252.80 3.26 -3.62 -14.46 0.72 0.56 15.26 17580.54 9557044.00 0.0000015327 5.11 905393397297115167719424.00
GM1 1.00 20 5 1063394.32 -10.51 -5.17 -11.37 1.03 0.70 16.32 17769.85 21144457.64 0.0000151298 11.91 545145545225096537309184.00
GM1 1.00 21 3 636638.10 -6.47 -9.09 -11.41 0.62 0.42 15.96 19614.68 21419278.15 0.0000099038 16.89 634070017091167278071808.00
GM1 1.00 22 2 424168.26 -8.98 -6.84 -11.74 0.39 0.39 16.29 20455.75 27702289.58 0.0000177941 5.36 571480167158296524881920.00
GM1 1.00 23 2 424570.94 -9.89 1.13 -12.89 0.36 0.36 16.29 14608.37 24728245.20 0.0000538114 15.30 350121930891461295865856.00
GM1 1.00 24 3 636252.38 -11.74 1.12 -11.24 0.58 0.48 16.29 15677.27 20791624.49 0.0000212385 6.99 444094955872121484476416.00
GM1 1.00 25 2 424452.89 -11.59 -1.68 -10.21 0.40 0.40 15.54 16828.63 19486706.23 0.0000137727 6.19 525753777069978007109632.00
GM1 1.00 26 59 12516049.45 13.25 -0.44 -8.58 4.23 2.22 15.79 12736.12 45949586.85 0.0015261288 22.68 199377049849400169332736.00
GM1 1.00 27 3 637037.40 -5.26 1.82 -14.76 0.62 0.53 15.78 17178.95 19145602.87 0.0000117451 13.84 548743932848340524335104.00
GM1 1.00 28 175 37075821.41 15.18 0.50 4.22 5.19 2.62 15.76 10729.69 62710532.68 0.0070818570 27.13 118928714861502342889472.00
