model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM2 1.00 0 78 16483301.95 -3.21 2.14 -15.14 4.68 1.72 15.62 11061.65 79458641.12 0.0148394941 36.13 121165005087498248912896.00
GM2 1.00 1 4 852748.10 -10.48 9.89 6.84 0.77 0.57 15.95 15828.76 21655710.24 0.0000247081 11.11 439551376496295145373696.00
GM2 1.00 2 8 1641969.58 -11.05 8.06 -8.21 1.83 1.09 15.96 20952.67 32742932.28 0.0000366111 35.88 534239165285685922889728.00
GM2 1.00 3 4 848413.49 -12.32 7.17 -7.09 0.47 0.33 15.92 35692.86 51673204.26 0.0000053327 14.34 955358296871711356747776.00
GM2 1.00 4 2 424168.26 -14.04 5.15 2.73 0.21 0.21 15.20 17856.40 20423187.85 0.0000117679 1.92 557954239106203231715328.00
GM2 1.00 5 2 425371.98 -9.83 10.40 5.50 0.30 0.30 15.33 15718.27 16870346.81 0.0000108350 15.47 512031604970944911638528.00
GM2 1.00 6 3 637725.91 -14.42 2.99 4.46 0.51 0.42 15.39 15982.22 24320140.59 0.0000351745 21.18 412556673084126589353984.00
GM2 1.00 7 8 1583592.20 -15.06 2.05 2.75 1.00 0.68 15.44 16735.40 26230858.45 0.0000384792 22.58 424302533784942480982016.00
GM2 1.00 8 35 7282998.95 -6.41 9.23 -10.95 3.30 1.68 15.69 12072.91 45060921.36 0.0016368492 22.96 179754547118970618511360.00
GM2 1.00 9 5 1069637.65 -1.32 13.28 -8.98 1.40 0.91 16.08 29670.82 29519143.02 0.0000114864 24.83 1039501076653772590022656.00
GM2 1.00 10 5 1064977.06 -7.10 4.87 -12.87 0.99 0.68 15.49 16501.34 32232720.29 0.0000840073 27.03 361918045584709547720704.00
GM2 1.00 11 2 424210.05 -9.83 7.98 -9.91 0.40 0.40 16.08 29891.57 29200666.54 0.0000033492 15.60 1038524842831247394734080.00
GM2 1.00 12 3 641548.07 -9.28 4.38 -12.02 0.40 0.36 15.81 16185.82 21215520.26 0.0000217299 20.04 463917202658236265660416.00
GM2 1.00 13 2 428345.17 -15.90 1.02 0.62 0.37 0.37 15.94 21101.54 33043502.76 0.0000312085 16.46 534194355462150916407296.00
GM2 1.00 14 2 424222.19 -6.31 3.18 -14.04 0.35 0.35 15.72 27452.73 40346079.38 0.0000255624 32.58 732840541374238467031040.00
GM2 1.00 15 2 424168.26 -7.99 -0.89 -13.91 0.33 0.33 16.06 20876.52 18974137.38 0.0000055474 9.79 762582458509484309348352.00
GM2 1.00 16 2 366556.62 -5.71 -13.52 5.38 0.49 0.42 15.63 21328.86 18730556.59 0.0000053858 17.87 809829590973064436252672.00
GM2 1.00 17 4 865061.88 -2.96 13.66 6.98 0.81 0.52 15.62 13219.58 28109331.41 0.0001325624 17.23 276217587579193831456768.00
GM2 1.00 18 2 428223.01 -8.31 12.41 3.52 0.47 0.46 15.35 16564.22 8742378.76 0.0000017191 15.03 879876020841327167012864.00
GM2 1.00 19 6 1277725.85 -10.11 -11.77 1.81 0.95 0.58 15.62 17667.05 26768672.07 0.0000332338 8.37 458098148482248368717824.00
GM2 1.00 20 3 578537.50 -11.19 -10.02 -3.70 0.56 0.43 15.47 18728.84 19958467.86 0.0000104783 14.55 619012142713790485495808.00
GM2 1.00 21 4 849293.34 10.73 -5.03 10.75 0.78 0.56 16.00 14533.57 22160655.25 0.0000368492 7.40 374580875968175843311616.00
GM2 1.00 22 2 424396.84 6.51 -10.27 10.57 0.45 0.45 16.11 17468.83 21045756.96 0.0000142189 18.55 527036412240701494919168.00
GM2 1.00 23 9 1856452.76 5.27 -8.68 12.05 1.98 1.01 15.76 15574.72 24427088.51 0.0000505004 15.17 401424896675025833164800.00
GM2 1.00 24 10 1996025.78 7.63 -1.44 13.44 2.12 1.20 15.52 13675.07 26834751.85 0.0001128615 7.99 305659176818786265202688.00
GM2 1.00 25 2 428798.35 6.00 -0.69 14.90 0.46 0.45 16.08 14612.46 19998303.84 0.0000250031 1.58 404529439451938562244608.00
GM2 1.00 26 5 1086100.73 4.65 6.17 13.69 1.26 0.68 15.72 17511.97 18698223.87 0.0000102729 15.44 574690343385564511731712.00
GM2 1.00 27 2 427969.85 10.27 4.05 10.26 0.38 0.38 15.07 16651.49 16773875.53 0.0000085726 6.69 565181217410947620012032.00
GM2 1.00 28 3 583030.37 10.71 8.52 8.58 0.50 0.49 16.16 26695.83 15539510.23 0.0000013723 15.37 1319645115362620087468032.00
GM2 1.00 29 2 426370.90 11.56 6.51 9.21 0.49 0.49 16.15 18400.84 12092763.42 0.0000023834 13.37 831665798143823977644032.00
GM2 1.00 30 2 429193.04 9.83 7.71 10.00 0.48 0.47 16.00 18768.42 17486202.98 0.0000062144 29.25 670012582041420484837376.00
GM2 1.00 31 4 792885.48 6.19 10.09 11.08 0.90 0.65 16.21 19993.30 14386742.52 0.0000029663 19.53 850794575674103618863104.00
GM2 1.00 32 2 368182.82 -2.56 -12.18 8.74 0.29 0.25 15.21 30212.37 18357094.82 0.0000011189 25.42 1437728586839181934723072.00
GM2 1.00 33 9 1874093.98 -7.51 -9.57 10.22 1.26 0.84 15.89 19045.49 23441485.88 0.0000217320 22.94 588795709594716524773376.00
