model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM3noBHs 1.00 0 7 1492838.12 1.76 0.59 -15.79 1.21 0.87 15.90 14267.71 32619030.66 0.0001948095 19.11 288854636134270832214016.00
GM3noBHs 1.00 1 5 1060420.64 2.58 -1.17 -15.50 1.07 0.79 15.76 17135.73 30620987.52 0.0000926186 14.30 424942991230168717066240.00
GM3noBHs 1.00 2 3 638055.81 -2.39 0.53 -15.32 0.77 0.63 15.51 15149.03 33573372.54 0.0002891354 11.35 334117033877067435868160.00
GM3noBHs 1.00 3 2 424168.26 5.14 14.25 -6.60 0.47 0.47 16.53 22187.00 6302445.76 0.0000003016 2.97 1757382216767271231029248.00
GM3noBHs 1.00 4 2 425705.82 7.78 12.67 -6.15 0.48 0.48 16.09 23561.26 7310499.79 0.0000003523 7.23 1767909443897545287794688.00
GM3noBHs 1.00 5 2 424170.63 -4.75 7.86 -13.94 0.48 0.48 16.70 21263.00 18820597.83 0.0000049815 12.85 791314630651164797960192.00
GM3noBHs 1.00 6 5 1060498.20 -3.76 5.81 -14.28 0.94 0.66 15.87 15427.95 24777527.42 0.0000488836 15.09 387478522575767186964480.00
GM3noBHs 1.00 7 2 384411.82 -3.29 -11.26 -10.70 0.53 0.47 15.88 22806.18 8266728.26 0.0000006283 16.06 1542310619287034966048768.00
GM3noBHs 1.00 8 2 304028.08 -5.04 -13.25 -7.75 0.47 0.33 16.16 18996.77 8931748.51 0.0000010712 3.58 1065460498086280365604864.00
GM3noBHs 1.00 9 6 1054066.89 3.22 -13.85 -5.68 1.10 0.80 15.31 15150.16 18010221.99 0.0000173646 19.49 463624731359533424705536.00
GM3noBHs 1.00 10 2 375091.12 -5.20 -13.61 -5.98 0.43 0.37 15.75 18588.71 6496641.73 0.0000005622 6.50 1270354215253734441615360.00
GM3noBHs 1.00 11 66 14021403.28 -2.00 2.76 -15.54 3.26 1.53 15.91 11154.86 65397691.95 0.0084257136 29.70 127682189178531567632384.00
GM3noBHs 1.00 12 3 530010.12 9.95 6.09 -10.48 0.83 0.64 15.68 27848.77 7259038.10 0.0000002063 16.73 2323521239320658672877568.00
GM3noBHs 1.00 13 2 426152.56 -0.24 4.50 -14.37 0.49 0.49 15.06 20562.57 23666899.56 0.0000115256 11.70 643370230798687206899712.00
GM3noBHs 1.00 14 2 369415.94 6.22 2.65 -14.12 0.56 0.49 15.66 21349.25 14835672.60 0.0000025160 1.90 930301325465095132676096.00
GM3noBHs 1.00 15 5 1019626.74 9.54 -11.37 -4.95 1.47 0.87 15.65 18360.82 18395799.68 0.0000083335 18.06 628614714092883164528640.00
GM3noBHs 1.00 16 3 651795.95 5.11 -12.23 -7.75 0.73 0.52 15.35 16514.86 12313927.12 0.0000038492 17.29 685926238194770083053568.00
GM3noBHs 1.00 17 2 434665.32 9.35 -10.72 -6.52 0.50 0.49 15.65 17831.77 17880275.07 0.0000097250 8.12 616294029314404888084480.00
GM3noBHs 1.00 18 2 426566.86 1.25 1.41 -15.32 0.22 0.22 15.43 12726.11 40783419.55 0.0004292504 4.70 195750443511294275354624.00
GM3noBHs 1.00 19 2 370896.68 5.45 2.78 -15.85 0.44 0.38 16.99 18460.61 13722654.73 0.0000033530 5.64 766365492491024118841344.00
GM3noBHs 1.00 20 2 424168.26 6.53 -2.59 -14.58 0.34 0.34 16.19 29128.95 19580360.39 0.0000015308 5.76 1308367209211710616371200.00
GM3noBHs 1.00 21 2 424168.26 12.51 -7.61 -8.25 0.23 0.23 16.80 31253.05 18626788.61 0.0000009655 3.52 1512513492695814265372672.00
GM3noBHs 1.00 22 2 424168.26 10.99 -7.77 -6.95 0.47 0.47 15.14 50021.36 44242840.85 0.0000004158 10.20 1870079978083241382903808.00
GM3noBHs 1.00 23 3 450868.91 10.01 -8.76 -8.30 0.62 0.46 15.68 33958.75 31237329.11 0.0000031571 8.86 1228601173205674518118400.00
GM3noBHs 1.00 24 4 848336.51 1.90 -2.16 15.46 0.74 0.61 15.73 14856.98 28541393.16 0.0000871504 15.02 328827490077395428311040.00
GM3noBHs 1.00 25 2 424172.26 2.76 2.85 15.33 0.46 0.46 15.83 25541.92 20218389.30 0.0000027823 5.50 1021733885540500970143744.00
GM3noBHs 1.00 26 3 636252.38 -0.13 -0.18 16.30 0.56 0.52 16.30 15273.29 18602493.22 0.0000188167 8.43 466809421123365541773312.00
GM3noBHs 1.00 27 2 424168.26 1.38 -0.27 15.79 0.44 0.44 15.85 14641.20 26118803.33 0.0000745913 7.34 344641421803468946931712.00
GM3noBHs 1.00 28 2 429493.30 0.61 -1.86 16.18 0.14 0.14 16.30 15660.15 23674118.10 0.0000334495 4.71 405072102545405979394048.00
GM3noBHs 1.00 29 32 6791619.82 -4.20 2.97 15.16 3.63 2.00 16.00 12972.49 36016451.81 0.0004059555 19.43 233342128830744411242496.00
GM3noBHs 1.00 30 2 424168.26 0.43 5.30 14.25 0.49 0.49 15.21 18271.53 22427911.14 0.0000146932 2.56 545484091940988709240832.00
GM3noBHs 1.00 31 2 424168.26 4.22 -1.74 15.59 0.46 0.46 16.25 22339.18 18783562.06 0.0000040172 8.93 860673471195529315614720.00
GM3noBHs 1.00 32 2 433886.73 8.05 13.59 0.54 0.32 0.32 15.80 25196.68 5142906.65 0.0000001323 12.89 2473307411351029837463552.00
GM3noBHs 1.00 33 2 424168.26 -0.19 3.32 15.75 0.39 0.39 16.10 17565.49 27849715.26 0.0000410479 19.96 443063558030736645685248.00
GM3noBHs 1.00 34 2 424168.26 -3.62 6.30 14.90 0.31 0.31 16.58 26079.10 26671217.05 0.0000111151 21.32 903181249629846667001856.00
GM3noBHs 1.00 35 2 424168.31 3.23 -0.39 15.05 0.47 0.47 15.40 21063.07 24952814.47 0.0000111812 16.64 643148939703277712310272.00
GM3noBHs 1.00 36 5 1060420.64 -1.29 4.05 14.74 1.27 0.81 15.34 13840.56 38398224.47 0.0003727548 22.41 245954066817254145654784.00
GM3noBHs 1.00 37 2 424168.26 -0.63 7.10 14.91 0.31 0.31 16.53 23255.14 18433657.24 0.0000034340 3.68 935668553543097203556352.00
GM3noBHs 1.00 38 3 636252.40 -5.13 -0.14 15.47 0.64 0.46 16.30 13027.37 27050854.52 0.0001157906 5.13 272014766031845548097536.00
