model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
P0 1.00 40 3 582574.77 -17.76 15.02 -28.35 0.63 0.40 36.67 28956.26 27941883.44 0.0000032166 19.88 1027101035438150996983808.00
P0 1.00 41 6 1217712.46 -16.93 10.11 -24.10 1.42 0.86 31.14 38824.69 34834880.52 0.0000021815 16.88 1435101535662399650004992.00
P0 1.00 42 7 1400096.62 -16.44 13.30 -28.62 0.98 0.55 35.59 20319.45 29795905.47 0.0000217942 4.80 541884502615239256178688.00
P0 1.00 43 2 398126.18 -15.22 10.46 -27.06 0.17 0.16 32.77 29463.77 28214090.51 0.0000031677 4.38 1036512585516628981055488.00
P0 1.00 44 4 613258.74 -15.79 60.86 -15.42 0.85 0.37 64.73 36017.96 9525810.74 0.0000001447 4.03 2978893047340111321104384.00
P0 1.00 45 5 821663.65 -14.11 8.36 -21.26 0.92 0.57 26.86 22276.89 25778551.17 0.0000098161 18.90 688704480281017475661824.00
P0 1.00 46 5 948057.20 -26.29 44.88 -16.51 0.74 0.56 54.57 23740.76 16142010.01 0.0000019294 7.25 1066345776020346640531456.00
P0 1.00 47 21 3906043.47 -19.59 12.80 -7.01 1.50 0.79 24.43 11629.06 57890482.11 0.0040076797 17.23 137435509792248992628736.00
P0 1.00 48 48 9731990.06 -21.57 10.11 -5.47 3.12 1.10 24.44 10390.26 93211411.59 0.0181803442 21.72 77337372434828525305856.00
P0 1.00 49 13 2776475.33 -20.68 10.31 -0.87 1.37 0.57 23.13 12523.85 53492144.33 0.0016193586 17.95 161656689358429497589760.00
P0 1.00 50 2 431073.78 -40.42 35.29 -7.78 0.48 0.47 54.22 31606.09 17322471.99 0.0000008087 8.76 1650220932661856341852160.00
P0 1.00 51 4 650618.24 -23.76 18.68 -8.62 0.68 0.45 31.43 18863.30 26206278.01 0.0000219692 8.01 513948489473445316263936.00
P0 1.00 52 5 1035418.75 -41.05 33.19 -7.98 0.77 0.52 53.39 23960.84 17644130.10 0.0000022530 10.73 1017807186052008596471808.00
P0 1.00 53 15 2482852.15 -30.88 14.72 -10.65 1.38 0.65 35.83 16937.85 43171949.23 0.0002762292 13.01 312776290064642898657280.00
P0 1.00 54 11 2136705.99 -31.17 12.67 -8.96 1.34 0.45 34.82 13388.88 42606469.42 0.0005374493 8.45 220989057981931579244544.00
P0 1.00 55 3 597453.96 -37.40 20.52 -5.43 0.35 0.21 43.00 28178.14 16573537.78 0.0000010898 4.69 1367302020953376978632704.00
P0 1.00 56 4 835161.42 -33.22 17.30 -0.82 0.39 0.28 37.46 22079.11 21280216.58 0.0000052545 5.82 778895231953834659020800.00
P0 1.00 57 9 1616698.66 -34.35 21.15 -1.59 1.40 0.65 40.38 17872.23 25246727.95 0.0000274577 8.10 496400187843497900900352.00
P0 1.00 58 20 3241274.24 -25.30 10.79 -10.43 1.20 0.63 29.41 11727.70 50507365.83 0.0018418287 12.96 143378120411316316274688.00
P0 1.00 59 2 424186.53 -19.61 22.33 -11.26 0.18 0.18 31.78 40241.36 29484972.38 0.0000006856 5.13 1716645961486595289776128.00
P0 1.00 60 2 266914.06 -31.77 22.12 -12.15 0.42 0.40 40.57 26661.69 22259354.23 0.0000028796 11.71 1025266421644290208825344.00
P0 1.00 61 3 517983.16 -31.16 34.14 -11.19 0.50 0.44 47.56 28471.22 17406299.97 0.0000011902 6.95 1351860456001711479193600.00
P0 1.00 62 13 1923009.64 -14.61 54.56 -39.59 1.46 0.87 68.97 25277.51 13505728.85 0.0000011106 7.96 1315372661475427349430272.00
P0 1.00 63 4 678343.80 -14.57 48.52 -34.38 0.53 0.28 61.23 25484.12 13447491.11 0.0000009981 5.51 1324831409696723383091200.00
P0 1.00 64 3 541006.54 -14.79 49.92 -34.37 0.36 0.24 62.39 28169.63 12429375.16 0.0000006003 3.46 1651757321994598034178048.00
P0 1.00 65 3 638186.40 -14.88 18.43 -48.14 0.71 0.55 53.65 71702.68 49885876.78 0.0000000767 13.98 3181759580908963166683136.00
P0 1.00 66 25 5171008.14 -14.84 3.76 -3.65 1.50 0.99 15.73 11972.70 152121960.36 0.0307107496 62.28 59176671118114521350144.00
P0 1.00 67 6 1280574.07 -15.06 9.35 -3.08 0.85 0.38 17.99 14021.06 53738381.45 0.0007377731 18.03 192523963239561330425856.00
P0 1.00 68 3 655901.31 -14.42 6.67 -4.10 0.19 0.14 16.41 16085.72 85869802.97 0.0022975509 5.76 168382790332088166907904.00
P0 1.00 69 8 1679594.67 -15.52 11.82 -44.38 1.51 0.75 48.47 34115.78 27068104.71 0.0000023305 14.84 1393470468729939874021376.00
P0 1.00 70 6 1190077.36 -31.84 29.99 -31.62 0.78 0.52 53.97 23469.67 18832223.14 0.0000030055 14.62 933643636917030103285760.00
P0 1.00 71 2 424193.59 -32.50 29.99 -24.23 0.45 0.45 50.43 64937.66 29094762.74 0.0000000666 6.19 3841885479064360173174784.00
P0 1.00 72 2 366870.01 -39.23 27.14 -18.32 0.43 0.37 51.10 21190.47 17543744.28 0.0000040374 5.12 828904598728682569203712.00
P0 1.00 73 3 651893.52 -33.95 34.07 -20.85 0.46 0.36 52.42 41192.69 18948220.21 0.0000002964 11.80 2364345632400548695113728.00
P0 1.00 74 12 2041533.87 -21.29 5.16 -23.99 1.13 0.66 32.49 15040.43 31966604.06 0.0001129263 14.54 307375662321519864840192.00
P0 1.00 75 2 424171.97 -24.99 15.10 -22.40 0.18 0.18 36.80 26369.48 17765775.34 0.0000015921 2.17 1184751072941225000566784.00
P0 1.00 76 3 636254.07 -29.43 19.29 -21.61 0.53 0.36 41.30 24867.87 20232062.93 0.0000027466 10.58 990661929477181599121408.00
P0 1.00 77 4 865219.51 -27.71 18.68 -25.48 0.48 0.33 42.02 22423.77 23323539.70 0.0000064609 8.63 754325575186909879074816.00
P0 1.00 78 10 2046065.90 -12.59 54.86 -1.45 0.97 0.42 56.31 17900.42 21232729.35 0.0000133116 8.11 552523679548040162574336.00
P0 1.00 79 2 433640.68 -13.53 11.73 -2.17 0.32 0.32 18.04 15547.73 37873258.01 0.0001458627 5.22 291561409998248325677056.00
P0 1.00 80 4 870090.99 -16.43 17.90 -4.25 0.70 0.42 24.66 18358.95 27142432.15 0.0000265218 6.03 488632170037171806273536.00
P0 1.00 81 2 424192.21 -14.32 30.72 -2.29 0.41 0.41 33.97 57792.03 40528809.55 0.0000001683 13.49 2547637886321599690309632.00
P0 1.00 82 8 1161353.03 -15.69 43.98 -4.31 1.09 0.59 46.89 21376.51 18978458.76 0.0000046729 11.25 783978491291069663150080.00
P0 1.00 83 2 323661.68 -15.99 24.24 -3.83 0.53 0.47 29.29 22428.44 23567947.12 0.0000071180 14.05 741964574910319412903936.00
P0 1.00 84 4 733581.10 -17.30 25.34 -4.16 0.62 0.45 30.97 21732.74 25324163.54 0.0000108620 18.82 672687283886025433153536.00
P0 1.00 85 4 848449.40 -16.97 33.99 -3.98 0.90 0.55 38.20 25483.18 18620281.50 0.0000020269 15.53 1091898218685372062236672.00
P0 1.00 86 14 2267544.04 -13.36 48.41 -6.24 1.33 0.77 50.60 19520.50 20639703.60 0.0000097280 11.69 641889955987625558933504.00
P0 1.00 87 2 374852.50 -14.89 17.07 -5.98 0.55 0.49 23.43 23045.47 26733999.95 0.0000083191 12.76 718254770448930801975296.00
P0 1.00 88 3 469545.92 -15.41 19.92 -5.94 0.49 0.37 25.88 24163.82 25699927.01 0.0000063729 4.66 794480045272082577096704.00
P0 1.00 89 3 452477.01 -14.71 45.08 -6.11 0.54 0.43 47.81 29313.62 21437020.32 0.0000017996 6.32 1231036195926727230226432.00
P0 1.00 90 23 3715062.40 -18.32 7.60 -4.75 0.69 0.38 20.40 10257.45 121555382.25 0.0295688095 15.14 50648586049629332701184.00
P0 1.00 91 7 1118912.34 -18.38 10.62 -6.58 0.66 0.48 22.23 14254.49 42630043.17 0.0003115959 10.66 228361032069842353520640.00
P0 1.00 92 11 2176847.53 -12.09 20.49 -9.67 1.03 0.62 25.68 14581.15 37078599.12 0.0001889670 17.78 267801658847804281323520.00
P0 1.00 93 14 2694605.68 -12.64 7.96 -6.30 1.58 0.59 16.21 13569.60 111836188.24 0.0111403151 20.66 111305469495595686166528.00
