model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM1 1.00 0 7 1484590.97 -64.15 -38.34 24.22 0.05 0.03 78.56 68173.45 25265695.30 0.0000000531 0.42 4583480245621899187453952.00
GM1 1.00 1 13 2774544.42 58.60 97.80 24.85 0.35 0.17 116.69 172287.90 66224799833.61 0.0142039933 31.04 121776947122975633571840.00
GM1 1.00 2 2 367110.98 56.72 138.89 42.05 0.58 0.50 155.80 36335.12 6812379.78 0.0000005799 5.08 3846829936596929111654400.00
GM1 1.00 3 2 425644.79 58.83 109.82 54.81 0.50 0.50 136.11 22804.27 4127218.26 0.0000010449 4.36 2473406241962716129394688.00
GM1 1.00 4 2 362084.98 54.26 118.92 30.49 0.44 0.38 134.22 25019.60 6000815.10 0.0000016766 9.32 2248335234601916743811072.00
GM1 1.00 5 22 4665850.81 52.24 118.07 24.50 0.16 0.07 131.41 10485.28 23758647.11 0.0014824388 2.32 189491196919853801799680.00
GM1 1.00 6 2 425446.51 54.05 137.20 39.81 0.28 0.28 152.74 23541.19 4425110.85 0.0000010963 2.02 2485842260672174467579904.00
GM1 1.00 7 2 369527.85 53.34 133.82 40.20 0.56 0.47 149.56 31189.52 4339318.33 0.0000003574 9.73 4032066168703306765959168.00
GM1 1.00 8 2 424168.27 74.79 74.89 29.82 0.50 0.50 109.96 16975.50 7914107.82 0.0000112467 3.77 972341893109133103595520.00
GM1 1.00 9 2 424168.26 72.05 94.60 28.85 0.20 0.20 122.36 17361.72 6785035.88 0.0000074255 3.62 1120078300823100063744000.00
GM1 1.00 10 2 424168.26 73.02 123.29 25.40 0.16 0.16 145.53 49355.84 5465139.14 0.0000000507 8.69 7460269730107661129613312.00
GM1 1.00 11 2 439581.71 62.82 103.52 27.29 0.16 0.16 124.13 11326.64 87710305.61 0.0235044955 10.93 69687854139043246768128.00
GM1 1.00 12 28 5954066.96 35.38 45.50 10.35 2.92 1.63 58.56 11768.51 19977643.29 0.0007802677 15.77 281727831418764831752192.00
GM1 1.00 13 6 1285437.85 33.94 41.83 9.33 0.76 0.49 54.67 12575.07 17167679.68 0.0002913922 8.29 341269355821683305349120.00
GM1 1.00 14 2 424168.26 76.17 63.14 24.59 0.45 0.45 101.95 19253.11 6929411.19 0.0000055030 5.15 1310115584217015344168960.00
GM1 1.00 15 2 424175.19 36.99 29.60 9.87 0.35 0.35 48.40 37582.79 33156677.33 0.0000422520 18.15 1406431755055537525358592.00
GM1 1.00 16 2 424174.69 35.46 39.89 9.45 0.05 0.05 54.20 15463.27 11138274.62 0.0000345104 12.88 656200803380029531619328.00
GM1 1.00 17 2 424177.54 37.03 40.04 11.14 0.42 0.42 55.66 22467.99 9027498.64 0.0000058725 10.72 1430706180288002268332032.00
GM1 1.00 18 2 424169.84 67.16 53.78 19.45 0.45 0.45 88.21 61377.63 18655310.84 0.0000000714 11.27 4718438802906787793076224.00
GM1 1.00 19 2 424178.27 65.13 39.63 23.21 0.47 0.47 79.69 20285.43 5903396.53 0.0000032672 5.64 1595215514283931254915072.00
GM1 1.00 20 2 424171.57 58.88 53.42 23.76 0.46 0.46 82.98 18289.25 10120651.31 0.0000149183 11.29 929973281957927098253312.00
GM1 1.00 21 2 424168.28 68.61 49.99 21.90 0.31 0.31 87.67 22885.61 8865785.22 0.0000049641 5.69 1483613269569011764428800.00
GM1 1.00 22 2 424170.49 53.65 45.65 21.90 0.43 0.43 73.77 40311.20 14691125.40 0.0000005158 5.81 2740822507778292756512768.00
GM1 1.00 23 2 425352.43 49.39 45.61 16.86 0.14 0.14 69.31 15276.62 11192149.75 0.0000364648 8.67 640715294099829262647296.00
GM1 1.00 24 2 365436.73 52.15 54.49 17.90 0.58 0.50 77.52 16809.69 19990171.23 0.0001469599 13.18 506873733724058930905088.00
GM1 1.00 25 2 424170.07 42.52 55.13 13.02 0.49 0.49 70.83 17172.32 9825715.36 0.0000172157 5.62 852959235392389045551104.00
GM1 1.00 26 2 424173.24 47.92 40.01 16.21 0.49 0.49 64.50 22098.50 10751903.84 0.0000095040 9.16 1232292754977720033607680.00
GM1 1.00 27 2 424173.20 47.86 41.43 16.82 0.37 0.37 65.50 15832.11 10163076.94 0.0000248300 13.40 726895438124818125291520.00
GM1 1.00 28 3 638161.16 49.49 40.37 17.79 0.58 0.51 66.30 18783.43 8167600.85 0.0000089740 12.72 1132820763717436245540864.00
GM1 1.00 29 10 2120865.35 42.81 35.29 12.11 1.36 0.88 56.79 13046.46 17618463.66 0.0002909711 17.10 359130783700274984779776.00
GM1 1.00 30 2 424175.44 43.72 35.66 13.69 0.44 0.44 58.06 14976.46 13042641.14 0.0000601591 15.68 558187743189714025316352.00
