model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM3noBHs 1.00 0 1147 242036818.94 -25.18 -21.47 -8.74 12.14 4.72 34.22 11255.40 132138931.19 0.0279060937 40.51 82533776500544495419392.00
GM3noBHs 1.00 1 4 850951.08 -19.20 -18.22 -1.14 0.84 0.61 26.49 18174.25 46306315.51 0.0001534483 28.74 334266657829246178689024.00
GM3noBHs 1.00 2 36 7563771.47 -2.68 -16.24 -1.99 2.81 1.15 16.58 15033.69 198263564.55 0.0441130589 67.82 104637145484471283220480.00
GM3noBHs 1.00 3 21 4472129.27 -20.25 -17.43 1.63 1.98 1.02 26.77 13851.81 53326718.43 0.0015153021 33.21 204559292679279423258624.00
GM3noBHs 1.00 4 5 1060735.51 6.04 -15.83 14.05 1.09 0.58 22.01 40228.31 48312073.14 0.0000055701 13.52 1245218975571312333815808.00
GM3noBHs 1.00 5 7 1425021.93 9.37 -21.34 9.11 0.92 0.69 25.03 27415.16 48072885.58 0.0000343481 20.97 650718125204005952946176.00
GM3noBHs 1.00 6 2 424184.66 10.03 -21.60 8.01 0.28 0.28 25.12 60170.45 84790577.38 0.0000007324 19.79 1664588883520207741517824.00
GM3noBHs 1.00 7 32 6736801.92 7.87 -22.86 5.08 2.19 1.13 24.71 15510.90 60684385.15 0.0022217295 26.52 230542430390324868153344.00
GM3noBHs 1.00 8 4 848387.31 6.17 -19.60 1.35 0.67 0.55 20.59 52850.66 108602525.15 0.0000013194 37.33 1162037195608853776957440.00
GM3noBHs 1.00 9 30 6375621.46 5.44 -20.00 -0.65 2.20 1.12 20.74 13812.40 78469152.71 0.0047367975 47.70 149034670935345882726400.00
GM3noBHs 1.00 10 6 1273493.35 5.44 -16.90 11.98 0.81 0.56 21.42 18669.36 35789903.71 0.0000620162 17.15 416884714106529433780224.00
GM3noBHs 1.00 11 23 4883211.58 11.29 -24.00 10.44 2.27 1.16 28.50 15563.94 46942206.99 0.0004854604 18.59 265088950655827704807424.00
GM3noBHs 1.00 12 4 848352.37 12.66 -23.85 12.89 0.76 0.58 29.92 18657.54 28532498.88 0.0000317324 9.91 488901870411047722024960.00
