model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM2noBHs 1.00 0 5 1078748.65 -20.36 -22.59 -28.40 0.78 0.47 41.61 19910.69 25680416.34 0.0000141680 16.62 579978005781157179817984.00
GM2noBHs 1.00 1 3 640848.12 -18.44 -21.67 -34.38 0.67 0.46 44.63 29720.93 24843068.58 0.0000026889 23.34 1166314787866006811312128.00
GM2noBHs 1.00 2 2 427388.74 -16.20 -21.32 -28.39 0.33 0.33 39.03 16259.35 28510545.26 0.0000519098 23.13 384460994554022688980992.00
GM2noBHs 1.00 3 3 639613.41 -16.72 -20.36 -29.43 0.26 0.24 39.50 14509.94 33716475.34 0.0001315755 16.51 281675957461988184948736.00
GM2noBHs 1.00 4 7 1370690.74 -41.31 17.41 0.52 1.03 0.50 44.83 18665.27 24825060.68 0.0000174263 13.43 533575780768646380388352.00
GM2noBHs 1.00 5 9 1856644.61 -35.43 5.26 5.36 1.73 0.98 36.22 23962.62 33449536.20 0.0000254697 28.67 672244436476141796065280.00
GM2noBHs 1.00 6 4 667115.89 -40.72 10.81 4.92 0.67 0.51 42.42 24459.51 28655830.36 0.0000080114 10.46 761114958804964062789632.00
GM2noBHs 1.00 7 4 631749.13 -22.12 18.42 15.84 0.31 0.24 32.85 21143.23 26815958.79 0.0000121126 4.45 621505893861328733339648.00
GM2noBHs 1.00 8 4 848422.70 -19.37 13.13 21.93 0.66 0.37 32.07 27749.49 35644927.24 0.0000076063 16.63 813601203317376116850688.00
GM2noBHs 1.00 9 6 1273543.13 -19.74 10.29 20.40 0.92 0.59 30.20 24301.00 38288589.11 0.0000275981 24.76 621570547822707915882496.00
GM2noBHs 1.00 10 5 880165.47 -33.93 20.17 -14.75 0.61 0.41 42.14 77085.56 54866291.29 0.0000000620 6.68 3380871555710467717464064.00
GM2noBHs 1.00 11 32 6792830.42 -16.54 8.41 21.86 3.20 1.62 28.67 14824.85 48924172.51 0.0008858271 31.34 243595321545263409004544.00
GM2noBHs 1.00 12 6 1336634.36 -20.10 11.16 14.88 0.60 0.46 27.39 16132.12 32788155.13 0.0000837640 15.89 342940484877482148757504.00
GM2noBHs 1.00 13 6 1165864.63 -22.12 14.43 14.18 0.56 0.32 29.97 16132.31 29330973.87 0.0000595124 7.90 370209236910421013692416.00
GM2noBHs 1.00 14 24 5034842.35 -19.84 2.60 16.05 1.80 0.87 25.65 12799.44 61274370.52 0.0033107431 26.47 160328294150987090755584.00
GM2noBHs 1.00 15 6 1272741.19 -18.25 4.70 18.82 0.71 0.50 26.63 18705.38 33279702.62 0.0000459645 16.90 437800145086382730117120.00
GM2noBHs 1.00 16 2 407823.99 -22.22 7.50 11.81 0.29 0.24 26.26 43309.05 57780615.98 0.0000108242 23.81 1236278167205801401253888.00
GM2noBHs 1.00 17 6 1272675.37 -23.88 1.10 11.29 0.73 0.56 26.44 20863.16 32720822.80 0.0000328363 17.98 535800765859182134951936.00
GM2noBHs 1.00 18 2 424187.87 -25.10 7.22 22.03 0.36 0.36 34.17 68549.56 52465082.68 0.0000001061 1.42 2872808402962720034390016.00
GM2noBHs 1.00 19 5 1060558.40 -24.06 7.34 16.58 0.86 0.58 30.12 46738.48 56345648.58 0.0000052206 22.40 1438389991878038449553408.00
GM2noBHs 1.00 20 10 1840251.48 -22.40 8.70 10.89 0.60 0.33 26.38 12857.26 43888808.31 0.0004811094 12.69 190323102708450476425216.00
GM2noBHs 1.00 21 2 425727.10 -39.72 4.63 14.39 0.37 0.37 42.50 59673.96 34965168.32 0.0000001582 13.73 2973235987600788175192064.00
GM2noBHs 1.00 22 12 2483993.89 -25.59 11.54 18.85 1.34 0.93 33.81 23533.59 37314282.23 0.0000351473 25.42 602664536389578511089664.00
GM2noBHs 1.00 23 2 424183.87 -24.05 12.33 18.34 0.20 0.20 32.66 38380.46 55932812.62 0.0000035159 10.37 1034291164175956755611648.00
GM2noBHs 1.00 24 3 454035.78 -23.72 25.71 9.70 0.23 0.20 36.30 24499.73 22738783.99 0.0000039809 5.24 892567513435533612154880.00
GM2noBHs 1.00 25 2 363161.25 -32.52 25.21 11.28 0.39 0.33 42.66 25635.09 17510457.12 0.0000016866 6.87 1149875960834792672460800.00
GM2noBHs 1.00 26 4 851544.01 -38.58 6.53 7.43 0.78 0.54 39.83 22195.12 23685318.63 0.0000069956 12.29 737252572160162608971776.00
GM2noBHs 1.00 27 4 865945.71 -32.48 7.85 9.04 0.72 0.52 34.62 19605.57 24722965.87 0.0000131593 20.42 578548898603671551475712.00
GM2noBHs 1.00 28 2 370038.98 -34.57 2.52 9.56 0.42 0.37 35.96 90792.54 101264759.67 0.0000000586 16.80 2936817506631444456275968.00
GM2noBHs 1.00 29 7 1370270.94 -27.05 20.40 5.64 0.58 0.42 34.34 15798.51 29360025.33 0.0000650788 10.49 356984681129192969994240.00
GM2noBHs 1.00 30 2 425781.59 -22.65 26.81 2.39 0.10 0.10 35.17 53907.00 38981801.83 0.0000002285 2.41 2332176278549171198230528.00
GM2noBHs 1.00 31 2 470876.82 -25.57 30.59 -4.31 0.47 0.43 40.10 46373.86 29741884.45 0.0000010690 12.69 2181587310932564574732288.00
GM2noBHs 1.00 32 2 366930.11 -32.00 33.93 -2.39 0.46 0.40 46.70 56739.31 22383838.91 0.0000000871 15.25 3682028289422361509232640.00
GM2noBHs 1.00 33 3 640347.48 -24.91 31.03 -3.18 0.53 0.39 39.91 24921.66 17252656.88 0.0000018128 7.41 1106791901268345331122176.00
GM2noBHs 1.00 34 9 1656204.18 -19.05 26.02 -5.86 0.97 0.67 32.77 22366.95 36748863.88 0.0000329749 20.18 555058557573544674328576.00
GM2noBHs 1.00 35 2 444067.47 -18.15 5.59 6.96 0.26 0.25 20.22 22263.56 30480731.29 0.0000147730 5.83 621254120518773590982656.00
