model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM1noBHs 1.00 0 4 860607.98 -26.77 -73.60 -14.70 0.37 0.29 79.68 16674.00 5517487.75 0.0000080745 7.64 1194636562135513491832832.00
GM1noBHs 1.00 1 2 429617.25 -26.66 -95.10 -10.16 0.37 0.37 99.29 18704.53 4827643.19 0.0000042059 17.21 1587265528324162492301312.00
GM1noBHs 1.00 2 3 638201.25 -30.06 -76.27 -10.37 0.56 0.40 82.63 16828.86 4776609.25 0.0000058625 10.16 1345965967200828973383680.00
GM1noBHs 1.00 3 4612 642042679.76 -8.45 11.68 3.97 15.21 5.48 14.95 35343.14 3035106894.66 0.4484121240 112.46 90035476021510924140544.00
GM1noBHs 1.00 4 3 638155.19 -24.11 -97.12 -11.59 0.62 0.44 100.73 14352.81 8018894.07 0.0000292062 16.14 719824968191398710870016.00
GM1noBHs 1.00 5 3 636325.30 -24.67 -96.71 -13.75 0.50 0.39 100.75 17636.71 5656986.33 0.0000080816 7.02 1315147548643623545339904.00
GM1noBHs 1.00 6 2 424562.14 -22.39 -84.74 -10.92 0.35 0.35 88.32 13998.49 9407043.42 0.0000516848 9.52 625030536300670763401216.00
GM1noBHs 1.00 7 3 636302.40 -23.04 -86.04 -9.72 0.59 0.49 89.60 12339.51 11776131.42 0.0001461351 2.57 429231418988876869402624.00
GM1noBHs 1.00 8 5 1061043.44 -25.56 -70.74 -8.56 0.74 0.48 75.70 12819.87 10351838.26 0.0000902602 9.24 503682906226619263746048.00
GM1noBHs 1.00 9 2 373923.67 -23.12 -79.48 -2.88 0.31 0.27 82.82 16877.54 6005702.91 0.0000093697 7.21 1151490860791746994896896.00
GM1noBHs 1.00 10 10 2082389.55 -25.00 -64.65 -3.83 1.23 0.85 69.42 13947.77 9342795.22 0.0000500516 12.17 622091183345031043874816.00
GM1noBHs 1.00 11 6 1280980.81 -20.18 -92.62 -8.40 0.77 0.61 95.17 12304.08 11840004.31 0.0001444622 5.29 423379689022374000197632.00
GM1noBHs 1.00 12 18 3856152.69 -21.41 -84.67 -8.50 2.17 1.09 87.75 10910.92 17836668.89 0.0009819967 8.79 257761110002206066606080.00
GM1noBHs 1.00 13 4 848731.66 -20.91 -91.46 -7.73 0.63 0.53 94.14 13184.50 10721762.29 0.0000923974 8.86 516699403099983398830080.00
GM1noBHs 1.00 14 2 432223.17 -21.28 -88.99 -5.22 0.44 0.44 91.65 22979.20 9980352.18 0.0000075708 9.41 1378837882441750420652032.00
GM1noBHs 1.00 15 5 946183.80 -22.10 -86.89 -8.22 1.29 0.84 90.03 12524.59 11622948.87 0.0001412335 12.26 449474873587711602589696.00
