model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM3SI1 1.00 0 9 1905762.79 -31.33 -27.72 -41.54 0.77 0.36 58.95 16939.94 8647824.67 0.0000211750 3.90 898056596397562955563008.00
GM3SI1 1.00 1 2 436494.67 -46.71 -26.11 -61.52 0.15 0.15 81.53 17934.87 7524362.13 0.0000128811 8.29 1087579102784794012942336.00
GM3SI1 1.00 2 11 2276032.36 -47.67 -25.70 -58.99 1.51 0.73 80.08 14547.51 9226093.78 0.0000430513 7.32 670160566140771107864576.00
GM3SI1 1.00 3 3 655047.94 -42.76 -34.10 -15.48 0.53 0.39 56.84 22738.19 4574855.98 0.0000019553 4.51 2268658482106453746253824.00
GM3SI1 1.00 4 11 2200994.09 -52.35 -40.65 -57.42 1.72 0.66 87.69 18936.05 5721946.02 0.0000060674 4.17 1439379200724161794146304.00
GM3SI1 1.00 5 2 388269.61 -117.06 -43.96 -60.51 0.47 0.41 138.91 28860.49 1947170.27 0.0000001538 9.46 6043471794231018984046592.00
GM3SI1 1.00 6 8 1646628.38 -60.15 -44.17 -22.93 0.79 0.57 78.07 18403.69 5712676.81 0.0000064511 6.90 1373787341566696692383744.00
GM3SI1 1.00 7 3 654985.38 -48.85 -26.73 -62.60 0.60 0.41 83.78 25251.32 9294667.40 0.0000054760 10.12 1699025824636046948696064.00
GM3SI1 1.00 8 2 302847.45 -47.66 -24.65 -62.23 0.40 0.40 82.17 19567.29 6563940.49 0.0000081821 2.79 1406844131180357185699840.00
GM3SI1 1.00 9 3 597733.75 -84.26 -44.65 -98.91 0.09 0.06 137.39 24944.29 2256904.94 0.0000003456 0.56 4279069981471352545083392.00
GM3SI1 1.00 10 3 636281.31 -89.38 -52.44 -102.29 0.43 0.29 145.61 32304.24 1521182.28 0.0000000625 1.51 8640464475159296150077440.00
GM3SI1 1.00 11 3 650588.58 -26.26 -51.51 -31.04 0.43 0.30 65.63 19791.98 4320222.13 0.0000027858 2.31 1871799563428441425444864.00
GM3SI1 1.00 12 4 862740.75 -72.56 -51.92 -86.30 0.60 0.35 124.13 31437.63 2970120.43 0.0000002326 3.36 5248419424516389531025408.00
GM3SI1 1.00 13 2 426730.71 -119.86 -56.08 -114.46 0.46 0.46 174.96 26906.84 1072141.37 0.0000000609 3.01 8043144843084244998684672.00
GM3SI1 1.00 14 425 89660548.26 15.62 2.71 3.50 12.20 4.69 16.23 30694.75 376946513.51 0.0418920873 54.77 199125064669109870919680.00
GM3SI1 1.00 15 2 615113.49 39.95 15.44 7.43 0.29 0.27 43.47 29519.65 20521074.05 0.0000239172 8.28 1274925444272627799556096.00
GM3SI1 1.00 16 2 407840.00 29.17 22.23 29.15 0.06 0.06 46.85 16012.43 8622305.04 0.0000251751 4.76 817453017760473859227648.00
GM3SI1 1.00 17 3 649745.04 36.55 16.08 45.87 0.33 0.23 60.82 18995.44 5017316.38 0.0000044282 1.75 1575631142891400464433152.00
GM3SI1 1.00 18 2 424468.41 28.92 4.81 17.59 0.08 0.08 34.19 14650.79 12772429.43 0.0000956606 4.23 537252847914120290238464.00
GM3SI1 1.00 19 2 333554.94 30.21 11.98 21.89 0.17 0.13 39.18 14992.26 10964841.67 0.0000588135 3.06 618740639648098103066624.00
GM3SI1 1.00 20 2 430953.21 31.82 11.35 5.65 0.23 0.22 34.25 14695.42 12720358.22 0.0000963510 1.64 539854603448817069064192.00
GM3SI1 1.00 21 2 754015.56 27.94 6.97 28.65 0.20 0.14 40.62 13878.29 13196044.20 0.0001312486 2.59 476132119213948404760576.00
GM3SI1 1.00 22 2 735118.08 45.94 3.43 27.90 0.18 0.13 53.86 16482.72 7128682.22 0.0000152713 2.76 975145734278253547356160.00
GM3SI1 1.00 23 5 1055124.14 47.53 3.76 5.22 0.68 0.45 47.96 14652.55 11794939.72 0.0000783379 6.11 565121302635689661169664.00
GM3SI1 1.00 24 5 1131567.47 25.23 3.91 6.52 0.23 0.18 26.35 11471.52 25129617.02 0.0019156748 9.78 203722911367352389992448.00
GM3SI1 1.00 25 2 580249.59 19.94 5.30 9.10 0.10 0.10 22.55 11305.78 26290766.71 0.0022479419 3.10 190693594699848528953344.00
GM3SI1 1.00 26 2 429258.32 17.73 -4.86 2.06 0.21 0.21 18.50 11629.61 31780105.01 0.0034165953 12.30 169679652512020677263360.00
GM3SI1 1.00 27 2 383469.16 17.18 -5.85 -1.08 0.24 0.21 18.18 11134.74 32860994.47 0.0044882708 9.64 148735009719234190114816.00
