model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM1noBHs 1.00 0 5 1061980.64 -26.17 -29.53 -19.93 0.80 0.54 44.20 19361.63 36286607.84 0.0000585003 18.60 440335495975411724058624.00
GM1noBHs 1.00 1 3 636385.89 -19.13 -26.05 -22.38 0.57 0.46 39.31 33823.87 40284690.33 0.0000050105 18.38 1043310959080349903093760.00
GM1noBHs 1.00 2 4 848504.10 -22.56 -28.55 -21.21 0.74 0.48 42.13 18512.45 29467363.16 0.0000319252 15.85 467865476433083164000256.00
GM1noBHs 1.00 3 6 1288658.59 -33.77 -42.65 -17.70 0.81 0.56 57.21 30062.08 17572608.36 0.0000009088 13.17 1499012755306767217328128.00
GM1noBHs 1.00 4 6 1276113.50 -1.67 -4.27 -46.06 0.84 0.65 46.29 16705.02 28541616.72 0.0000466633 11.19 401985442705186937110528.00
GM1noBHs 1.00 5 3 578810.31 -0.01 -4.36 -40.32 0.56 0.46 40.56 20724.79 24877911.06 0.0000113912 13.06 636233605089203507429376.00
GM1noBHs 1.00 6 10 2085505.76 0.05 -6.63 -43.56 1.50 0.77 44.06 15523.63 35248875.46 0.0001550338 13.70 319787437869105948917760.00
GM1noBHs 1.00 7 6 1224363.11 -1.16 -7.95 -44.06 0.90 0.71 44.79 15826.76 29070102.68 0.0000651914 16.51 363453760168236651905024.00
GM1noBHs 1.00 8 14 2830560.52 -1.24 1.47 -35.56 2.66 1.29 35.61 17480.55 28128422.02 0.0000374101 22.29 439191194190006762602496.00
GM1noBHs 1.00 9 3 598077.12 0.02 14.55 -44.88 0.70 0.49 47.18 32692.81 12602327.92 0.0000003561 6.62 2162833970219872398868480.00
GM1noBHs 1.00 10 2 441283.56 2.07 8.41 -48.29 0.47 0.46 49.06 64649.52 45943970.71 0.0000001884 25.22 2831709328654716733751296.00
GM1noBHs 1.00 11 4 678725.87 1.81 5.84 -48.44 0.62 0.50 48.82 38476.66 40962146.42 0.0000051177 15.02 1282268716006777640976384.00
GM1noBHs 1.00 12 86 17556052.95 2.66 0.42 -36.56 4.67 2.76 36.66 12616.50 48159556.60 0.0018758125 20.96 187946557825561562972160.00
GM1noBHs 1.00 13 11 2315724.68 2.42 3.34 -48.63 1.22 0.79 48.81 15517.75 33825141.13 0.0001223675 21.43 321019737744366578434048.00
GM1noBHs 1.00 14 56 11674412.06 -1.30 0.18 -40.11 3.66 1.90 40.13 14185.07 47638967.94 0.0015699156 16.80 246649390571760362979328.00
