model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM3 1.00 0 13 2587186.35 -30.39 -25.87 -31.64 1.48 0.61 50.94 19623.00 25625918.55 0.0000191918 18.82 569724213813662200102912.00
GM3 1.00 1 9 1872270.95 -35.84 -22.11 -28.88 1.11 0.62 51.06 19500.88 28053429.61 0.0000278123 11.95 529655095778111253381120.00
GM3 1.00 2 4 917269.66 -38.16 -23.66 -27.62 0.58 0.35 52.72 23504.01 18842738.14 0.0000033343 8.23 943884699771999321325568.00
GM3 1.00 3 24 4563577.75 -19.99 -21.88 -13.31 2.45 1.39 32.49 13738.62 39230389.68 0.0004361184 25.18 241490259306590354014208.00
GM3 1.00 4 80 14226383.40 -16.09 -22.35 -11.22 4.38 2.37 29.74 15877.37 59742710.79 0.0026192407 27.91 241252359273691398275072.00
GM3 1.00 5 28 5626258.34 -33.57 -13.95 6.18 3.22 1.36 36.87 12772.67 42144196.61 0.0007705212 26.67 199248661073468137144320.00
GM3 1.00 6 30 6348907.64 -38.00 -13.88 7.21 2.46 1.29 41.09 13214.77 51074013.45 0.0016494231 35.15 187768339663194058391552.00
GM3 1.00 7 15 3035872.64 -36.44 -17.14 4.25 1.74 0.95 40.50 14284.72 34286343.91 0.0001969127 25.23 279168321138243540090880.00
GM3 1.00 8 1685 351472130.89 -26.29 -14.42 -0.07 14.77 6.36 29.98 12018.57 91413480.07 0.0167507523 61.39 125578018203046829359104.00
GM3 1.00 9 14 2779599.22 -30.11 -11.22 6.30 2.20 1.24 32.74 17828.63 40926547.54 0.0001534209 31.08 359588909758524629712896.00
GM3 1.00 10 41 8002792.71 -12.92 -13.10 7.62 1.77 0.82 19.92 10057.80 128324828.46 0.0356833665 20.94 59349708159237159387136.00
GM3 1.00 11 75 15512222.66 -14.95 -9.70 5.82 3.47 1.72 18.75 13853.65 160608008.71 0.0336291550 49.53 97764286078336028901376.00
GM3 1.00 12 74 14812491.50 -12.45 -10.27 3.31 2.61 1.29 16.47 10825.12 151210473.80 0.0417402427 47.68 59238959627267601334272.00
GM3 1.00 13 17 3571193.39 -14.88 -11.79 9.31 1.79 1.10 21.14 13245.14 51638715.29 0.0010723100 32.28 179308476857845037400064.00
GM3 1.00 14 11 2210636.86 -40.73 -17.07 3.73 1.10 0.56 44.32 15222.35 36468276.83 0.0001734639 14.09 293436064426978988523520.00
