model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM2 1.00 0 2 465524.05 -141.63 -40.35 -84.93 0.33 0.33 170.00 27609.44 1130496.41 0.0000000630 1.64 8063536529239129670549504.00
GM2 1.00 1 14 2946986.12 -23.44 5.15 -32.01 0.81 0.50 40.01 12759.67 16398356.06 0.0003580091 7.05 353837162145282399404032.00
GM2 1.00 2 6 1217843.07 -24.68 9.09 -21.99 0.67 0.47 34.28 17980.80 12045255.75 0.0000377312 6.57 793011932427525984092160.00
GM2 1.00 3 5 1016266.91 -95.36 -24.91 -65.81 0.89 0.62 118.51 15035.56 7175330.90 0.0000206080 6.96 840568242869425959600128.00
GM2 1.00 4 2 381948.85 -94.30 -25.45 -64.63 0.30 0.26 117.12 14189.38 7903835.15 0.0000299820 5.56 711152605569094258786304.00
GM2 1.00 5 3 591015.23 -119.42 -39.49 -68.31 0.98 0.69 143.14 29102.83 1758734.72 0.0000001233 5.99 6563674853171012200038400.00
GM2 1.00 6 2 424411.32 -25.13 -3.07 -5.44 0.02 0.02 25.89 13703.05 12734190.89 0.0001213158 1.49 479937952976030973034496.00
GM2 1.00 7 2 451598.13 -23.52 3.67 -35.20 0.49 0.46 42.50 21188.53 7430341.21 0.0000071058 6.38 1463777453249628764897280.00
GM2 1.00 8 14 3060094.25 -40.62 -16.68 -34.32 1.70 0.72 55.73 13084.91 11541303.82 0.0001196444 5.77 482960362625445536989184.00
GM2 1.00 9 6 1278248.73 -72.71 -10.15 -42.37 0.78 0.48 84.76 15983.45 5623474.35 0.0000097701 4.05 1094146070795119157575680.00
GM2 1.00 10 3 655894.81 -57.55 29.69 -38.60 0.31 0.26 75.39 39759.48 5336109.21 0.0000002101 6.09 5237711995053925103304704.00
GM2 1.00 11 21 4208831.74 -55.47 -4.62 -44.18 2.35 1.16 71.06 13572.90 11575351.80 0.0001082574 11.87 517774260305575664418816.00
GM2 1.00 12 3 642009.49 -73.64 -8.28 -42.84 0.24 0.16 85.59 19028.37 4998024.14 0.0000043456 4.14 1588501676683279177089024.00
GM2 1.00 13 3 659502.98 -71.66 -9.85 -43.68 0.30 0.22 84.50 17372.20 5095029.39 0.0000060374 10.22 1345109698337552998596608.00
GM2 1.00 14 13 2715542.50 -71.34 -19.52 -54.28 1.43 0.79 91.74 16642.12 5283948.08 0.0000075479 5.17 1223753080811120519806976.00
GM2 1.00 15 9 1805500.70 -81.77 -11.19 -59.98 1.02 0.55 102.02 17401.10 4886149.72 0.0000056066 4.02 1388900487705090609643520.00
GM2 1.00 16 12 2611810.21 -86.69 -12.34 -56.00 1.54 0.90 103.94 14418.48 7599673.81 0.0000265853 8.53 752715845601370222624768.00
GM2 1.00 17 11 2205551.21 -42.21 -21.25 -22.75 1.03 0.66 52.45 15129.70 10559446.61 0.0000526847 8.47 652278733607844265852928.00
GM2 1.00 18 2 438881.04 -89.54 -21.07 -70.20 0.50 0.49 115.71 18940.20 4246168.52 0.0000030908 3.79 1760138229169682657574912.00
GM2 1.00 19 3 668389.70 -93.84 -21.28 -69.13 0.61 0.48 118.48 19217.29 4467499.54 0.0000033802 7.93 1748874067573380686544896.00
GM2 1.00 20 3 632879.33 -91.07 -21.30 -69.77 0.78 0.54 116.69 16905.12 4692681.83 0.0000055365 4.51 1361436975955939612950528.00
GM2 1.00 21 2 424202.01 -90.57 -20.24 -68.92 0.12 0.12 115.60 17035.34 4767914.37 0.0000055427 2.06 1361622585829363835469824.00
GM2 1.00 22 3 685598.11 -89.69 -20.75 -68.29 0.83 0.54 114.62 18694.03 4217608.68 0.0000032293 4.52 1733744590548081628413952.00
GM2 1.00 23 4 806143.92 -87.50 -13.41 -58.26 0.73 0.57 105.97 16999.73 6337569.86 0.0000118599 8.63 1137773914876229527273472.00
GM2 1.00 24 2 429866.89 -89.38 -13.66 -55.93 0.44 0.43 106.32 19015.73 4942793.28 0.0000049627 8.27 1630474760776733104799744.00
GM2 1.00 25 2 435643.25 -91.98 -20.31 -34.85 0.33 0.32 100.44 38406.36 4264112.94 0.0000001554 5.07 5760216058074869310423040.00
GM2 1.00 26 7 1519176.56 -88.84 -50.77 -55.63 0.90 0.62 116.47 18885.53 3298672.25 0.0000018313 3.18 2080492379405808205561856.00
GM2 1.00 27 6 1207463.79 -95.40 -26.26 -63.94 1.01 0.60 117.81 13312.51 8834316.08 0.0000523317 4.90 597774753233747432177664.00
GM2 1.00 28 2 428416.27 -148.10 -53.46 -62.53 0.14 0.14 169.41 25425.98 1544877.92 0.0000001524 0.36 5706212218781484162482176.00
GM2 1.00 29 2 388060.23 -146.92 -53.08 -63.41 0.43 0.39 168.59 27941.09 1506813.25 0.0000001057 1.36 6797733708841736877375488.00
GM2 1.00 30 3 678766.46 -88.09 -51.73 -57.03 0.75 0.55 117.00 20891.75 3296492.49 0.0000013286 8.25 2462190064480257528823808.00
GM2 1.00 31 2 435729.44 -140.81 -34.16 -86.46 0.14 0.14 168.73 31386.44 1508115.30 0.0000000694 2.74 8238261067577573081350144.00
GM2 1.00 32 2 450674.43 -47.15 -26.43 -31.52 0.17 0.16 62.57 18403.12 6023494.02 0.0000073591 2.84 1321026323675333976391680.00
GM2 1.00 33 5 964523.71 -47.30 -25.26 -31.22 0.38 0.19 62.05 19415.04 6201317.89 0.0000064996 4.81 1416464453501789392601088.00
GM2 1.00 34 16 3209302.32 -19.49 -4.66 -32.13 0.88 0.35 37.86 12385.86 18906597.54 0.0006777035 6.22 299939444633678519468032.00
GM2 1.00 35 13 2510167.37 24.58 6.21 -1.00 0.95 0.40 25.37 11577.31 22243344.59 0.0013518404 4.99 231055153382332158705664.00
GM2 1.00 36 8 1488930.13 35.76 7.46 1.00 0.81 0.55 36.54 14053.71 11770531.68 0.0000897537 8.83 529223510615780329783296.00
GM2 1.00 37 21 4250525.34 41.56 -6.70 0.49 1.03 0.48 42.10 10372.00 25353840.92 0.0026292082 6.72 168603249025383481212928.00
GM2 1.00 38 8 1576052.27 57.58 -4.96 0.10 1.18 0.74 57.80 14482.36 9371513.74 0.0000454692 13.52 656170233639568494559232.00
GM2 1.00 39 3 535523.56 35.97 8.41 -20.18 0.29 0.27 42.09 16426.00 6693791.55 0.0000132779 2.30 1014001470334725028577280.00
GM2 1.00 40 8 1705574.10 35.03 -2.97 -2.39 0.72 0.26 35.23 13790.50 12085782.56 0.0001031659 4.10 502783255564087745052672.00
GM2 1.00 41 2 366175.89 53.42 -0.96 -3.88 0.36 0.31 53.56 17249.13 6165237.89 0.0000095424 6.10 1165114064072046427504640.00
GM2 1.00 42 3 677056.10 54.71 -1.79 -4.37 0.62 0.40 54.91 16862.53 6363590.36 0.0000109777 8.39 1097856773587405675429888.00
GM2 1.00 43 9 1866041.34 7.97 7.55 -14.11 1.30 0.63 17.88 24797.27 73809035.69 0.0036979382 16.26 386973760284722078941184.00
GM2 1.00 44 3 589043.09 32.17 6.10 -8.53 0.34 0.23 33.84 17567.52 7738038.03 0.0000146958 5.72 1029832175765313749516288.00
GM2 1.00 45 8 1582655.99 15.86 7.31 -9.79 0.63 0.26 20.02 11107.40 25017483.70 0.0020732618 5.37 194442008072856769921024.00
