model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM3 1.00 39 2 437426.80 -53.05 -31.26 -41.54 0.15 0.15 74.28 17227.01 5803265.12 0.0000082339 2.63 1217331780842334057398272.00
GM3 1.00 40 2 317846.01 12.00 -1.35 33.17 0.68 0.50 35.30 19911.40 10675152.91 0.0000200744 10.75 1039543876030719758172160.00
GM3 1.00 41 46 9708040.42 4.91 -2.54 44.69 2.47 1.37 45.03 10201.93 31352656.40 0.0058894238 20.49 146126416935426092695552.00
GM3 1.00 42 2 389358.52 9.77 2.26 55.96 0.18 0.16 56.85 20161.30 9507637.10 0.0000139145 4.39 1133950483668057303547904.00
GM3 1.00 43 7 1480371.97 9.87 1.64 53.78 1.12 0.87 54.71 14222.56 11687838.76 0.0000902906 10.30 549626887643705213190144.00
GM3 1.00 44 17 3560077.02 6.26 5.06 49.35 2.04 1.05 50.00 13112.70 14902141.50 0.0002742161 18.05 404823027475038819319808.00
GM3 1.00 45 2 427043.81 8.62 5.02 48.82 0.47 0.47 49.83 17897.32 10347146.71 0.0000259127 11.54 874918462300757013037056.00
GM3 1.00 46 49 9976845.93 6.58 6.69 41.60 2.09 1.12 42.65 11483.34 61280974.52 0.0190628361 27.76 124874044187875005693952.00
GM3 1.00 47 8 1697002.04 31.25 -9.43 -41.50 1.07 0.50 52.80 19770.37 7362835.67 0.0000088113 7.64 1306595026190007107846144.00
GM3 1.00 48 9 1915462.74 30.90 -15.33 -34.02 0.39 0.20 48.45 15831.50 9366458.26 0.0000312332 5.05 763056298871747032121344.00
GM3 1.00 49 2 453181.18 25.02 -37.48 -42.33 0.36 0.35 61.83 29543.13 4956696.16 0.0000007392 6.05 3349293320014342226182144.00
GM3 1.00 50 2 426576.83 35.38 -6.13 -60.43 0.40 0.40 70.29 30735.47 5454045.90 0.0000009230 5.97 3365996534368774410731520.00
GM3 1.00 51 13 2757417.30 -48.32 -21.50 -20.68 0.91 0.52 56.78 13678.97 11383995.12 0.0000897048 8.09 522435981394085901500416.00
GM3 1.00 52 8 1697913.69 -69.87 -27.58 -33.92 1.13 0.82 82.42 19793.62 4950678.02 0.0000037352 7.77 1716869634018209276362752.00
GM3 1.00 53 19 4071135.42 6.35 15.36 35.47 1.06 0.54 39.17 10758.06 25534089.63 0.0024283553 10.43 180627052269934051590144.00
GM3 1.00 54 2 424236.18 3.14 3.42 32.56 0.39 0.39 32.88 16155.36 11676996.10 0.0000533189 17.22 680618778997494416146432.00
GM3 1.00 55 2 431606.13 3.51 2.34 32.69 0.40 0.40 32.96 15655.98 11667878.32 0.0000576750 6.33 643140426977618427904000.00
GM3 1.00 56 5 1088446.44 -0.50 2.81 31.96 1.11 0.68 32.09 17115.24 11215125.29 0.0000375232 21.27 769467242596720112041984.00
GM3 1.00 57 12 2588397.60 2.70 3.13 35.62 1.95 0.97 35.86 13472.68 14629156.73 0.0002511121 18.89 437098516621940800618496.00
GM3 1.00 58 2 427960.30 14.89 -2.73 53.63 0.45 0.45 55.73 15184.93 7618856.39 0.0000222042 11.05 816711122510863621160960.00
GM3 1.00 59 17 3654895.46 9.15 -0.84 30.85 2.35 1.46 32.19 12538.15 18364630.57 0.0006180874 20.43 318097115379625904570368.00
GM3 1.00 60 7 1457407.86 29.33 -1.66 32.64 0.75 0.52 43.91 14566.25 10341928.15 0.0000569744 11.41 622136973768337767006208.00
GM3 1.00 61 7 1534329.21 25.99 -0.91 30.39 0.75 0.38 40.00 13532.59 13229296.16 0.0001445763 11.30 459790970090669048070144.00
GM3 1.00 62 5 1076291.71 13.17 6.60 42.25 0.94 0.67 44.74 18850.56 8721410.18 0.0000150436 15.68 1076797187947293023666176.00
GM3 1.00 63 2 438399.88 16.33 6.45 39.57 0.20 0.20 43.29 20190.88 7348132.54 0.0000080435 5.40 1353859961336254242488320.00
GM3 1.00 64 3 648573.53 25.91 0.80 35.06 0.70 0.51 43.60 18187.45 9903682.30 0.0000279519 6.79 946882054704768235864064.00
GM3 1.00 65 2 424265.11 22.79 5.33 36.18 0.40 0.40 43.09 65405.41 22318536.39 0.0000000605 14.58 4631534933977303930109952.00
GM3 1.00 66 11 2360825.83 -3.32 -7.42 -15.81 0.47 0.31 17.78 12367.41 20384283.90 0.0008590238 6.11 279907289447643507326976.00
GM3 1.00 67 3 627924.19 -2.55 -1.81 -23.66 0.05 0.04 23.87 17038.58 9061956.52 0.0000229071 1.93 879171351151519008292864.00
GM3 1.00 68 3 645260.37 60.04 8.27 -1.77 0.62 0.46 60.63 31429.85 11879020.60 0.0000021531 8.35 2064657180827950019248128.00
GM3 1.00 69 4 851706.96 34.35 8.59 23.83 0.63 0.35 42.68 18229.79 9271271.98 0.0000191674 8.67 975462222760248034197504.00
GM3 1.00 70 2 424219.13 45.19 11.70 14.43 0.36 0.36 48.86 21222.61 5834518.34 0.0000040863 4.04 1727346086904878453489664.00
GM3 1.00 71 3 636429.02 43.02 13.32 11.30 0.65 0.52 46.43 17864.11 7644459.98 0.0000133272 6.83 1076155995562288904929280.00
GM3 1.00 72 4 861409.13 58.67 8.73 -0.91 1.16 0.77 59.32 35656.62 12811671.81 0.0000052316 11.69 2432325927097410986704896.00
GM3 1.00 73 6 1277940.76 28.67 3.99 17.89 1.18 0.73 34.03 16802.26 11401622.03 0.0000429514 12.38 739382229986382245265408.00
GM3 1.00 74 4 848893.20 41.17 3.43 8.74 0.77 0.58 42.22 15071.41 11818049.93 0.0000719311 12.57 599481599293357880770560.00
GM3 1.00 75 4 857182.08 42.60 3.58 8.88 0.51 0.35 43.66 14327.59 10741363.78 0.0000639274 10.53 586210941934038551625728.00
GM3 1.00 76 5 1019923.78 52.36 4.54 13.97 0.97 0.55 54.38 16525.52 7467222.62 0.0000165852 5.62 958753686424449676476416.00
GM3 1.00 77 5 1060642.97 52.41 6.12 3.73 0.82 0.49 52.89 19154.91 6754404.59 0.0000080964 8.12 1314055216747714090893312.00
GM3 1.00 78 19 4032470.40 24.59 10.24 9.16 1.26 0.50 28.17 10713.46 28829939.44 0.0034803785 11.04 164681858139048579694592.00
GM3 1.00 79 27 5695561.57 -4.95 -9.51 53.92 2.99 1.32 54.97 11522.56 18828754.80 0.0011953550 20.80 291790647801497400639488.00
GM3 1.00 80 4 813277.84 -26.59 8.35 0.48 0.23 0.12 27.87 16731.72 9963113.91 0.0000304673 2.46 799210177011169823293440.00
GM3 1.00 81 3 637345.39 -31.24 13.48 0.60 0.05 0.03 34.03 18333.26 7016292.79 0.0000102487 2.35 1184739096418412558024704.00
GM3 1.00 82 2 472112.17 -28.43 -2.08 44.12 0.38 0.38 52.53 12445.95 13022059.96 0.0001926593 4.41 401835534519845563400192.00
GM3 1.00 83 7 1581603.50 -28.80 -0.97 43.31 0.73 0.62 52.02 13060.44 12417722.19 0.0001359359 13.83 450468139294141039247360.00
GM3 1.00 84 8 1713610.87 -28.24 -3.65 43.76 1.14 0.76 52.21 13999.29 10934901.92 0.0000867818 13.81 564972141099349278982144.00
GM3 1.00 85 6 1245164.48 -22.55 -2.31 59.88 1.20 0.78 64.02 12837.23 12264022.80 0.0001605450 10.32 451833873428832264912896.00
GM3 1.00 86 5 1045042.36 -17.30 -4.40 60.58 0.70 0.61 63.15 17223.83 7809355.03 0.0000159404 16.00 995958026853374228430848.00
GM3 1.00 87 10 2047372.70 -22.49 0.01 54.31 1.38 0.90 58.78 11989.54 15538663.71 0.0004948634 16.01 338565181319371498192896.00
GM3 1.00 88 2 427851.39 -20.98 1.27 55.12 0.42 0.42 58.99 17329.77 9026685.59 0.0000296001 20.27 947821802623619395747840.00
GM3 1.00 89 25 5144504.18 -24.85 0.02 58.76 2.59 1.42 63.80 10292.79 26908170.65 0.0040288923 14.81 169117920141423983722496.00
GM3 1.00 90 19 3783521.18 -23.30 1.53 49.71 2.25 1.19 54.92 11524.82 16287856.83 0.0006418762 12.29 303320049631970373664768.00
GM3 1.00 91 3 622068.45 -19.92 -4.69 61.43 0.56 0.39 64.75 17053.88 7240304.24 0.0000138021 7.95 1028796793818099593773056.00
GM3 1.00 92 8 1657557.43 -6.03 -11.30 61.72 0.99 0.64 63.04 16588.95 7837221.47 0.0000180823 8.91 931455583891934874173440.00
GM3 1.00 93 4 858325.09 -24.83 -0.04 56.22 0.78 0.67 61.46 10456.52 22688806.59 0.0020834438 15.89 191574143803357787062272.00
GM3 1.00 94 5 969962.21 -24.91 0.68 53.97 1.11 0.57 59.44 11312.65 18413693.25 0.0008920758 22.14 259954835008276838481920.00
GM3 1.00 95 3 529157.22 -30.37 2.12 55.01 0.60 0.38 62.87 17169.23 10798038.48 0.0000450107 11.24 817665370951441585274880.00
GM3 1.00 96 11 2409881.15 -29.31 -3.47 58.49 1.88 1.13 65.52 19396.52 11536353.03 0.0000335827 15.67 944609333940143089778688.00
GM3 1.00 97 3 591767.13 -25.99 -0.81 56.97 0.48 0.36 62.62 10698.13 20673204.28 0.0015101660 10.43 214850688267229790732288.00
GM3 1.00 98 4 805679.03 -25.25 -3.08 57.88 0.98 0.65 63.23 15492.56 11372784.53 0.0000838618 17.95 681680782280971801067520.00
GM3 1.00 99 8 1697153.26 -10.10 -1.90 42.16 1.11 0.70 43.39 17056.61 9354015.95 0.0000248439 15.29 865370934919699107938304.00
GM3 1.00 100 2 426763.33 -3.68 0.21 51.16 0.45 0.45 51.29 30953.97 9983105.40 0.0000026445 11.11 2262774614301222058852352.00
GM3 1.00 101 9 1830205.60 -19.09 2.50 47.22 1.10 0.75 50.99 14314.77 10712398.15 0.0000653813 14.36 586677303847137795112960.00
GM3 1.00 102 2 429672.01 -20.39 1.79 38.92 0.08 0.08 43.97 23164.12 5827735.32 0.0000029517 5.87 1992078259754509214416896.00
GM3 1.00 103 10 2073379.17 -13.97 -3.88 34.32 1.14 0.78 37.25 14912.28 11342343.02 0.0000684583 15.00 605855628639520394575872.00
GM3 1.00 104 42 8619131.67 -6.19 2.88 31.93 2.03 0.88 32.65 9345.02 80763729.90 0.0305218732 16.79 61253957451520566886400.00
GM3 1.00 105 4 873158.16 -23.83 1.63 53.10 0.84 0.58 58.23 10833.40 20008054.47 0.0014532646 12.96 235352798108659566510080.00
GM3 1.00 106 11 2236412.82 15.10 10.71 0.87 1.17 0.68 18.53 13324.72 18204016.68 0.0004208867 15.24 354230086429088577224704.00
GM3 1.00 107 22 4552188.42 -8.38 8.77 22.24 1.62 0.62 25.33 10396.94 31820138.41 0.0055912752 18.60 145007955055817464479744.00
GM3 1.00 108 2 424532.41 -29.93 26.60 16.88 0.08 0.08 43.45 22558.10 5372657.55 0.0000027800 1.56 2012351627325055912902656.00
GM3 1.00 109 2 434853.22 -17.76 11.08 19.75 0.04 0.04 28.78 18640.65 8212103.08 0.0000135807 2.64 1095927801139309637009408.00
GM3 1.00 110 2 425116.48 -6.27 15.15 21.18 0.36 0.36 26.79 20152.59 8849294.96 0.0000120163 9.98 1189783510267842827124736.00
