model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM2SI1 1.00 0 2 424168.26 -8.41 -7.31 -10.97 0.29 0.29 15.64 22479.00 18279067.85 0.0000035390 10.02 883669854694830675853312.00
GM2SI1 1.00 1 4 789311.24 4.03 15.02 -4.77 0.99 0.64 16.27 17876.59 16720061.15 0.0000068319 25.67 642501338546481940922368.00
GM2SI1 1.00 2 2 425753.04 3.31 13.70 -6.01 0.38 0.38 15.32 20065.90 15411399.97 0.0000034494 2.17 817690656369397439922176.00
GM2SI1 1.00 3 3 640008.91 1.27 13.97 -6.77 0.65 0.51 15.58 18220.39 12185966.65 0.0000025152 17.80 814682995589192192360448.00
GM2SI1 1.00 4 3 644177.27 4.36 14.86 -2.27 0.67 0.57 15.65 18925.92 12632049.43 0.0000025111 11.93 847782961021008631300096.00
GM2SI1 1.00 5 2 424168.26 8.67 -12.67 -2.13 0.30 0.30 15.50 41985.22 25150984.30 0.0000004981 12.55 2023704613506771434078208.00
GM2SI1 1.00 6 2 424168.26 10.30 -11.13 -1.95 0.46 0.46 15.29 53646.07 34286104.33 0.0000002058 30.35 2484548279862197254881280.00
GM2SI1 1.00 7 2 425479.69 13.37 0.52 -9.50 0.44 0.44 16.41 26587.30 5564984.19 0.0000001304 8.03 2581697992039630676951040.00
GM2SI1 1.00 8 2 424168.26 10.60 -5.29 -11.65 0.27 0.27 16.61 37663.36 15928153.15 0.0000003687 10.81 2293242641294585889816576.00
GM2SI1 1.00 9 70 14737222.76 -2.01 2.71 -15.30 4.74 1.77 15.66 10845.65 74056442.59 0.0134038997 28.58 127084355122625872134144.00
GM2SI1 1.00 10 7 1428606.67 0.49 4.96 -14.98 1.73 1.23 15.79 13846.61 34635778.12 0.0002886895 19.85 273251792384548591894528.00
GM2SI1 1.00 11 2 428056.67 -8.49 1.25 -13.30 0.50 0.49 15.83 58233.54 24089608.80 0.0000000881 33.15 3596158826345023183781888.00
GM2SI1 1.00 12 2 430469.45 -3.05 13.59 -7.85 0.50 0.50 15.99 18981.25 12424641.85 0.0000023806 15.27 860229738510357236809728.00
GM2SI1 1.00 13 2 428249.43 -3.01 13.15 -9.13 0.32 0.31 16.28 15639.37 14858744.76 0.0000076095 14.68 552428720487300102881280.00
GM2SI1 1.00 14 2 426904.60 13.53 -5.53 -6.45 0.48 0.48 15.98 30356.17 15732337.34 0.0000009606 25.88 1637762442377329192730624.00
