model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
P0noBHs 1.00 0 421 87177928.29 -16.01 -1.62 -45.48 11.33 4.54 48.24 11814.81 58384294.03 0.0048959976 24.65 152340377087418923220992.00
P0noBHs 1.00 1 9 1861552.73 -4.50 11.46 -24.77 1.28 0.83 27.66 14447.76 29724069.24 0.0000961460 17.84 306324034236044151881728.00
P0noBHs 1.00 2 2 424241.92 -8.02 12.31 -25.77 0.49 0.49 29.66 19547.81 19886291.63 0.0000073831 21.49 677342360558551573725184.00
P0noBHs 1.00 3 290 60129852.20 -1.04 8.56 -27.41 6.40 3.20 28.73 12044.30 62428526.22 0.0059688505 33.39 153485913937379464314880.00
P0noBHs 1.00 4 3 643657.55 -6.86 11.58 -26.69 0.43 0.31 29.89 16948.33 22311845.44 0.0000207947 14.70 494148548800485947080704.00
P0noBHs 1.00 5 6 1279063.27 -5.59 9.62 -26.96 0.81 0.65 29.17 14592.48 30873105.99 0.0001054817 16.96 304377964791204585406464.00
P0noBHs 1.00 6 4 798323.22 -2.74 20.38 -6.91 0.36 0.29 21.69 23830.06 20681354.46 0.0000034721 11.12 907681208947507984334848.00
P0noBHs 1.00 7 2 424588.35 -3.54 15.62 -5.93 0.40 0.40 17.08 28454.92 26150678.31 0.0000029784 11.82 1047795569499643727314944.00
P0noBHs 1.00 8 2 426370.37 -3.89 16.83 -22.79 0.36 0.36 28.59 45437.42 35155532.52 0.0000010685 20.69 1878001228853520027877376.00
P0noBHs 1.00 9 4 794301.78 -5.52 15.77 -22.70 1.00 0.58 28.18 26473.23 20741368.11 0.0000024040 7.13 1085015754394754275606528.00
P0noBHs 1.00 10 8 1724885.05 -0.81 15.55 -23.96 1.21 0.76 28.57 15323.88 30371455.22 0.0000861566 14.93 334525157633062768476160.00
P0noBHs 1.00 11 6 1240731.41 -1.13 16.82 -26.20 1.01 0.71 31.16 29859.93 41795892.59 0.0000405528 16.19 845573733231321749127168.00
P0noBHs 1.00 12 11 2233608.35 -0.25 14.36 -26.28 1.40 0.96 29.95 15139.98 31776941.80 0.0001090718 20.71 321613454140675528327168.00
P0noBHs 1.00 13 7 1488034.82 -2.26 12.65 14.64 0.50 0.39 19.48 14169.48 38062753.66 0.0002063773 16.13 248825650226695080247296.00
P0noBHs 1.00 14 7 1486726.74 -1.41 14.68 -11.87 0.78 0.60 18.93 34895.95 55861610.58 0.0000211078 33.95 881343314960481941192704.00
P0noBHs 1.00 15 2 426164.31 -7.09 10.91 9.94 0.24 0.24 16.37 18096.73 33088341.41 0.0000532962 10.24 414172123597022980734976.00
P0noBHs 1.00 16 2 424598.21 -2.25 10.68 -20.73 0.44 0.44 23.43 21876.15 23778208.12 0.0000082300 18.20 719758624596497518297088.00
P0noBHs 1.00 17 6 1214215.79 -5.93 29.80 3.74 0.94 0.52 30.62 17169.13 28115788.32 0.0000427447 12.25 427546576253446107693056.00
P0noBHs 1.00 18 8 1700962.04 -3.09 9.69 -18.85 1.12 0.77 21.42 17220.09 33023553.72 0.0000679973 20.62 383113314992378232176640.00
P0noBHs 1.00 19 2 424776.94 -8.33 11.23 10.63 0.46 0.46 17.57 17754.49 31179629.44 0.0000469632 5.39 417836621030031439691776.00
P0noBHs 1.00 20 2 424484.08 -9.30 12.30 11.20 0.35 0.35 19.06 19414.12 32333210.95 0.0000349881 7.22 474540069027356178644992.00
P0noBHs 1.00 21 9 1911243.55 -7.99 12.12 -14.12 1.23 0.60 20.25 15648.86 38666496.17 0.0001813295 25.56 298992906522862972567552.00
P0noBHs 1.00 22 5 1016985.38 -6.10 12.53 -14.37 0.64 0.43 20.01 17766.91 32512597.15 0.0000602145 18.46 410702140978904768184320.00
P0noBHs 1.00 23 7 1485442.26 -9.79 13.72 -7.27 1.04 0.75 18.35 18234.55 35129265.47 0.0000653837 25.00 405191638987102511693824.00
P0noBHs 1.00 24 9 1711041.46 -6.80 10.40 -21.72 1.37 0.84 25.02 38823.41 75429407.06 0.0000864761 34.61 885667304416471362306048.00
P0noBHs 1.00 25 2 428134.67 -9.56 14.42 -15.07 0.12 0.12 22.94 66273.41 46732539.69 0.0000001019 27.46 2918998194813773325271040.00
P0noBHs 1.00 26 12 2562084.41 -8.55 10.64 -20.99 1.59 0.92 25.03 22079.76 49415127.66 0.0001511420 27.46 450913262167818330177536.00
P0noBHs 1.00 27 7 1493266.18 1.35 15.49 -26.38 1.19 0.79 30.62 14674.13 31624141.55 0.0001096905 11.71 302565299670949853921280.00
P0noBHs 1.00 28 10 2023075.24 1.18 16.84 -24.84 1.24 0.91 30.03 15880.12 30107636.87 0.0000731216 17.16 357142572595352292032512.00
P0noBHs 1.00 29 6 1286795.54 3.53 13.79 -9.21 0.85 0.49 16.95 15551.02 34406456.86 0.0001107633 10.94 312949892190613192835072.00
P0noBHs 1.00 30 8 1433294.88 3.48 21.00 11.91 0.90 0.47 24.39 14884.28 30403208.83 0.0000917852 11.54 316123552715864167940096.00
P0noBHs 1.00 31 2 425253.70 0.08 30.39 14.96 0.41 0.41 33.87 24861.36 18707411.61 0.0000022314 2.78 1044480842698870017228800.00
P0noBHs 1.00 32 8 1702706.01 4.01 17.06 -26.78 1.29 0.91 32.01 22419.14 43925771.55 0.0001523117 19.61 521055468213903648882688.00
P0noBHs 1.00 33 10 2072870.10 -18.98 10.71 -23.31 0.81 0.53 31.91 15361.81 40537526.62 0.0001861636 19.35 274547771981801543696384.00
P0noBHs 1.00 34 17 3385487.67 -16.19 13.19 -22.51 2.45 1.20 30.70 17068.43 33871856.09 0.0001232737 34.42 404104265546522599358464.00
