model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM2noBHs 1.00 0 2 262381.89 -136.54 -55.06 -47.16 0.38 0.33 154.59 352849.42 9074598857.07 0.0000000580 19.04 1538086329324163261530112.00
GM2noBHs 1.00 1 2 270845.37 -147.57 -53.07 -40.85 0.69 0.42 162.05 27969.78 5479033.69 0.0000010055 11.86 2871532076030421335277568.00
GM2noBHs 1.00 2 15 2487933.55 37.22 -17.96 -36.12 1.53 0.90 54.89 20965.88 191772989.88 0.0119078512 36.05 189728583856512871432192.00
GM2noBHs 1.00 3 23084 3867161530.11 40.73 -12.46 -29.94 35.38 8.84 52.06 22547.24 7392532262.96 0.3674860483 74.64 73674403760678690095104.00
GM2noBHs 1.00 4 2 376025.62 23.80 -14.05 -34.34 0.56 0.48 44.08 13512.69 23783541.15 0.0006696477 11.58 297109613611939348348928.00
GM2noBHs 1.00 5 3 485168.60 27.51 -16.42 -34.30 0.93 0.60 46.94 18735.50 19368350.54 0.0000781687 30.89 614559940811369117384704.00
GM2noBHs 1.00 6 5 768216.36 26.04 -15.25 -29.98 0.70 0.41 42.53 15139.99 17451491.47 0.0001491583 18.15 452974874832415821398016.00
GM2noBHs 1.00 7 27 5126040.56 29.31 -10.91 -32.05 2.41 1.30 44.79 10496.19 41266254.89 0.0082041145 22.76 119281368979819605262336.00
GM2noBHs 1.00 8 2 444950.45 22.27 -15.92 -26.12 0.45 0.43 37.84 16746.55 17082030.73 0.0000952317 29.82 549385531057123295756288.00
GM2noBHs 1.00 9 4 813474.15 24.63 -15.38 -37.30 0.67 0.52 47.27 13695.68 23828346.72 0.0008069241 13.42 319365344815626676338688.00
