model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM2noBHs 1.00 37 2 426655.34 -11.80 -0.44 11.16 0.48 0.48 16.25 35903.77 15009321.30 0.0000003456 11.91 2203663958027292408545280.00
GM2noBHs 1.00 38 4 748085.51 -8.53 -7.99 11.91 0.81 0.59 16.68 27492.62 16162695.47 0.0000014055 11.62 1345616177737058859614208.00
GM2noBHs 1.00 39 2 424168.26 -8.37 -5.11 11.56 0.48 0.48 15.16 17337.60 18910919.83 0.0000105094 9.07 558789583970553489784832.00
GM2noBHs 1.00 40 2 371580.49 -11.05 -4.67 11.76 0.52 0.45 16.80 20329.03 13472755.13 0.0000024186 21.85 922236345735176062500864.00
GM2noBHs 1.00 41 5 1060420.64 -5.37 1.52 14.48 0.88 0.71 15.51 12934.32 30917616.25 0.0002212784 9.03 252786719901812504133632.00
GM2noBHs 1.00 42 3 636252.38 -8.02 -1.28 14.12 0.75 0.52 16.29 16365.66 20274530.01 0.0000163287 5.70 484879558489547628085248.00
GM2noBHs 1.00 43 3 636252.38 -6.91 -0.01 14.48 0.61 0.51 16.04 14770.25 22517665.62 0.0000375476 4.72 381662149190668961972224.00
GM2noBHs 1.00 44 2 424168.26 -6.38 -1.57 14.13 0.44 0.44 15.58 14623.51 21928260.13 0.0000356753 8.18 382195737813209051037696.00
GM2noBHs 1.00 45 8 1362064.59 -5.30 -8.80 -12.11 1.55 0.91 15.88 16465.85 20206875.15 0.0000177526 13.74 492566573437650877808640.00
GM2noBHs 1.00 46 4 794897.64 -2.66 -8.07 -13.51 1.01 0.65 15.96 15748.32 13750157.57 0.0000060236 13.50 586711250385796195155968.00
GM2noBHs 1.00 47 2 441742.36 -5.59 -10.62 -9.48 0.20 0.19 15.29 16429.81 15589566.87 0.0000074444 6.31 578661855168987544944640.00
GM2noBHs 1.00 48 2 424168.26 -11.36 -4.67 -9.23 0.38 0.38 15.36 49441.93 35332803.03 0.0000003220 4.48 2119606788204369843060736.00
GM2noBHs 1.00 49 6 1272504.77 5.45 -2.69 15.39 1.16 0.88 16.55 16940.27 26085529.05 0.0000397583 16.69 438022572756576342376448.00
GM2noBHs 1.00 50 3 636278.18 6.25 0.51 14.80 0.60 0.50 16.07 17957.20 19972867.06 0.0000110955 16.25 572493911399767713251328.00
GM2noBHs 1.00 51 29 6152500.57 -3.28 3.01 15.22 2.38 1.41 15.86 12170.43 39831603.40 0.0006125354 15.53 189284861448006550945792.00
GM2noBHs 1.00 52 2 424168.26 0.68 1.78 16.37 0.24 0.24 16.48 19957.08 20906937.20 0.0000081463 9.53 661807028869570939060224.00
GM2noBHs 1.00 53 4 849158.29 0.00 -0.10 16.53 0.96 0.64 16.53 15596.11 21896802.47 0.0000277853 16.23 428092380424546006597632.00
GM2noBHs 1.00 54 2 424168.26 3.41 -2.87 14.76 0.44 0.44 15.42 15346.95 25513925.78 0.0000478565 14.21 372655531630511515500544.00
GM2noBHs 1.00 55 2 424168.26 3.06 -1.55 16.40 0.38 0.38 16.76 17574.32 21682627.29 0.0000155118 5.78 522934776706591866486784.00
GM2noBHs 1.00 56 3 636252.38 14.39 -7.55 4.38 0.61 0.44 16.83 13111.78 32564987.40 0.0001973728 3.20 243091051558347024105472.00
GM2noBHs 1.00 57 2 262935.73 0.54 10.38 11.33 0.54 0.44 15.38 35565.19 8449783.83 0.0000001440 5.97 3190781392477188150788096.00
GM2noBHs 1.00 58 2 436433.60 -0.61 8.88 13.27 0.45 0.44 15.98 41316.17 10688674.78 0.0000001049 12.04 3482326855959760227794944.00
GM2noBHs 1.00 59 2 424168.26 -0.61 5.22 14.92 0.45 0.45 15.82 46127.13 32285578.47 0.0000004606 14.15 2017632481441302479634432.00
GM2noBHs 1.00 60 3 636580.00 4.51 5.28 14.08 0.85 0.67 15.70 17662.70 11795464.17 0.0000026009 11.46 792360322918965206581248.00
GM2noBHs 1.00 61 2 444810.15 1.79 6.94 13.60 0.31 0.31 15.37 27949.06 12810130.94 0.0000006703 12.29 1606694946573227032313856.00
GM2noBHs 1.00 62 2 385391.00 -4.35 11.85 9.70 0.12 0.10 15.92 25581.39 10038483.06 0.0000005495 6.30 1618614660897472191135744.00
