model output time z halo Nclumps cold_cgm_mass[Msol] cold_clump_mass[Msol]
GM1noBHs 3712 12.51 0.10 1 626 3464772629.58 3104467526.84
GM1noBHs 3584 12.08 0.13 1 588 2600288005.24 2350253145.38
GM1noBHs 3456 11.65 0.17 1 1080 3069270557.88 2123560493.71
GM1noBHs 3328 11.22 0.21 1 913 2714009225.78 1698797964.62
GM1noBHs 3200 10.79 0.25 1 382 1182507650.36 746161759.62
GM1noBHs 3195 10.77 0.25 1 390 1209597963.36 767584966.73
GM1noBHs 3072 10.35 0.29 1 468 1645464037.91 1030015758.93
GM1noBHs 2944 9.92 0.34 1 773 2783526134.30 1877014334.56
GM1noBHs 2816 9.49 0.39 1 1513 5007808743.68 3799822277.20
GM1noBHs 2688 9.06 0.44 1 2180 6771136465.48 5796658160.37
GM1noBHs 2560 8.63 0.50 1 1124 8092090164.56 7836326227.08
GM1noBHs 2554 8.61 0.50 1 1097 8117727479.81 7864903801.65
GM1noBHs 2432 8.20 0.56 1 1129 7560583753.28 7304825064.79
GM1noBHs 2304 7.77 0.62 1 2009 8359766393.09 7608306703.40
GM1noBHs 2176 7.34 0.70 1 1396 3453470042.92 2942852201.71
GM1noBHs 2048 6.91 0.77 1 1414 3765314018.48 3208107081.71
GM1noBHs 1920 6.48 0.86 1 1556 5530462628.39 4815396406.97
GM1noBHs 1792 6.05 0.96 1 1661 7990972228.33 7167661463.96
GM1noBHs 1739 5.87 1.00 1 2216 9179148488.52 8043327320.33
GM1noBHs 1664 5.62 1.06 1 2484 9746693163.69 8699078602.86
