model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM1noBHs 1.00 0 32 6794560.71 -13.42 -6.45 -5.18 2.32 1.35 15.76 11862.90 43838356.68 0.0014865748 13.36 174329294516511488081920.00
GM1noBHs 1.00 1 2 424168.26 -10.91 -6.28 -10.71 0.38 0.38 16.53 22331.43 13356139.34 0.0000016002 5.88 1078587815211275548360704.00
GM1noBHs 1.00 2 2 424168.26 -9.96 -9.21 -8.46 0.44 0.44 15.99 43182.70 27555193.08 0.0000005198 25.09 1997972660613919310610432.00
GM1noBHs 1.00 3 2 424636.00 -8.77 -7.44 -11.42 0.29 0.29 16.21 25715.62 17772758.90 0.0000020734 2.98 1136982351712484277092352.00
GM1noBHs 1.00 4 2 424168.26 0.62 3.85 -16.27 0.50 0.50 16.73 19011.88 11521041.31 0.0000018622 2.36 908919385072733559717888.00
GM1noBHs 1.00 5 2 424168.26 -3.30 2.99 -15.40 0.34 0.34 16.03 21019.50 10348791.66 0.0000010621 8.52 1154074059608871309148160.00
GM1noBHs 1.00 6 2 424168.26 3.00 -0.34 -15.05 0.45 0.45 15.34 24618.47 17522079.04 0.0000024362 8.63 1065422332679872789348352.00
GM1noBHs 1.00 7 11 2334985.11 -14.36 -3.36 -6.81 1.96 1.03 16.24 12938.15 30165719.64 0.0001736348 8.59 253755135505375132909568.00
GM1noBHs 1.00 8 2 424168.26 4.11 -3.14 -14.37 0.14 0.14 15.27 16958.76 19598115.88 0.0000126890 1.26 526248237782235122499584.00
GM1noBHs 1.00 9 2 425122.39 -1.41 -3.41 -15.43 0.18 0.18 15.87 23347.76 18252750.17 0.0000030226 14.90 943187494391209705603072.00
GM1noBHs 1.00 10 3 637153.18 -0.23 -5.32 -14.31 0.63 0.49 15.27 20388.17 19600676.22 0.0000062610 17.70 716044526897975177248768.00
GM1noBHs 1.00 11 3 636252.38 -6.16 -7.16 -12.80 0.70 0.54 15.91 27054.13 19525299.90 0.0000021260 12.17 1155590389556306209931264.00
GM1noBHs 1.00 12 4 728543.34 4.29 -9.83 -11.28 0.70 0.59 15.56 17548.18 14938379.05 0.0000051305 16.62 666628461838116444962816.00
GM1noBHs 1.00 13 2 424767.93 -4.26 -9.92 -11.05 0.47 0.47 15.44 41127.55 34419926.36 0.0000009985 25.68 1586752915475156485275648.00
GM1noBHs 1.00 14 3 636252.38 -5.68 -10.55 -11.39 0.69 0.50 16.53 24658.04 21934046.19 0.0000042431 4.67 914895357860073397288960.00
GM1noBHs 1.00 15 2 424168.26 2.93 -2.13 -15.28 0.47 0.47 15.70 20623.26 19313717.60 0.0000061479 15.72 740979344622999289462784.00
GM1noBHs 1.00 16 2 425262.46 -4.97 -11.55 -9.25 0.38 0.38 15.61 42171.34 36324653.43 0.0000013332 24.63 1592199611396310733684736.00
GM1noBHs 1.00 17 3 636252.38 -7.65 -1.37 -13.28 0.69 0.56 15.39 18219.85 23197577.60 0.0000194155 10.71 538421981546009321275392.00
GM1noBHs 1.00 18 2 368327.28 0.46 8.02 -14.25 0.43 0.38 16.36 34143.20 10981634.68 0.0000002862 12.29 2510408288548352778305536.00
GM1noBHs 1.00 19 2 427572.51 -8.56 8.89 -11.17 0.50 0.50 16.64 27220.36 8911018.51 0.0000003406 9.01 1961456526959488956104704.00
