model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM3SI1 1.00 0 372 78608799.57 -22.65 -18.03 -9.03 7.19 2.74 30.33 12794.26 174640586.83 0.0387442120 45.38 89647016106791731724288.00
GM3SI1 1.00 1 2 424180.62 38.81 -19.09 -70.71 0.50 0.50 82.89 34607.69 9093553.03 0.0000001454 7.98 2966849282048221895458816.00
GM3SI1 1.00 2 2 424776.33 38.80 -25.32 -81.74 0.48 0.48 93.96 52212.04 13703428.12 0.0000000583 1.91 4462462918792359205404672.00
GM3SI1 1.00 3 2 424168.26 39.68 -33.01 -63.79 0.32 0.32 82.05 31721.63 12955727.17 0.0000003916 5.25 2014776428016259911647232.00
GM3SI1 1.00 4 2 424744.92 39.32 -33.24 -62.36 0.37 0.37 80.87 64678.39 29103841.77 0.0000000670 3.78 3854586613438806491136000.00
GM3SI1 1.00 5 2 424168.26 42.10 -32.15 -65.21 0.42 0.42 84.01 35492.83 11668893.06 0.0000002335 4.69 2616619503226411552866304.00
GM3SI1 1.00 6 2 424170.15 41.73 -23.21 -84.93 0.33 0.33 97.43 55061.96 15698826.04 0.0000000565 1.67 4452450131316281830277120.00
GM3SI1 1.00 7 2 424175.25 25.33 -21.25 -45.46 0.15 0.15 56.21 32397.93 18062221.98 0.0000007074 3.47 1669363834256825847382016.00
GM3SI1 1.00 8 8 1700600.23 23.34 -21.51 -47.70 1.33 0.88 57.29 27308.33 21999140.08 0.0000024800 15.72 1102829471721963118395392.00
GM3SI1 1.00 9 2 424181.13 25.97 -19.76 -52.60 0.50 0.50 61.90 38362.46 12242529.46 0.0000001679 10.32 2876863569802050433712128.00
GM3SI1 1.00 10 3 636253.38 22.72 -21.33 -45.75 0.62 0.45 55.35 25961.74 18465424.02 0.0000020969 16.59 1145462141341105607671808.00
GM3SI1 1.00 11 6 1318339.33 32.25 -29.76 -15.64 1.08 0.76 46.59 18799.48 24421554.82 0.0000182559 14.13 553749357119188294959104.00
GM3SI1 1.00 12 2 430634.73 28.71 -29.56 -12.99 0.19 0.19 43.21 20055.33 26015456.50 0.0000138106 30.20 580800754278512931635200.00
GM3SI1 1.00 13 2 441712.08 30.46 -29.80 -14.41 0.34 0.34 44.99 18247.02 21287765.63 0.0000114324 15.30 569897211345097759653888.00
GM3SI1 1.00 14 2 424168.26 36.28 -32.89 -108.22 0.26 0.26 118.78 27608.60 10736549.75 0.0000004259 1.98 1810790986849394838470656.00
GM3SI1 1.00 15 5 1060420.64 37.41 -32.23 -107.42 0.66 0.38 118.23 27411.98 12399106.96 0.0000005965 2.60 1625116559698480123084800.00
GM3SI1 1.00 16 4 875828.14 30.90 -30.32 -15.58 0.95 0.66 46.01 18149.70 22137524.68 0.0000155076 18.00 555044962636363628281856.00
GM3SI1 1.00 17 2 424210.20 33.34 -28.64 -56.39 0.39 0.39 71.49 55241.10 22566771.83 0.0000000957 3.38 3511567330075552589545472.00
GM3SI1 1.00 18 2 424169.04 35.66 -28.97 -58.82 0.43 0.43 74.64 52379.55 17897674.72 0.0000000924 7.88 3760643103727745532690432.00
GM3SI1 1.00 19 3 664704.76 24.57 -27.59 -15.14 0.62 0.43 39.93 17266.34 27436796.91 0.0000353210 16.03 435947013184871181844480.00
GM3SI1 1.00 20 16 3497686.04 25.99 -28.71 -15.07 1.17 0.62 41.56 12657.59 42892083.98 0.0005328902 9.22 190194845942987421122560.00
GM3SI1 1.00 21 3 642014.21 34.58 -33.97 -15.38 0.66 0.51 50.86 14442.25 35658761.43 0.0002152325 21.20 276655673694766371962880.00
GM3SI1 1.00 22 13 2696220.81 28.15 -35.24 -14.54 1.67 0.93 47.38 16731.22 28572880.92 0.0000784179 22.51 434363923521969158356992.00
GM3SI1 1.00 23 3 580651.44 35.80 -33.57 -18.98 0.21 0.19 52.62 12898.98 55337115.59 0.0012422656 6.60 161388145553480345452544.00
GM3SI1 1.00 24 13 2782963.92 28.16 -31.84 -13.67 1.38 0.57 44.65 12624.33 41192499.99 0.0004899829 11.89 198017447184254197825536.00
GM3SI1 1.00 25 4 876851.61 26.41 -33.73 -11.08 0.81 0.58 44.25 22894.87 22688567.42 0.0000054180 9.90 799119416483944576581632.00
GM3SI1 1.00 26 1291 221864702.13 -9.16 -14.66 -9.45 11.51 4.47 19.70 37245.31 1127314788.47 0.0678390221 67.96 170020947925254128271360.00
GM3SI1 1.00 27 3 411121.61 7.79 -13.02 -4.35 0.18 0.14 15.78 12104.00 63146962.20 0.0044188059 19.04 112745154687719366983680.00
GM3SI1 1.00 28 33 7009442.63 5.53 -14.08 3.76 2.58 1.44 15.59 13622.36 111272599.21 0.0108005211 42.31 106856096985904574365696.00
GM3SI1 1.00 29 5 858476.19 -2.47 -14.58 -4.57 0.56 0.45 15.47 12135.73 77649012.93 0.0055155906 28.82 105514832080072274345984.00
GM3SI1 1.00 30 2 366790.78 15.22 -14.33 -3.95 0.09 0.08 21.27 15311.97 40273277.57 0.0001854758 2.15 269814697289847905714176.00
GM3SI1 1.00 31 4 558390.55 9.40 -12.92 -4.94 0.45 0.28 16.73 11985.75 58500351.36 0.0037738591 15.62 117951829487511631036416.00
GM3SI1 1.00 32 17 2746300.33 -7.82 -14.84 0.76 0.82 0.41 16.79 18389.47 219741543.78 0.0329557585 22.37 108807499539523429203968.00
GM3SI1 1.00 33 52 9338386.38 -5.73 -16.38 2.44 4.39 1.72 17.53 17524.47 149698721.84 0.0253377958 49.89 158616860884643033907200.00
GM3SI1 1.00 34 50 8626736.00 -8.99 -13.34 -1.56 2.98 1.58 16.16 29518.41 378910960.11 0.0238939965 62.19 184975112925274339016704.00
GM3SI1 1.00 35 2 299055.98 -6.87 -13.72 -1.43 0.25 0.18 15.41 12519.67 97899580.87 0.0088773463 24.55 91482515650751190007808.00
GM3SI1 1.00 36 2 312679.94 -7.94 -13.59 -3.81 0.07 0.05 16.19 11611.54 124828605.52 0.0219149964 4.38 62239778832681577480192.00
