model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
P0 1.00 0 51 10768985.64 -13.25 -5.07 -7.22 4.09 1.91 15.92 12314.79 46448683.05 0.0019499840 26.68 190046894780646915309568.00
P0 1.00 1 2 424168.26 -13.16 -2.88 -6.65 0.35 0.35 15.02 12415.02 38728222.22 0.0004046973 8.47 195544584046510449098752.00
P0 1.00 2 10 2068032.29 -15.90 0.75 -3.23 1.54 1.01 16.24 13230.59 33536471.68 0.0002438889 20.75 247765011961642091544576.00
P0 1.00 3 2 424168.26 -6.25 0.63 -15.55 0.43 0.43 16.77 18266.09 21020770.87 0.0000121113 4.88 570320277664952339136512.00
P0 1.00 4 15 3181893.62 3.78 0.20 -15.38 2.47 1.40 15.83 14702.84 24850793.51 0.0000614550 11.41 358016396962225799036928.00
P0 1.00 5 2 424168.26 2.46 7.73 -13.45 0.48 0.48 15.71 18785.90 7689075.09 0.0000007864 7.76 1177203618914241752334336.00
P0 1.00 6 3 638248.83 1.42 -2.06 -15.71 0.57 0.45 15.90 18500.18 16554408.84 0.0000059797 17.29 686200298403498790223872.00
P0 1.00 7 2 424168.26 4.86 0.99 -14.66 0.43 0.43 15.47 15521.27 23334553.61 0.0000352299 5.40 405484649210326571548672.00
P0 1.00 8 2 425409.31 -5.43 -2.87 -14.77 0.30 0.30 16.00 14626.98 21514575.25 0.0000318394 11.86 385540471739974701547520.00
P0 1.00 9 4 848458.89 -5.96 -1.06 -14.48 0.99 0.72 15.69 14324.81 27958418.17 0.0000943522 12.27 315017403285294662287360.00
P0 1.00 10 2 424308.10 -4.41 -1.15 -14.40 0.43 0.43 15.10 14113.59 30787997.10 0.0001281675 6.27 285848792525806313144320.00
P0 1.00 11 2 424168.26 4.14 2.33 -14.75 0.38 0.38 15.49 16493.73 21486606.22 0.0000196296 6.52 473403487480459105927168.00
P0 1.00 12 3 636561.35 -15.37 -0.21 -5.07 0.46 0.37 16.18 14823.35 20252620.25 0.0000257762 10.26 412912162784177152851968.00
P0 1.00 13 2 424168.41 -14.69 -0.10 -3.65 0.40 0.40 15.14 13430.67 28608217.06 0.0001391496 4.39 282828705104468530692096.00
P0 1.00 14 2 424200.42 -14.22 3.25 -4.92 0.46 0.46 15.39 21209.36 17854989.83 0.0000044179 10.38 818243228621451972050944.00
P0 1.00 15 2 424420.76 -6.03 1.71 -14.39 0.37 0.37 15.70 17528.23 20102015.58 0.0000127956 2.87 549533220241557434662912.00
P0 1.00 16 2 426609.29 -9.22 0.82 -12.16 0.40 0.39 15.29 15201.58 24578200.00 0.0000436024 7.35 375934644459693192249344.00
P0 1.00 17 2 424168.26 -7.53 1.24 -14.45 0.50 0.50 16.34 18134.02 18533307.30 0.0000109208 3.15 630761227071883357192192.00
P0 1.00 18 2 424170.80 -7.47 -1.15 -14.83 0.27 0.27 16.64 16192.21 23503015.71 0.0000281385 6.61 430977938371826514132992.00
P0 1.00 19 2 424168.26 -8.90 -0.62 -13.28 0.49 0.49 16.00 18971.66 20928260.49 0.0000099914 9.69 607139249309329085431808.00
P0 1.00 20 2 427113.90 -11.04 -0.05 -10.89 0.28 0.27 15.51 17330.72 17346123.55 0.0000081458 19.47 592015840117004771000320.00
P0 1.00 21 2 424599.61 -4.62 -5.74 -14.67 0.39 0.39 16.41 23594.41 12695786.30 0.0000012474 15.75 1224734743517120071467008.00
P0 1.00 22 5 1060420.64 -11.08 -7.53 -8.07 1.08 0.85 15.64 17919.67 29743583.84 0.0000583679 14.09 449713498439361492942848.00
P0 1.00 23 3 637350.69 -10.19 -6.98 -9.49 0.64 0.50 15.57 34583.50 42643138.11 0.0000116191 22.32 1034094736432321817214976.00
P0 1.00 24 2 424226.19 -3.42 -14.69 -6.67 0.34 0.34 16.49 44333.74 22374832.74 0.0000004054 15.09 2399638016434781871407104.00
P0 1.00 25 2 424666.12 -9.68 -6.47 -12.11 0.42 0.42 16.80 14611.30 25203955.40 0.0000603058 6.00 346412262106023745028096.00
P0 1.00 26 3 640810.60 -9.55 -5.39 -12.00 0.77 0.58 16.25 15999.96 25263740.20 0.0000422007 25.16 403969269401618634244096.00
P0 1.00 27 2 424168.26 -9.01 -4.83 -12.98 0.48 0.48 16.52 17791.74 19873872.03 0.0000125004 10.44 570755008644448260194304.00
P0 1.00 28 2 424168.26 -10.33 -4.58 -10.24 0.32 0.32 15.25 14981.33 29225238.56 0.0000950878 7.68 331942980605243188838400.00
P0 1.00 29 3 636252.38 11.16 0.10 -12.08 0.69 0.59 16.44 13958.73 28245303.45 0.0001078494 11.08 299834088486685076619264.00
P0 1.00 30 2 424168.26 9.86 1.49 -12.10 0.44 0.44 15.68 24974.21 26097073.37 0.0000108340 25.30 849210770676448126566400.00
P0 1.00 31 8 1696673.02 11.83 -0.61 -10.53 1.16 0.81 15.85 12994.57 34812012.30 0.0002673476 11.26 231253301804669545218048.00
P0 1.00 32 7 1487965.06 14.16 -1.35 -7.43 1.49 0.83 16.05 14011.94 28526531.16 0.0001099130 11.90 298939134582486485434368.00
P0 1.00 33 13 2758073.04 7.36 -1.02 -14.08 1.83 1.11 15.92 13236.18 31153177.37 0.0001762733 11.49 256258686611692720226304.00
P0 1.00 34 2 424168.26 -9.46 -11.39 -7.86 0.45 0.45 16.76 44351.82 29782972.50 0.0000008018 19.70 1990996669455135074680832.00
P0 1.00 35 5 1060420.64 -13.57 -6.70 -3.63 0.77 0.56 15.57 13184.21 36676720.89 0.0003199092 7.42 230076651565474149040128.00
P0 1.00 36 3 637363.20 -12.85 -7.78 -5.48 0.78 0.62 15.99 18420.07 27429895.09 0.0000478189 22.68 507156494849048682954752.00
P0 1.00 37 3 636252.38 -13.62 -8.04 -2.94 0.79 0.60 16.09 18626.07 21900169.42 0.0000129215 14.29 572867562423660994101248.00
P0 1.00 38 2 424178.44 11.67 -0.65 10.78 0.44 0.44 15.90 19885.67 17471233.84 0.0000061255 31.89 761061363038296446337024.00
P0 1.00 39 8 1698044.63 12.70 1.33 9.85 1.38 0.96 16.12 14510.53 30798041.70 0.0001477189 20.15 309841402951766659563520.00
P0 1.00 40 139 29435214.92 14.95 0.19 4.78 5.31 2.11 15.69 10151.58 91516185.93 0.0215989576 20.63 90365009973774198505472.00
P0 1.00 41 3 639502.46 11.21 10.91 5.48 0.66 0.44 16.57 15204.47 27895347.28 0.0000943452 14.06 359699008934066222268416.00
P0 1.00 42 7 1428217.06 11.53 8.96 5.35 0.89 0.64 15.55 14944.07 31686931.99 0.0001141830 23.43 308393049868209401888768.00
P0 1.00 43 3 584173.89 11.84 5.15 9.08 0.56 0.34 15.79 17418.62 21212320.11 0.0000149462 18.59 520444641018222078853120.00
P0 1.00 44 3 646146.95 5.27 9.61 11.96 0.54 0.47 16.22 13722.35 32301427.10 0.0001727818 23.08 264758203107790114783232.00
P0 1.00 45 2 430715.13 6.21 3.87 13.96 0.35 0.34 15.76 21980.36 15290070.81 0.0000026339 3.03 958961268466921179709440.00
P0 1.00 46 4 860811.86 7.63 3.24 13.25 0.65 0.52 15.62 17952.96 16516191.85 0.0000064115 19.70 648835195435032080547840.00
P0 1.00 47 4 852292.88 4.99 7.70 13.77 0.87 0.65 16.55 17621.01 23818987.55 0.0000344503 16.39 510609874963568307208192.00
P0 1.00 48 2 429696.68 5.67 9.00 12.82 0.22 0.22 16.66 13806.38 33259141.79 0.0001727587 5.30 260301105964880198893568.00
P0 1.00 49 12 2508777.55 3.77 9.02 12.11 2.47 1.36 15.56 13854.71 32600481.59 0.0002480894 30.35 277002929797309000581120.00
P0 1.00 50 4 848336.54 11.44 1.64 11.69 0.83 0.68 16.44 17883.59 21191145.19 0.0000170061 18.58 555737214478431209652224.00
P0 1.00 51 5 1069009.85 4.48 11.89 8.01 0.99 0.73 15.02 13180.45 33341336.54 0.0002476428 29.48 247357433120572909289472.00
P0 1.00 52 2 427036.53 11.58 10.60 -3.16 0.17 0.17 16.01 17807.29 14508922.50 0.0000043881 7.35 698060804755297595817984.00
P0 1.00 53 2 424813.11 16.16 0.12 3.50 0.35 0.35 16.53 12575.13 37144046.53 0.0003309129 2.81 205521165742490246971392.00
P0 1.00 54 2 424170.19 15.06 0.80 2.56 0.39 0.39 15.29 15285.19 32135358.28 0.0001807950 6.97 336553510439860142342144.00
P0 1.00 55 2 309931.39 8.95 13.17 -1.47 0.30 0.30 15.99 38576.20 24749695.83 0.0000011230 29.28 1775552168084162413068288.00
P0 1.00 56 4 854038.96 11.24 11.19 -0.89 1.08 0.76 15.88 18005.05 20530558.55 0.0000122693 13.82 565401505231325154508800.00
P0 1.00 57 2 373176.01 9.64 11.53 -2.06 0.55 0.46 15.17 17722.99 17339198.09 0.0000076695 13.76 616367778755506279022592.00
P0 1.00 58 2 426846.82 10.45 10.94 1.21 0.43 0.43 15.18 18472.18 19503854.27 0.0000090886 16.79 607176050860034436890624.00
P0 1.00 59 4 854043.70 8.58 0.18 13.40 0.86 0.67 15.91 17641.48 19351421.07 0.0000119071 15.40 573185523447011053928448.00
P0 1.00 60 3 636254.55 9.73 -0.64 11.72 0.69 0.51 15.25 17957.76 19599922.23 0.0000108601 13.77 580602881857627881472000.00
P0 1.00 61 2 424168.26 9.84 -3.00 12.51 0.24 0.24 16.20 50364.21 25378258.12 0.0000001807 3.98 2744611014582672820273152.00
P0 1.00 62 2 425573.50 14.77 -4.13 5.56 0.50 0.50 16.32 16368.11 20103567.49 0.0000163767 20.25 488403265394904443912192.00
P0 1.00 63 2 424750.48 13.50 0.92 6.92 0.49 0.49 15.20 14258.37 24623358.59 0.0000599974 5.09 337529750775814374293504.00
P0 1.00 64 7 1484644.95 14.25 -0.26 7.73 1.13 0.77 16.21 12520.31 37365167.71 0.0003467515 9.22 203444588623635152896000.00
P0 1.00 65 2 424244.93 12.72 10.14 1.68 0.42 0.42 16.36 15935.99 24981152.11 0.0000418577 11.75 404335189203209081061376.00
P0 1.00 66 2 426769.84 12.24 7.40 5.22 0.12 0.12 15.22 20931.36 28649993.95 0.0000175117 6.15 579320556390789008064512.00
P0 1.00 67 4 848336.51 13.75 5.67 3.91 1.04 0.74 15.37 14918.97 31634493.07 0.0002140416 17.16 330846289221957017665536.00
P0 1.00 68 3 637371.14 12.22 -0.00 9.27 0.62 0.42 15.34 13609.82 36116843.97 0.0002327350 18.92 241322613778140536766464.00
P0 1.00 69 2 424168.26 14.15 6.95 1.70 0.46 0.46 15.86 23790.90 19252173.71 0.0000038919 35.12 944109839805544300281856.00
P0 1.00 70 2 424179.02 14.88 -1.22 -2.81 0.47 0.47 15.19 14590.07 21552335.85 0.0000332221 5.36 384473752534097120460800.00
P0 1.00 71 2 424438.26 15.50 -0.18 -2.03 0.14 0.13 15.63 14623.42 21396703.28 0.0000310673 1.39 386960969967651977691136.00
P0 1.00 72 3 573703.45 16.07 -1.54 0.41 0.81 0.63 16.15 16161.87 17133737.55 0.0000111187 6.21 539156621773122008252416.00
P0 1.00 73 2 429652.49 -0.43 -15.55 4.71 0.10 0.10 16.25 18297.78 14234973.96 0.0000037843 10.87 738869252625327187820544.00
P0 1.00 74 2 427309.82 1.91 -15.04 5.65 0.36 0.35 16.17 20184.40 12918746.45 0.0000020703 8.80 927691236228793188220928.00
P0 1.00 75 2 431323.48 2.83 -15.37 4.16 0.33 0.33 16.17 22265.46 14197232.22 0.0000018610 7.02 1026384556625428400308224.00
P0 1.00 76 2 373306.88 4.28 -15.97 1.03 0.39 0.33 16.56 20450.47 10670289.76 0.0000012622 5.30 1073522391751634951602176.00
P0 1.00 77 3 636252.38 12.92 -0.08 -9.20 0.69 0.57 15.86 14110.95 29381999.00 0.0001146344 12.29 296256028844984304140288.00
P0 1.00 78 2 424168.63 -0.30 -14.92 6.25 0.43 0.43 16.18 21407.01 14985407.71 0.0000027178 2.29 936466690771306936270848.00
P0 1.00 79 2 428899.24 9.36 -12.57 -1.87 0.41 0.41 15.78 27348.56 10592706.92 0.0000004893 8.39 1769745560483129532088320.00
