model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM1 1.00 0 7 1486386.46 -25.60 -85.15 -7.89 1.57 0.91 89.26 14652.62 6760307.71 0.0000200023 7.90 848729957661971769720832.00
GM1 1.00 1 36 7592885.66 -27.41 -85.34 -3.27 3.43 1.44 89.69 10087.59 24086005.98 0.0035997736 10.20 192772869277683269238784.00
GM1 1.00 2 13 2613359.81 -14.47 -80.72 0.56 1.28 0.76 82.01 12978.24 10622000.08 0.0000904823 9.33 502596162135174563233792.00
GM1 1.00 3 15 3200095.90 -2.82 -75.26 -7.14 1.43 0.67 75.65 11825.26 13852041.32 0.0003010055 7.83 355990171691790698020864.00
GM1 1.00 4 2 428342.48 -9.99 -67.94 -1.00 0.13 0.13 68.67 22390.22 3994512.94 0.0000015493 2.61 2431041149845535046238208.00
GM1 1.00 5 2 424178.84 -4.99 -74.90 -8.95 0.29 0.29 75.60 16771.10 6104030.04 0.0000103722 7.74 1132340679032823904993280.00
GM1 1.00 6 2 362365.43 -7.40 -80.45 -2.95 0.30 0.25 80.84 28415.50 3537877.06 0.0000004906 5.40 3942789170416063032066048.00
GM1 1.00 7 2 424229.13 -18.95 -80.89 -2.31 0.12 0.12 83.12 21340.04 4380439.24 0.0000021995 4.43 2111718272964870195380224.00
GM1 1.00 8 25 5191599.54 -21.90 -83.98 -0.16 2.93 1.40 86.79 11121.19 16633378.10 0.0007829200 9.51 285072777107444231831552.00
GM1 1.00 9 2 424180.10 -3.26 -77.28 -6.30 0.39 0.39 77.60 13995.40 7949934.85 0.0000311686 7.21 693232242573835054874624.00
GM1 1.00 10 3 636357.47 -11.82 -64.92 2.87 0.71 0.60 66.04 18034.38 5162242.97 0.0000055225 7.33 1423948135464365449019392.00
GM1 1.00 11 29 5990932.29 -27.59 -64.31 0.41 3.66 1.46 69.98 11258.08 17892218.41 0.0011698794 9.23 303850561599863580000256.00
GM1 1.00 12 11 2135542.58 2.16 -108.31 18.89 1.22 0.88 109.97 9663.19 29304204.49 0.0052255884 9.66 132248680714372739235840.00
