model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM3 1.00 0 3 589093.37 -152.68 -58.35 -86.75 0.65 0.52 185.05 25605.96 2495721.09 0.0000002574 8.84 4184842441718840894160896.00
GM3 1.00 1 2 438338.66 -150.32 -65.07 -94.09 0.46 0.45 188.90 21624.82 3664823.93 0.0000009855 2.43 2432174406777360479158272.00
GM3 1.00 2 18 3817725.96 32.05 38.24 -26.21 0.30 0.13 56.36 13448.99 15056092.89 0.0001388120 2.90 418527340867507632209920.00
GM3 1.00 3 5 941463.63 13.25 1.74 -18.45 0.33 0.18 22.78 18137.24 12250363.76 0.0000252418 2.28 800315574085906037997568.00
GM3 1.00 4 17 3455024.82 24.12 5.26 -43.53 1.31 0.66 50.04 12771.57 15430461.14 0.0001904963 8.74 377753327934762112778240.00
GM3 1.00 5 2 424277.75 -146.68 -46.98 -20.82 0.19 0.19 155.42 24856.66 3062998.00 0.0000004186 6.66 3493685351511643618541568.00
GM3 1.00 6 2 424219.75 44.35 -1.77 -50.15 0.33 0.33 66.97 20778.34 6336061.68 0.0000035835 1.54 1579918742023898862190592.00
GM3 1.00 7 4 774003.32 43.74 -2.27 -47.89 0.77 0.57 64.90 20615.81 6369657.33 0.0000037658 10.89 1555122291370108720775168.00
GM3 1.00 8 2 425295.74 42.88 -1.05 -49.55 0.40 0.40 65.53 19143.16 6213103.09 0.0000044715 4.22 1392700994473803508613120.00
GM3 1.00 9 12 2545466.27 8.02 -1.35 -52.55 1.24 0.41 53.18 14464.55 11683570.91 0.0000528205 6.32 568771302713515545985024.00
GM3 1.00 10 15 3181304.69 44.75 -31.73 -25.38 0.06 0.03 60.45 15570.61 12419794.70 0.0000464515 0.62 611914889123593854124032.00
GM3 1.00 11 12 2548118.21 44.74 -4.48 -34.14 1.00 0.52 56.46 15282.45 9455948.16 0.0000237163 7.29 718238996767393349369856.00
GM3 1.00 12 4 794476.20 -9.62 -13.82 -27.64 0.08 0.05 32.36 17829.35 8837225.72 0.0000123685 1.20 968797996218931870695424.00
GM3 1.00 13 4 848400.84 -19.53 -52.03 -50.30 0.41 0.26 74.96 24168.15 4244902.26 0.0000009039 3.19 2665420695958406809255936.00
GM3 1.00 14 5 1060444.29 14.71 -8.16 -74.19 0.81 0.45 76.08 17988.43 6002196.09 0.0000050417 5.87 1285216041911272182120448.00
GM3 1.00 15 2 424177.98 14.71 -7.39 -75.92 0.22 0.22 77.68 42911.36 11809699.94 0.0000002913 5.38 3510933902727536177053696.00
GM3 1.00 16 2 424200.13 -31.20 -41.88 -119.18 0.21 0.21 130.12 33916.91 2896214.77 0.0000001189 2.48 6094737483079135608700928.00
GM3 1.00 17 2 424170.42 -35.56 -41.27 -108.79 0.44 0.44 121.67 42875.78 4297153.12 0.0000000792 3.15 6929931849259356438659072.00
GM3 1.00 18 2 424205.92 -2.29 -9.25 -81.00 0.22 0.22 81.56 34624.49 5789839.18 0.0000004422 4.36 3959517068325864838529024.00
