model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM3noBHs 1.00 0 2 416671.62 -153.90 -71.64 -132.50 0.40 0.39 215.34 15627.76 9751631.69 0.0000246621 2.43 724045307090295997857792.00
GM3noBHs 1.00 1 7 1171353.65 -152.55 -75.36 -127.23 1.65 1.08 212.46 13128.16 12061214.09 0.0000948298 14.20 467438357351211626135552.00
GM3noBHs 1.00 2 6 849458.14 -152.37 -73.90 -128.67 0.93 0.72 212.69 13180.39 12516562.02 0.0000982476 14.12 453539862948823420633088.00
GM3noBHs 1.00 3 4013 689380195.30 -148.86 -64.59 -120.42 12.08 3.96 202.07 14424.43 2052068559.40 0.2643324450 49.72 82650240344255969099776.00
GM3noBHs 1.00 4 2 276608.86 -175.40 -93.61 -73.33 0.52 0.43 211.91 19401.28 909241.44 0.0000000772 4.72 5183465695132174717550592.00
GM3noBHs 1.00 5 2 321330.08 -174.89 -89.61 -77.19 0.61 0.45 211.13 21804.82 1091699.60 0.0000000799 4.46 5575923147433524034797568.00
GM3noBHs 1.00 6 2 429042.39 -191.54 -88.27 -18.84 0.44 0.43 211.74 26173.79 1385080.22 0.0000000737 4.22 6483595419983026541559808.00
GM3noBHs 1.00 7 2 366288.88 -163.07 -76.17 -48.12 0.45 0.39 186.31 22918.71 1793274.26 0.0000001879 4.76 4364123782220535516102656.00
GM3noBHs 1.00 8 2 220274.71 -170.44 -74.58 -68.66 0.11 0.10 198.31 28056.92 1490692.55 0.0000000706 1.07 6849572882188526281555968.00
GM3noBHs 1.00 9 2 424316.41 -194.87 -72.81 -49.10 0.37 0.37 213.74 24145.31 1045956.46 0.0000000535 2.36 6836445093741608287862784.00
GM3noBHs 1.00 10 2 424191.19 -162.41 -87.69 -74.29 0.42 0.42 198.96 21723.95 1270158.88 0.0000001098 1.73 5007593728772856573067264.00
GM3noBHs 1.00 11 2 424277.62 -189.82 -68.34 -7.88 0.31 0.31 201.91 26635.74 1915424.33 0.0000001291 6.91 5379585567992866733555712.00
GM3noBHs 1.00 12 2 365074.35 -164.51 -82.06 -47.77 0.43 0.37 189.94 25402.70 1603960.61 0.0000001090 1.48 5580687859721332729053184.00
