model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM2SI1 1.00 0 3 710919.92 -16.24 -23.31 -27.50 0.21 0.18 39.54 13870.85 38724639.65 0.0002567918 14.07 231076140248741510643712.00
GM2SI1 1.00 1 2 386462.76 -16.17 -24.81 -20.95 0.06 0.05 36.28 14476.52 31651768.41 0.0001170752 16.27 287799475298414817705984.00
GM2SI1 1.00 2 4 541561.98 -16.19 -22.70 -29.78 0.33 0.26 40.79 16827.82 30425922.36 0.0000630970 12.26 378566624281088241958912.00
GM2SI1 1.00 3 2 327274.11 -21.66 -22.28 -25.34 0.03 0.03 40.09 15444.85 27302521.03 0.0000627074 8.55 352542689336747112792064.00
GM2SI1 1.00 4 2 369711.91 -20.71 -24.40 -22.26 0.26 0.19 38.99 18472.15 25481288.70 0.0000208114 7.51 500088687672823948247040.00
GM2SI1 1.00 5 7 1313992.69 -15.44 -14.65 -23.84 0.92 0.57 31.96 12484.84 53726243.12 0.0012877445 24.99 153356958605729278722048.00
GM2SI1 1.00 6 2 384261.47 -13.97 -15.11 -22.43 0.36 0.32 30.44 12855.48 49275239.98 0.0007457866 7.96 172496934120328248950784.00
GM2SI1 1.00 7 18 3578182.84 -17.87 -14.98 -21.68 2.00 1.01 31.84 11817.04 64070898.75 0.0042742269 30.57 122892420072146468864000.00
GM2SI1 1.00 8 6 1119112.48 -14.17 -15.65 -18.93 0.66 0.40 28.36 11885.50 60289846.69 0.0029237243 24.55 126185733816437876719616.00
GM2SI1 1.00 9 15 2652664.12 -15.03 -18.06 -21.95 1.94 1.07 32.15 12459.15 57007052.72 0.0025374430 28.23 147295485162261948923904.00
GM2SI1 1.00 10 4036 734352151.16 -6.43 -14.30 -11.95 12.93 5.64 19.72 32439.67 1495446330.02 0.1040887022 104.97 119104041538416130654208.00
GM2SI1 1.00 11 4 848729.10 13.16 -31.60 -75.79 0.72 0.43 83.16 19012.02 22145967.82 0.0000115313 7.02 599276687606327095066624.00
GM2SI1 1.00 12 5 1060420.64 14.01 -31.19 -74.62 1.40 0.96 82.08 20029.22 22379529.30 0.0000100626 11.84 649486605223517269000192.00
GM2SI1 1.00 13 4 848336.51 14.47 -33.00 -76.43 1.12 0.76 84.50 25632.90 20949466.51 0.0000032053 18.51 1025998298700266810114048.00
GM2SI1 1.00 14 4 848348.81 13.75 -34.61 -81.80 0.93 0.67 89.88 24540.37 14741932.35 0.0000013897 12.09 1211948793859048621473792.00
GM2SI1 1.00 15 137 29071530.61 13.18 -24.75 -63.98 8.85 3.90 69.86 13961.65 37822206.66 0.0006130916 16.99 276534386071024726704128.00
GM2SI1 1.00 16 9 1909617.96 12.91 -15.43 -64.19 1.71 0.93 67.27 19794.43 22485204.90 0.0000118297 15.98 643619571316779584061440.00
GM2SI1 1.00 17 4 848353.44 14.35 -15.53 -62.11 0.67 0.52 65.61 18877.54 20462257.30 0.0000093250 14.46 624252228735534939242496.00
GM2SI1 1.00 18 2 424168.26 13.68 -16.92 -63.25 0.49 0.49 66.89 31654.17 24932803.54 0.0000021336 24.44 1294779092579803381891072.00
GM2SI1 1.00 19 14 2906646.98 12.56 -16.86 -60.72 1.77 1.11 64.26 16259.51 25818614.92 0.0000408522 18.35 415217694032696994430976.00
GM2SI1 1.00 20 2 424175.04 14.30 -14.57 -71.55 0.16 0.16 74.41 41139.27 22434633.06 0.0000004382 16.63 2156015951912777325477888.00
GM2SI1 1.00 21 2 424184.89 15.75 -18.42 -74.73 0.44 0.44 78.56 32111.62 22018503.71 0.0000017782 16.90 1457240103555637666906112.00
GM2SI1 1.00 22 2 424168.86 15.34 -18.33 -76.10 0.34 0.34 79.77 39372.11 28400896.57 0.0000008623 6.55 1709475299400631923507200.00
GM2SI1 1.00 23 2 424195.35 14.56 -23.52 -71.09 0.47 0.47 76.29 39959.78 15889819.48 0.0000002780 9.07 2589190437802574849507328.00
GM2SI1 1.00 24 2 424179.43 14.17 -22.73 -78.40 0.48 0.48 82.85 40976.79 18017874.29 0.0000002794 11.43 2482129575440098344828928.00
GM2SI1 1.00 25 4 848361.31 13.09 -17.50 -69.87 0.74 0.49 73.20 21596.63 18344947.02 0.0000036927 15.18 837762703026092901400576.00
GM2SI1 1.00 26 3 636267.01 13.44 -18.88 -68.85 0.58 0.44 72.64 22609.13 18944897.88 0.0000037291 15.53 891101684690493374464000.00
GM2SI1 1.00 27 2 424168.26 13.83 -20.10 -75.34 0.35 0.35 79.19 42546.24 25203388.32 0.0000004733 18.56 2106924086819087443820544.00
GM2SI1 1.00 28 3 636266.25 13.16 -27.05 -74.93 0.62 0.58 80.75 45609.32 28169510.14 0.0000007446 15.89 2204285349114450838290432.00
GM2SI1 1.00 29 2 424168.26 12.44 -25.97 -76.63 0.43 0.43 81.86 29572.09 17737706.71 0.0000010744 11.51 1461675775204744434286592.00
GM2SI1 1.00 30 2 424173.22 14.12 -29.02 -78.82 0.34 0.34 85.17 27054.81 15402255.56 0.0000010393 4.76 1377505217744425019506688.00
GM2SI1 1.00 31 3 636263.12 13.54 -26.75 -78.44 0.76 0.62 83.97 24811.64 18053313.51 0.0000020656 8.15 1068011647335758959738880.00
GM2SI1 1.00 32 8 1696683.01 14.27 -29.71 -72.77 1.64 1.00 79.89 18463.75 22864356.28 0.0000135768 11.74 555760999085456689725440.00
GM2SI1 1.00 33 84 17757878.47 10.89 -18.01 -55.21 4.76 2.24 59.09 12401.16 43147786.96 0.0014022932 16.95 203117736058586906230784.00
GM2SI1 1.00 34 4 848346.17 12.56 -20.59 -70.89 0.75 0.51 74.88 38558.16 24164941.59 0.0000012312 17.83 1854275896145825918615552.00
GM2SI1 1.00 35 3 636252.38 14.25 -32.07 -78.98 0.67 0.57 86.42 24939.44 15127586.61 0.0000015000 10.86 1229545842429699014262784.00
GM2SI1 1.00 36 3 636254.30 14.96 -30.32 -75.18 0.85 0.65 82.43 21859.53 19411092.06 0.0000050952 11.11 842171952643831364583424.00
GM2SI1 1.00 37 36 7636702.20 -39.56 -0.16 5.37 3.02 1.50 39.92 15218.46 51873825.69 0.0011468257 28.76 255389069861343547359232.00
GM2SI1 1.00 38 20 4245628.24 -34.91 6.76 23.83 1.53 1.00 42.81 15772.65 31808614.87 0.0000970370 15.78 345558966258699325145088.00
