model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
P0 1.00 0 10 2154774.20 -19.51 -4.56 -8.91 0.15 0.12 21.93 10754.33 47140923.86 0.0114531152 6.52 100650206404868596301824.00
P0 1.00 1 3 645588.56 -50.72 -14.28 -13.73 0.46 0.33 54.45 16677.29 9421777.75 0.0000263870 2.91 830023004674935054401536.00
P0 1.00 2 3 636404.71 -24.64 -28.61 -7.43 0.32 0.22 38.48 14801.49 10270389.75 0.0000503568 7.52 637603902322458492928000.00
P0 1.00 3 7772 1221667463.29 -8.57 11.98 6.61 14.79 5.63 16.14 39210.24 3710948449.11 0.4028640932 105.48 96854412615086543732736.00
P0 1.00 4 21 4403095.65 18.24 -50.35 11.79 1.24 0.39 54.84 9333.44 36728776.62 0.0098101973 7.10 98786786536304500801536.00
P0 1.00 5 41 8326412.80 23.18 -45.65 12.92 3.43 1.46 52.80 10281.62 31343895.00 0.0061963965 13.87 154752936400079227453440.00
P0 1.00 6 3 560422.11 30.15 -12.26 54.94 0.51 0.44 63.86 20651.31 5989449.59 0.0000055107 11.01 1545850213306099520503808.00
P0 1.00 7 12 2448946.97 22.13 -42.54 12.18 0.71 0.40 49.48 9805.45 32681755.22 0.0066162500 7.50 120074270202246180372480.00
P0 1.00 8 1134 230908907.51 18.52 -65.05 7.26 14.42 7.41 68.02 9109.11 43534935.41 0.0142375188 15.11 102194665394877411360768.00
P0 1.00 9 4 673641.62 25.76 -54.61 14.46 0.65 0.44 62.08 25220.76 10830887.76 0.0000135920 20.78 1520253976613938855411712.00
P0 1.00 10 14 2940518.88 24.11 -50.35 12.32 1.90 0.81 57.17 13561.30 22603531.72 0.0012699656 8.44 322644273810212554539008.00
P0 1.00 11 40 8460106.49 18.48 -44.09 15.51 2.88 1.35 50.26 9596.94 39348722.44 0.0107745105 13.55 113543397869083334541312.00
P0 1.00 12 2 428719.87 20.15 -39.55 12.64 0.33 0.32 46.15 16500.96 9891805.83 0.0000312168 9.99 785157523953553565024256.00
P0 1.00 13 12 2331826.57 17.62 -32.78 11.74 1.19 0.52 39.02 10927.06 24910904.39 0.0021597858 11.66 189994816905708121882624.00
P0 1.00 14 3 691020.53 7.53 12.46 17.43 0.29 0.21 22.70 11328.84 29927980.97 0.0032695361 14.64 168575227952795299610624.00
P0 1.00 15 2 307316.55 4.32 13.33 10.55 0.14 0.10 17.54 11042.08 56096938.22 0.0150803026 13.15 89136567026613372321792.00
P0 1.00 16 14 3032059.11 6.67 -45.33 2.76 0.84 0.55 45.91 10407.89 27805323.92 0.0033343437 9.57 157519366354040468275200.00
P0 1.00 17 19 3923888.28 6.41 -58.25 1.71 2.26 1.02 58.63 11116.23 18576884.57 0.0011744607 9.73 269588584155781976293376.00
P0 1.00 18 3 638926.21 -8.65 -44.72 2.33 0.53 0.37 45.61 14167.75 11587141.36 0.0000814482 5.49 545634305029637610143744.00
P0 1.00 19 9 1851064.69 8.04 -19.88 3.83 0.43 0.31 21.78 11044.14 29192511.44 0.0030618207 13.00 168692264289076665909248.00
P0 1.00 20 3 643083.99 14.74 -13.01 3.55 0.32 0.22 19.98 12349.95 21073032.53 0.0009529430 12.77 271344061843248292823040.00
P0 1.00 21 4 804163.43 11.79 -9.24 2.43 0.17 0.14 15.18 10739.63 47271271.84 0.0115555474 3.89 100696475108751462891520.00
P0 1.00 22 5 1071837.78 7.73 -34.68 3.57 0.33 0.22 35.71 13076.27 16568257.47 0.0003191870 6.04 366784512644881890410496.00
P0 1.00 23 14 2937896.35 17.36 -23.03 1.82 1.12 0.56 28.90 10458.45 42789738.75 0.0101173900 24.80 115336128683466914004992.00
P0 1.00 24 18 3782271.19 24.52 -47.94 0.95 1.10 0.37 53.85 9942.78 28951470.62 0.0043950360 7.14 139165771419233449672704.00
P0 1.00 25 22 4680848.68 20.56 -26.45 -0.08 1.53 0.69 33.50 10405.56 36306003.36 0.0077671668 17.50 125983452181511213678592.00
P0 1.00 26 23 4764597.47 16.45 -24.20 0.76 2.27 0.97 29.27 15414.76 54385490.02 0.0085049185 32.88 216968093333332424654848.00
P0 1.00 27 20 4140573.02 19.96 -51.31 0.58 1.28 0.65 55.06 10004.03 27970009.61 0.0039473957 7.12 145274685828012538068992.00
P0 1.00 28 12 2580998.41 7.49 -50.84 1.73 1.40 0.96 51.42 11725.32 17182604.64 0.0006541877 14.57 295568886316656777756672.00
P0 1.00 29 2 384360.43 24.34 -49.20 1.77 0.41 0.35 54.92 11579.97 18411698.51 0.0007984109 6.60 270051059728363313692672.00
P0 1.00 30 5 1021034.14 4.18 -29.67 2.72 0.13 0.10 30.09 13097.98 15359039.68 0.0002493160 5.83 388602194894250609475584.00
P0 1.00 31 2 430124.75 16.00 -21.72 0.70 0.14 0.14 26.99 12759.34 30223473.53 0.0021353416 5.63 216593591964718375895040.00
P0 1.00 32 11 2337599.43 -4.04 -33.90 0.93 0.43 0.27 34.15 10755.20 22051200.56 0.0016223431 9.41 203611610480812838879232.00
