model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
GM1 1.00 0 4 635022.64 -23.94 -22.75 -20.50 0.49 0.29 38.87 16015.22 33182989.86 0.0000929791 9.33 331061319064466938134528.00
GM1 1.00 1 16 2739673.01 -20.83 -19.20 -16.90 2.17 0.72 32.99 11377.71 73059384.18 0.0082712078 24.01 113278816884926506336256.00
GM1 1.00 2 2 424180.15 -21.51 -20.86 -16.23 0.07 0.07 34.08 16801.59 48044446.42 0.0002069911 4.92 282499651667442129698816.00
GM1 1.00 3 4 634776.52 -25.63 -19.15 -18.23 0.45 0.26 36.82 16329.24 29988847.63 0.0000643977 10.34 367073915309564526329856.00
GM1 1.00 4 8661 1556358552.82 -11.08 -11.84 -7.19 16.60 6.02 17.73 25627.24 1475349161.84 0.1831199803 81.69 90617534364104806891520.00
GM1 1.00 5 3177 646753450.75 -0.55 8.81 -31.00 15.84 8.46 32.24 12295.01 95079532.01 0.0155537064 65.54 120917826768031862226944.00
GM1 1.00 6 59 12280451.87 -9.61 1.03 -23.03 3.15 1.76 24.98 13830.52 70168212.73 0.0040513277 42.47 162928313754874351190016.00
GM1 1.00 7 3 432608.39 -11.37 34.46 -30.90 0.48 0.44 47.66 22132.07 19081017.19 0.0000040159 12.84 832320522730615246684160.00
GM1 1.00 8 3 621602.84 -13.08 30.00 -24.39 0.46 0.33 40.82 23491.15 31944489.62 0.0000150888 6.29 650453369226273635696640.00
GM1 1.00 9 9 1657095.53 -11.42 26.82 -23.57 1.11 0.58 37.48 18457.70 25552788.39 0.0000210635 12.12 503963201419224822054912.00
GM1 1.00 10 2 440912.89 -12.12 14.49 -24.52 0.39 0.37 30.96 76170.09 62925097.84 0.0000000819 26.98 2983124984453090431205376.00
GM1 1.00 11 3 645118.38 -13.04 10.17 -29.50 0.58 0.44 33.82 23102.96 16523818.99 0.0000022629 7.97 997523168503584232833024.00
GM1 1.00 12 4 759789.13 -12.73 15.50 -33.27 0.63 0.53 38.85 24218.33 20464291.86 0.0000034603 11.49 936157889420358940884992.00
