model linking_length pyfof_grp N clump_mass[Msol] com_x[kpc] com_y[kpc] com_z[kpc] max_r[kpc] clump_r_avg[kpc] r[kpc] avg_temp[K] avg_pressure[Pa] avg_nHden[cm^-3] vdist[km/s] entropy[K/(Msolkpc**3)**(2/3)]
P0noBHs 1.00 0 3 661922.78 -12.36 -103.08 -0.08 0.67 0.58 103.82 17994.26 3643099.10 0.0000026618 8.82 1794502042472726046703616.00
P0noBHs 1.00 1 2 371373.40 -7.53 -140.58 2.38 0.46 0.40 140.80 12438.21 13727668.66 0.0002305815 5.82 387761071390049481785344.00
P0noBHs 1.00 2 6 1246759.02 -10.98 -107.81 3.37 0.99 0.70 108.42 13476.20 9476873.59 0.0000593892 9.61 579031496399877602017280.00
P0noBHs 1.00 3 3 601910.24 -8.99 -140.68 2.97 0.66 0.50 141.00 12724.46 10813540.84 0.0000998682 16.69 475195599468121563332608.00
P0noBHs 1.00 4 16 3357552.76 7.18 -91.59 6.11 2.12 1.19 92.08 11461.41 14838434.62 0.0004687793 15.87 322872763883236108533760.00
P0noBHs 1.00 5 2 307057.72 7.43 -99.58 5.52 0.16 0.16 100.01 14558.95 8281365.81 0.0000303787 16.03 719656400703585809072128.00
P0noBHs 1.00 6 37 7759292.57 8.19 -90.39 2.50 3.88 1.61 90.80 10662.96 20117324.18 0.0017221235 10.28 239536147362967304798208.00
P0noBHs 1.00 7 30 6167766.20 5.37 -102.11 6.58 2.48 1.41 102.46 9874.34 25921843.30 0.0041127219 9.33 165413358448685720010752.00
P0noBHs 1.00 8 19 3949951.48 4.63 -95.58 4.12 1.97 0.96 95.78 11381.17 15758514.27 0.0005760661 7.86 306021324201079267655680.00
P0noBHs 1.00 9 2 304704.74 4.09 -104.68 4.46 0.67 0.48 104.86 10542.34 19681007.04 0.0013136380 6.35 215570951402553889259520.00
P0noBHs 1.00 10 12 2496678.74 -0.50 -134.04 7.14 2.24 1.31 134.23 25994.74 131804329.63 0.0095791780 39.99 288230955952483382329344.00
P0noBHs 1.00 11 2 444348.56 -0.39 -135.15 5.37 0.21 0.21 135.26 9672.13 40948894.54 0.0112192487 12.04 92572798643014490652672.00
P0noBHs 1.00 12 2 426330.75 2.55 -104.53 4.12 0.24 0.24 104.64 10080.85 24468269.05 0.0026927325 10.87 166782101952976847372288.00
P0noBHs 1.00 13 2 366874.25 2.65 -102.53 3.44 0.47 0.40 102.62 10990.37 15882305.93 0.0005990448 3.21 277737870528446726144000.00
P0noBHs 1.00 14 3 645103.78 -6.44 -89.54 4.35 0.50 0.46 89.87 11062.29 16943969.38 0.0008229632 10.59 274329983433646087864320.00
P0noBHs 1.00 15 2 380990.80 1.48 -102.89 5.57 0.46 0.39 103.06 10164.62 21344827.60 0.0019810757 6.45 193053816372076589613056.00
P0noBHs 1.00 16 5 1068412.13 -3.84 -95.32 2.49 0.78 0.46 95.43 13125.39 9867311.53 0.0000707520 8.25 538668210316419434283008.00
P0noBHs 1.00 17 3 612233.12 -1.89 -135.35 6.50 0.86 0.63 135.52 25198.66 73035227.11 0.0052953808 26.14 410747099279733068660736.00
P0noBHs 1.00 18 2 370669.46 -3.92 -133.94 3.60 0.54 0.46 134.05 11645.35 18152070.81 0.0009653538 20.94 291888146936463462760448.00
P0noBHs 1.00 19 7 1495695.68 -2.49 -93.19 1.99 1.02 0.55 93.25 13282.84 9524856.35 0.0000597687 9.72 560776998218905977618432.00
P0noBHs 1.00 20 3 593894.18 1.38 -142.46 1.15 0.58 0.54 142.48 17691.81 5652332.53 0.0000080166 3.71 1308722879788093362143232.00
P0noBHs 1.00 21 3 659936.64 -4.12 -102.49 2.56 0.66 0.49 102.60 13527.78 9481568.39 0.0000559457 3.86 577872425559639661215744.00
P0noBHs 1.00 22 32 6766127.69 -7.97 -89.33 2.99 2.44 1.39 89.74 10364.19 21973022.65 0.0023420328 9.97 204935918978590287331328.00
P0noBHs 1.00 23 2 440673.18 -3.15 -145.89 4.71 0.48 0.47 146.00 15749.34 6828536.13 0.0000156749 30.43 935792320812314280329216.00
P0noBHs 1.00 24 2 324059.71 -7.05 -146.21 5.76 0.49 0.47 146.49 19361.64 8652793.48 0.0000133658 28.81 1126065849890744366530560.00
P0noBHs 1.00 25 3 604753.27 -9.02 -145.23 6.29 0.67 0.53 145.64 17478.85 7106258.22 0.0000123395 6.27 1083274849963329116438528.00
P0noBHs 1.00 26 690 98683928.25 -5.12 12.55 6.72 9.54 3.19 15.13 52785.03 3483982315.88 0.3009106425 76.10 173676405224723087097856.00
P0noBHs 1.00 28 11 2306270.19 -13.09 -80.60 -1.43 1.24 0.69 81.67 13132.21 11085378.07 0.0000969822 14.88 496791118871539872694272.00
P0noBHs 1.00 29 5 1072517.14 -11.68 -85.12 -2.18 0.90 0.59 85.95 15924.97 6604483.62 0.0000144633 10.95 989074363279774027087872.00
P0noBHs 1.00 30 18 3817850.24 -22.17 -67.63 -6.82 0.67 0.27 71.49 10147.90 24324863.48 0.0024547118 4.10 168978178379164829089792.00
P0noBHs 1.00 31 2 367333.79 -30.46 -67.41 -9.31 0.28 0.24 74.55 27774.19 5072689.92 0.0000010230 7.05 2982923987290784140361728.00
P0noBHs 1.00 32 33 6750599.67 -20.10 -70.75 -1.63 2.19 1.27 73.57 10604.21 22288774.88 0.0023940520 13.95 213848080031161927073792.00
P0noBHs 1.00 33 9 1627765.43 6.45 -67.33 3.83 1.65 0.88 67.75 14479.73 9705845.23 0.0000523623 17.32 655301714396535312089088.00
P0noBHs 1.00 34 8 1676485.66 7.89 -57.35 3.69 1.04 0.78 58.00 13108.05 12077683.86 0.0001224158 15.75 465026811518290118049792.00
P0noBHs 1.00 35 10 2079259.94 -1.09 -68.98 3.00 0.90 0.56 69.05 12301.69 12294491.71 0.0001623772 9.60 411974286953974394257408.00
P0noBHs 1.00 36 25 5275988.86 -15.93 -65.77 -0.48 1.90 1.08 67.68 10745.08 20718043.47 0.0016238517 10.96 226257948208239950692352.00
P0noBHs 1.00 37 14 2668922.20 7.39 -54.13 -4.85 1.23 0.79 54.85 13239.01 12118565.18 0.0001266363 13.81 473614853371958245982208.00
P0noBHs 1.00 38 7 1530725.75 7.08 -57.34 -0.43 0.99 0.55 57.77 14409.77 10114829.08 0.0000546378 12.46 618781742339872545308672.00
P0noBHs 1.00 39 3 643699.13 -0.38 -55.58 -1.02 0.51 0.40 55.59 18091.36 7122904.49 0.0000110097 10.31 1153171530619033076367360.00
P0noBHs 1.00 40 3 651222.68 5.90 -65.39 2.27 0.71 0.50 65.69 15310.76 8213948.61 0.0000268579 9.78 794899509443486929649664.00
P0noBHs 1.00 41 2 426353.14 -1.38 -68.42 1.85 0.46 0.46 68.46 13826.75 9975311.52 0.0000584331 6.91 581436529621920162775040.00
P0noBHs 1.00 42 25 5213844.09 -3.07 -56.00 3.00 1.75 0.95 56.17 10438.12 24018136.52 0.0023776263 10.47 184519203371937857273856.00
P0noBHs 1.00 43 2 426996.34 -6.94 -57.34 0.68 0.47 0.46 57.76 20810.15 5568757.20 0.0000040276 9.91 1730912065809857155956736.00
P0noBHs 1.00 44 14 2915848.14 -11.01 -65.61 4.21 1.59 0.90 66.66 12917.45 12063200.81 0.0001381817 11.90 458867161736194593652736.00
P0noBHs 1.00 45 6 1276230.37 -15.62 -47.60 -2.02 0.93 0.48 50.14 12392.89 14650954.00 0.0002970006 14.42 371413122081429680816128.00
P0noBHs 1.00 46 2 434025.36 -3.46 -51.20 -4.64 0.49 0.49 51.53 43850.10 16007271.48 0.0000042573 7.72 2964667145228535034019840.00
P0noBHs 1.00 47 7 1493666.54 -15.55 -59.46 5.22 0.83 0.60 61.69 14323.75 9224131.20 0.0000431356 8.17 654072005182106332299264.00
P0noBHs 1.00 48 2 310826.36 -11.89 10.49 4.84 0.44 0.32 16.58 11290.25 66428175.73 0.0180269400 12.77 83147407425835389419520.00
P0noBHs 1.00 49 12 2515209.57 3.95 -42.01 -3.82 1.20 0.79 42.36 13457.55 14420346.97 0.0001900419 13.84 429682239440704919044096.00
P0noBHs 1.00 50 30 6158239.34 -6.14 -30.78 -2.86 2.32 1.09 31.52 10691.42 35055469.64 0.0067847662 21.67 145547325478878278844416.00
P0noBHs 1.00 51 4 807731.65 -2.49 -35.56 -7.76 0.63 0.37 36.48 15790.91 10198797.95 0.0000397578 14.95 717764957907054971846656.00
P0noBHs 1.00 52 4 810473.47 -4.98 17.06 -2.34 0.36 0.18 17.93 12333.78 50144541.31 0.0093771159 2.84 125585453010326210478080.00
P0noBHs 1.00 53 121 24712234.36 14.65 -40.49 2.85 4.49 2.22 43.15 9596.64 52106605.20 0.0172322059 17.50 106540480796484096229376.00
P0noBHs 1.00 54 6 1272758.29 5.60 11.53 -8.67 0.35 0.21 15.47 12482.22 45579658.22 0.0070067407 11.44 141931059166683997405184.00
P0noBHs 1.00 55 3 647168.60 7.04 -42.61 -0.36 0.33 0.23 43.18 16834.68 9951063.10 0.0000290548 8.46 812115448420821821816832.00
P0noBHs 1.00 56 2 424306.39 11.82 29.19 -8.70 0.23 0.23 32.67 14632.95 13102229.56 0.0001009975 3.05 530781613006729900982272.00
P0noBHs 1.00 57 9 1762607.95 6.68 -12.52 -8.97 0.90 0.47 16.79 11548.73 31710958.12 0.0033374112 19.69 172086755629770039361536.00
P0noBHs 1.00 58 5 1069188.70 11.28 -14.21 -4.32 0.56 0.32 18.65 12302.02 22974188.46 0.0011830308 12.36 253249159641971887702016.00
P0noBHs 1.00 59 3 585882.68 11.08 -26.58 -2.08 0.32 0.23 28.87 16181.66 11641857.59 0.0000506291 16.75 682024062088434321195008.00
P0noBHs 1.00 60 7 1427415.05 33.98 21.49 -54.57 0.65 0.39 67.78 20575.22 7596384.18 0.0000079317 6.03 1372607468717684161511424.00
P0noBHs 1.00 61 18 3708819.82 -0.41 -18.51 -5.44 1.01 0.47 19.29 10825.61 46491748.91 0.0108329332 15.65 106628519380128832159744.00
P0noBHs 1.00 62 6 1280626.23 -5.27 -23.87 -10.26 0.87 0.71 26.51 14227.12 16499926.25 0.0002341528 15.51 430460962813326038925312.00
P0noBHs 1.00 63 2 170043.83 -7.37 13.74 3.91 0.09 0.06 16.07 12560.28 64249367.88 0.0141071094 6.58 103350178552530075648000.00
